chr	n_variants	mean_iHS	median_iHS	sd_iHS	mean_std_iHS	median_std_iHS	sd_std_iHS	max_abs_std_iHS	q99	q995	q999	chr_type
1	585512	-0.6730191117827292	-0.6948084999999999	1.4504883745462247	-1.3629095381956312e-09	0.0395881	1.000000851807827	9.85324	3.274418100000004	3.8734825999999654	5.18983	Autosome
2	616217	-0.6714887096189353	-0.68024	1.4672085527660546	-1.4787105029106973e-09	0.0438839	1.0000008127563789	9.15883	3.3133339999999887	3.9332244000000136	5.363754160000177	Autosome
3	536408	-0.7031419386195179	-0.716147	1.5055892676758784	1.4515792448407102e-09	0.047485	1.0000009297997865	9.60763	3.3003188000000083	3.8698636999999945	5.340036510000558	Autosome
4	555532	-0.6915345182015896	-0.7025285	1.5322264838246085	-3.6613142209539513e-10	0.04556045	1.0000008989203162	9.8867	3.374046299999985	3.9804968999999994	5.246279970000046	Autosome
5	477889	-0.6934674502950389	-0.700464	1.5117698149796757	5.313606918933825e-09	0.0462905	1.0000010494208462	9.29479	3.4145455999999994	4.0156008	5.292107760000201	Autosome
6	498613	-0.709258056676099	-0.727436	1.5913905624681062	9.704726612982424e-11	0.0427837	1.0000009992033696	10.458	3.3342364	3.900400200000001	5.322420240000035	Autosome
7	437094	-0.6860155006955957	-0.6934024999999999	1.5083535809578406	4.284370310736761e-09	0.04001295	1.000001142986861	8.88097	3.3492721000000003	3.945317549999976	5.340450940000027	Autosome
8	417729	-0.7047867907186308	-0.702342	1.532188222407386	-2.313156376828652e-09	0.0487621	1.0000011967895135	8.94344	3.396801599999999	3.9953959999999915	5.396945360000007	Autosome
9	335830	-0.7140370320879519	-0.7014445	1.5116273380196061	-1.0985882122475741e-09	0.05073735	1.0000014961953523	8.85458	3.358421400000007	3.9600311499999976	5.203504680000034	Autosome
10	386015	-0.6894580330114006	-0.698442	1.5111312256797833	1.3846089662161177e-09	0.0441747	1.000001297585957	8.90945	3.328893799999995	3.9908050999999927	5.46184494000006	Autosome
11	358529	-0.7001606939365492	-0.698983	1.5342856121159327	-2.666680966450096e-09	0.0484383	1.000001395175255	10.0113	3.397930799999996	4.033538799999999	5.330924800000144	Autosome
12	362324	-0.7147909633947942	-0.7212495	1.5489677431479938	-4.702498033451731e-10	0.05049105	1.0000013803273782	8.62011	3.4154193000000017	4.022572650000009	5.236022530000022	Autosome
13	281992	-0.6899980673754246	-0.7043895	1.5322048863728115	5.069753328428662e-09	0.0452743	1.000001772684693	9.37205	3.5001899000000027	4.1816479499999755	5.52508700000006	Autosome
14	244940	-0.7276526017966416	-0.7334080000000001	1.564921385529343	1.9069576626729185e-09	0.05233885	1.000002042269314	8.57033	3.4110614999999838	4.031825899999998	5.352558470000037	Autosome
15	218943	-0.6773521398946415	-0.67075	1.5061262902970431	-6.360739382490806e-10	0.0460768	1.0000022758800544	9.17788	3.399616399999999	4.1421887	5.727946180000061	Autosome
16	237640	-0.6814964069353088	-0.6666030000000001	1.4939168479909528	-6.490778403585182e-09	0.05215785	1.0000021105894998	9.95802	3.369552999999996	4.004784099999989	5.400907520000078	Autosome
17	209746	-0.6048763530734727	-0.6046365	1.4541986741439108	5.3172608097065684e-09	0.042032	1.0000023858893992	8.30007	3.352791	3.9602587499999986	5.332859950000185	Autosome
18	221425	-0.6922120735761735	-0.693444	1.5207981440870193	1.314388076450372e-09	0.0519967	1.000002258257218	8.19151	3.396924400000004	4.074260800000028	5.551845040000137	Autosome
19	164955	-0.5794032703041324	-0.59248	1.4410434531360525	4.5850650168149476e-09	0.036403	1.000003037720293	9.30495	3.454029799999999	4.179593500000015	5.507990700000014	Autosome
20	170326	-0.6501682156928696	-0.6375575	1.4867040733725603	6.425762657393068e-09	0.048289399999999996	1.0000029329576976	8.88832	3.41794	4.092041249999999	5.391880500000044	Autosome
21	88167	-0.8264974583994227	-0.801174	1.4062915159290796	2.78652670904136e-09	0.0402342	1.000005673213862	9.45413	3.2277607999999978	3.920013899999999	5.450325280000071	Autosome
22	97460	-0.8359056291692756	-0.7118935	2.1492043516526134	4.580002873286896e-09	0.08637700000000001	1.0000051265862726	8.03692	3.796160200000004	4.304189600000005	5.321155960000043	Autosome
X	428414	10.122721351005127	9.89208	2.5518603488481135	-1.945226454643581e-10	-0.1685995	1.0000011666695865	5.73914	2.896116799999997	3.290596849999999	4.053738050000009	X chromosome
