chr	chr_type	n_variants	q99	q995	q999
1	Autosome	585512	3.274418100000004	3.8734825999999654	5.18983
2	Autosome	616217	3.3133339999999887	3.9332244000000136	5.363754160000177
3	Autosome	536408	3.3003188000000083	3.8698636999999945	5.340036510000558
4	Autosome	555532	3.374046299999985	3.9804968999999994	5.246279970000046
5	Autosome	477889	3.4145455999999994	4.0156008	5.292107760000201
6	Autosome	498613	3.3342364	3.900400200000001	5.322420240000035
7	Autosome	437094	3.3492721000000003	3.945317549999976	5.340450940000027
8	Autosome	417729	3.396801599999999	3.9953959999999915	5.396945360000007
9	Autosome	335830	3.358421400000007	3.9600311499999976	5.203504680000034
10	Autosome	386015	3.328893799999995	3.9908050999999927	5.46184494000006
11	Autosome	358529	3.397930799999996	4.033538799999999	5.330924800000144
12	Autosome	362324	3.4154193000000017	4.022572650000009	5.236022530000022
13	Autosome	281992	3.5001899000000027	4.1816479499999755	5.52508700000006
14	Autosome	244940	3.4110614999999838	4.031825899999998	5.352558470000037
15	Autosome	218943	3.399616399999999	4.1421887	5.727946180000061
16	Autosome	237640	3.369552999999996	4.004784099999989	5.400907520000078
17	Autosome	209746	3.352791	3.9602587499999986	5.332859950000185
18	Autosome	221425	3.396924400000004	4.074260800000028	5.551845040000137
19	Autosome	164955	3.454029799999999	4.179593500000015	5.507990700000014
20	Autosome	170326	3.41794	4.092041249999999	5.391880500000044
21	Autosome	88167	3.2277607999999978	3.920013899999999	5.450325280000071
22	Autosome	97460	3.796160200000004	4.304189600000005	5.321155960000043
X	X chromosome	428414	2.896116799999997	3.290596849999999	4.053738050000009
