GO_ID	Category
GO:0003310	development
GO:0060541	development
GO:0051146	development
GO:0035987	development
GO:0030857	development
GO:0060668	development
GO:0001822	development
GO:0045588	development
GO:0001831	development
GO:0140001	development
GO:0060489	development
GO:0021779	development
GO:0021767	development
GO:0003345	development
GO:0061159	development
GO:0060486	development
GO:0035088	development
GO:0009880	development
GO:0061114	development
GO:0032827	development
GO:0060764	development
GO:0021978	development
GO:0003213	development
GO:0032332	development
GO:2001013	development
GO:0072220	development
GO:0048640	development
GO:1905748	development
GO:0014038	development
GO:0060375	development
GO:0021618	development
GO:0061032	development
GO:0048733	development
GO:0060802	development
GO:0030538	development
GO:0060947	development
GO:0072273	development
GO:0098528	development
GO:1902809	development
GO:1901166	development
GO:0032836	development
GO:0060376	development
GO:0061182	development
GO:0003279	development
GO:0003161	development
GO:0048536	development
GO:0061031	development
GO:0046697	development
GO:0060029	development
GO:0003322	development
GO:0030183	development
GO:0001764	development
GO:0007440	development
GO:0016476	development
GO:1905867	development
GO:0014016	development
GO:0072229	development
GO:0090497	development
GO:0061017	development
GO:0007497	development
GO:1905176	development
GO:0003275	development
GO:0060921	development
GO:0045638	development
GO:0010002	development
GO:0045654	development
GO:0042471	development
GO:0061056	development
GO:0021523	development
GO:0003197	development
GO:0046544	development
GO:0002317	development
GO:0060644	development
GO:0090162	development
GO:0140895	development
GO:0021644	development
GO:1901723	development
GO:0031173	development
GO:0061100	development
GO:0045687	development
GO:0040016	development
GO:0051149	development
GO:0009653	development
GO:0009950	development
GO:0001945	development
GO:0021665	development
GO:0061106	development
GO:0003179	development
GO:1905069	development
GO:0021754	development
GO:1905455	development
GO:0045653	development
GO:0001838	development
GO:0021794	development
GO:1990402	development
GO:1990401	development
GO:0045626	development
GO:0045607	development
GO:0048075	development
GO:0061300	development
GO:0060490	development
GO:0014036	development
GO:0030917	development
GO:0035115	development
GO:0071907	development
GO:0033085	development
GO:0035272	development
GO:0042662	development
GO:0035909	development
GO:0001779	development
GO:0035116	development
GO:1905174	development
GO:0051154	development
GO:0016331	development
GO:0060349	development
GO:0045598	development
GO:0150063	development
GO:0021503	development
GO:0030860	development
GO:1905300	development
GO:0060164	development
GO:0055007	development
GO:0072054	development
GO:0098773	development
GO:0007371	development
GO:0021764	development
GO:0072168	development
GO:0045584	development
GO:0021520	development
GO:0043588	development
GO:0061325	development
GO:2000974	development
GO:0048608	development
GO:0000902	development
GO:1900212	development
GO:0060716	development
GO:0060059	development
GO:0003151	development
GO:1905208	development
GO:0001892	development
GO:0045645	development
GO:0072163	development
GO:0048820	development
GO:0016015	development
GO:0042494	development
GO:0060118	development
GO:0061181	development
GO:0042472	development
GO:0090094	development
GO:0061113	development
GO:0010977	development
GO:0048853	development
GO:0045636	development
GO:0021571	development
GO:0048592	development
GO:1904398	development
GO:2001037	development
GO:0010975	development
GO:0065001	development
GO:0072086	development
GO:0021539	development
GO:0003408	development
GO:0010668	development
GO:0042585	development
GO:0048378	development
GO:0021700	development
GO:0060035	development
GO:2001199	development
GO:1901248	development
GO:0035854	development
GO:0060739	development
GO:0061170	development
GO:0003228	development
GO:0003190	development
GO:0060379	development
GO:0014909	development
GO:2000392	development
GO:0048392	development
GO:0072308	development
GO:0042733	development
GO:0072076	development
GO:0060220	development
GO:0060873	development
GO:0060374	development
GO:0060136	development
GO:2000979	development
GO:0048840	development
GO:0030951	development
GO:0035665	development
GO:2000691	development
GO:0042473	development
GO:0060061	development
GO:1904948	development
GO:2001200	development
GO:0005044	development
GO:0061360	development
GO:0001834	development
GO:0004950	development
GO:0051799	development
GO:0055009	development
GO:0042694	development
GO:0061430	development
GO:0045995	development
GO:0035469	development
GO:0072259	development
GO:0002755	development
GO:0003186	development
GO:0035622	development
GO:0045627	development
GO:0014895	development
