GO_ID	Category
GO:0071745	immunity
GO:0004917	immunity
GO:0050902	immunity
GO:0042119	immunity
GO:0032814	immunity
GO:0034154	immunity
GO:0006959	immunity
GO:0002358	immunity
GO:0005900	immunity
GO:0035662	immunity
GO:0048247	immunity
GO:0048018	immunity
GO:1900280	immunity
GO:0042289	immunity
GO:0005030	immunity
GO:0032398	immunity
GO:0070345	immunity
GO:0007219	immunity
GO:0032394	immunity
GO:2000353	immunity
GO:1903557	immunity
GO:0030109	immunity
GO:0002085	immunity
GO:0034126	immunity
GO:0019970	immunity
GO:0034138	immunity
GO:0019768	immunity
GO:0019959	immunity
GO:0005579	immunity
GO:0006931	immunity
GO:0002622	immunity
GO:0050872	immunity
GO:0071735	immunity
GO:0030887	immunity
GO:0044565	immunity
GO:0032649	immunity
GO:1904994	immunity
GO:0001782	immunity
GO:0030217	immunity
GO:0003270	immunity
GO:0032816	immunity
GO:0002732	immunity
GO:0002495	immunity
GO:0038177	immunity
GO:0030183	immunity
GO:2001234	immunity
GO:0033089	immunity
GO:0036446	immunity
GO:0070227	immunity
GO:0042019	immunity
GO:0007185	immunity
GO:0030264	immunity
GO:0007206	immunity
GO:0045509	immunity
GO:2001244	immunity
GO:0045345	immunity
GO:0016264	immunity
GO:0071640	immunity
GO:0045519	immunity
GO:0002821	immunity
GO:0002879	immunity
GO:0002220	immunity
GO:0045002	immunity
GO:0019883	immunity
GO:0045959	immunity
GO:0060158	immunity
GO:0016170	immunity
GO:0061364	immunity
GO:0002537	immunity
GO:0018963	immunity
GO:0043367	immunity
GO:0051873	immunity
GO:0060936	immunity
GO:0042017	immunity
GO:0097193	immunity
GO:0045657	immunity
GO:0038157	immunity
GO:0002457	immunity
GO:0002728	immunity
GO:0042658	immunity
GO:2000408	immunity
GO:2001238	immunity
GO:1902483	immunity
GO:0010657	immunity
GO:0070486	immunity
GO:0050766	immunity
GO:0005898	immunity
GO:0045352	immunity
GO:0043313	immunity
GO:0002317	immunity
GO:0043523	immunity
GO:0004906	immunity
GO:0002334	immunity
GO:0050688	immunity
GO:1990722	immunity
GO:0120197	immunity
GO:0043311	immunity
GO:0034349	immunity
GO:0061146	immunity
GO:0004912	immunity
GO:0002863	immunity
GO:0045064	immunity
