GO_ID	GO_Name	GO_Category	Enrichment	p_uncorrected	p_fdr_bh	Study_Count	Study_Total	Pop_Count	Pop_Total	Study_Genes	Depth
GO:0016037	light absorption	BP	e	6.731756166900383e-07	0.006981840908500732	4	229	6	15541	OPN1LW,OPN1MW,OPN1MW2,OPN1MW3	2
GO:0016038	absorption of visible light	BP	e	6.731756166900383e-07	0.006981840908500732	4	229	6	15541	OPN1LW,OPN1MW,OPN1MW2,OPN1MW3	3
GO:0009987	cellular process	BP	p	7.721490803906905e-06	0.05338896124848031	160	229	12747	15541	ABCB7,ACOT9,ADGRG4,AFF2,AGTR2,ALG13,AMER1,APOO,AR,ARHGAP36,ARMCX3,ARX,ASB12,ATP11C,ATP6AP1,BEX5,BRWD3,BTK,CASK,CD99,CDX4,CFAP47,CLDN2,CNKSR2,CTPS2,CYSLTR1,DDX3X,DIAPH2,DLG3,DMD,DNAAF6,DNASE1L1,DUSP21,DYNLT3,EDA,EFNB1,EMD,ENOX2,EZHIP,F9,FAAH2,FAM3A,FAM50A,FAM9B,FHL1,FLNA,G6PD,GDI1,GDPD2,GK,GLA,GNG5B,GPC3,GPC4,GPR174,GPR34,GPR82,GSPT2,GYG2,H2BW1,HCFC1,HMGN5,HS6ST2,HSD17B10,HTR2C,IGSF1,IL1RAPL1,IL1RAPL2,INTS6L,IQSEC2,IRAK1,ITM2A,KCND1,KDM6A,KIF4A,KLHL15,LAGE3,LPAR4,MAP3K15,MAP7D2,MAP7D3,MBNL3,MBTPS2,MCF2,MECP2,MID1,MID2,MORC4,MTMR8,NAP1L2,NBDY,NCBP2L,NKAP,NLGN4X,NUDT10,NUDT11,NUP62CL,OPHN1,OPN1LW,OPN1MW,OPN1MW2,OPN1MW3,OR13H1,OTC,OTUD5,P2RY10,PDHA1,PHF8,PIM2,PLS3,PLXNA3,POLA1,PPP1R2C,PPP4R3C,PQBP1,PRDX4,PRRG1,PUDP,RAP2C,RBBP7,RBM41,RBMX,REPS2,RIBC1,RNF128,RPL10,RPL36A,RRAGB,RTL4,SAT1,SH3BGRL,SH3KBP1,SLC10A3,SLC25A53,SLC35A2,SMC1A,SMS,SPACA5,SPIN3,STARD8,STS,SYAP1,TAB3,TAFAZZIN,TBC1D8B,TBX22,TENM1,TEX11,TFE3,TIMM17B,TIMM8A,TKTL1,TMLHE,TMSB15C,TRPC5,UBL4A,USP9X,WDR44,XG,YIPF6	1
GO:0008020	G protein-coupled photoreceptor activity	MF	e	2.071752087781973e-05	0.10743588389215367	4	229	12	15541	OPN1LW,OPN1MW,OPN1MW2,OPN1MW3	5
GO:0009881	photoreceptor activity	MF	e	4.093390487944159e-05	0.16981839778285138	4	229	14	15541	OPN1LW,OPN1MW,OPN1MW2,OPN1MW3	3
GO:0097381	photoreceptor disc membrane	CC	e	0.0002726597786845312	0.9426302982088718	4	229	22	15541	OPN1LW,OPN1MW,OPN1MW2,OPN1MW3	4
GO:0016889	DNA endonuclease activity, producing 3'-phosphomonoesters	MF	p	1.0	1.0	0	229	9	15541		6
GO:0035731	dinitrosyl-iron complex binding	MF	p	1.0	1.0	0	229	1	15541		4
GO:0046990	N-hydroxyarylamine O-acetyltransferase activity	MF	p	1.0	1.0	0	229	1	15541		7
GO:0001664	G protein-coupled receptor binding	MF	p	1.0	1.0	3	229	248	15541	ARMCX5-GPRASP2,FLNA,GPRASP2	4
