Nearest_Gene	N_SNPs	Min_log10p	Max_log10p	Mean_log10p	Min_StdIHS	Max_StdIHS	Mean_StdIHS	Is_Overlap_Gene
LOC124905292	1	8.02	8.02	8.02	5.74	5.74	5.74	False
FAAH2	3	7.62	7.87	7.79	5.58	5.68	5.65	True
TRPC5	2	6.23	7.63	6.93	5.0	5.59	5.29	True
LOC101928201	7	6.27	7.56	6.87	5.01	5.56	5.27	False
DIAPH2	2	6.38	7.22	6.8	5.06	5.42	5.24	True
ZMAT1	2	6.19	7.2	6.7	4.98	5.41	5.19	True
PCDH11X	1	7.18	7.18	7.18	5.4	5.4	5.4	False
LOC124900496	6	6.39	7.08	6.67	5.07	5.36	5.18	False
HTR2C	4	6.53	6.66	6.58	5.13	5.18	5.15	True
IL1RAPL2	1	6.46	6.46	6.46	5.09	5.09	5.09	True
NCBP2L	1	6.43	6.43	6.43	5.08	5.08	5.08	True
NAP1L2	2	6.08	6.36	6.22	4.93	5.05	4.99	True
GPC3	2	6.19	6.24	6.21	4.98	5.0	4.99	True
DACH2	4	6.12	6.21	6.18	4.95	4.99	4.97	True
KLHL13	1	6.18	6.18	6.18	4.97	4.97	4.97	False
FAM239C	1	6.17	6.17	6.17	4.97	4.97	4.97	False
KDM6A	1	6.12	6.12	6.12	4.95	4.95	4.95	True
MIR325HG	1	6.11	6.11	6.11	4.94	4.94	4.94	False
ATP6AP1-DT	1	6.04	6.04	6.04	4.91	4.91	4.91	False
