gene_name	n_subpopulations	total_subpopulations	proportion	signal_breadth	subpopulations
MID1	4	5	0.8	broad	CDX,CHB,JPT,KHV
DMD	2	5	0.4	narrow	CDX,KHV
EDA	2	5	0.4	narrow	CHB,CHS
RTL4	2	5	0.4	narrow	CHB,JPT
STS	2	5	0.4	narrow	CHB,KHV
TRPC5	2	5	0.4	narrow	CHB,JPT
ACSL4	1	5	0.2	narrow	JPT
CPXCR1	1	5	0.2	narrow	JPT
DACH2	1	5	0.2	narrow	CHB
DIAPH2	1	5	0.2	narrow	JPT
ENSG00000250349	1	5	0.2	narrow	JPT
F9	1	5	0.2	narrow	KHV
FAM9B	1	5	0.2	narrow	JPT
KCNE5	1	5	0.2	narrow	JPT
KDM6A	1	5	0.2	narrow	CHS
MCF2	1	5	0.2	narrow	KHV
NLGN4X	1	5	0.2	narrow	JPT
NXT2	1	5	0.2	narrow	JPT
OTC	1	5	0.2	narrow	JPT
PGRMC1	1	5	0.2	narrow	CHB
PPP1R2C	1	5	0.2	narrow	CHS
RPGR	1	5	0.2	narrow	JPT
TEX11	1	5	0.2	narrow	CDX
TGIF2LX	1	5	0.2	narrow	KHV
USP9X	1	5	0.2	narrow	KHV
