gene_name	CDX	CHB	CHS	JPT	KHV	n_populations	populations
MID1	1	1	0	1	1	4	CDX,CHB,JPT,KHV
DMD	1	0	0	0	1	2	CDX,KHV
EDA	0	1	1	0	0	2	CHB,CHS
RTL4	0	1	0	1	0	2	CHB,JPT
STS	0	1	0	0	1	2	CHB,KHV
TRPC5	0	1	0	1	0	2	CHB,JPT
ACSL4	0	0	0	1	0	1	JPT
CPXCR1	0	0	0	1	0	1	JPT
DACH2	0	1	0	0	0	1	CHB
DIAPH2	0	0	0	1	0	1	JPT
ENSG00000250349	0	0	0	1	0	1	JPT
F9	0	0	0	0	1	1	KHV
FAM9B	0	0	0	1	0	1	JPT
KCNE5	0	0	0	1	0	1	JPT
KDM6A	0	0	1	0	0	1	CHS
MCF2	0	0	0	0	1	1	KHV
NLGN4X	0	0	0	1	0	1	JPT
NXT2	0	0	0	1	0	1	JPT
OTC	0	0	0	1	0	1	JPT
PGRMC1	0	1	0	0	0	1	CHB
PPP1R2C	0	0	1	0	0	1	CHS
RPGR	0	0	0	1	0	1	JPT
TEX11	1	0	0	0	0	1	CDX
TGIF2LX	0	0	0	0	1	1	KHV
USP9X	0	0	0	0	1	1	KHV
