chr	chr_type	n_variants	q99	q995	q999
1	Autosome	572137	3.2564048000000008	3.8572187999999956	5.159709120000005
2	Autosome	602875	3.3175026	3.950546700000005	5.426475880000161
3	Autosome	524980	3.259043100000002	3.82301	5.225157420000464
4	Autosome	542417	3.367408799999998	4.004204400000024	5.309297520000001
5	Autosome	465309	3.4032383999999993	4.029079800000013	5.343165360000003
6	Autosome	488314	3.3511708999999996	3.900355749999999	5.379338750000043
7	Autosome	427962	3.3564697000000034	3.9876219500000003	5.4655627300004825
8	Autosome	405371	3.3766619999999996	3.99677300000001	5.418382500000047
9	Autosome	328121	3.342825999999997	3.9523580000000007	5.266061200000643
10	Autosome	376250	3.3271202	4.013885900000001	5.55207942000021
11	Autosome	350140	3.413723299999993	4.014474549999997	5.366993280000017
12	Autosome	354181	3.433008000000002	4.034626999999966	5.33951300000001
13	Autosome	275100	3.4893616000000014	4.230101800000002	5.686644600000058
14	Autosome	238378	3.3940723000000004	4.054526599999992	5.414182260000056
15	Autosome	212381	3.371302000000006	4.111174000000018	5.762329400000095
16	Autosome	229838	3.3340939000000027	3.9851463500000004	5.419730750000007
17	Autosome	203064	3.4276412999999932	4.025051949999995	5.44305507000021
18	Autosome	215555	3.43095	4.108391400000001	5.472693380000001
19	Autosome	160750	3.482755000000023	4.240760600000001	5.689623820000162
20	Autosome	165152	3.3694532999999987	4.070471049999999	5.60186
21	Autosome	85486	3.2302544999999836	3.8030024999999923	5.3909390500001715
22	Autosome	95259	3.3945755999999974	4.150374500000013	5.793898800000019
X	X chromosome	463227	3.1312469999999997	3.6528986999999953	4.789862080000032
