chr	chr_type	n_variants	q99	q995	q999
1	Autosome	582463	3.2235728000000003	3.7781668999999996	5.020454400000223
2	Autosome	616428	3.28995	3.897023799999999	5.237139140000199
3	Autosome	533555	3.2371545999999998	3.8119774999999767	5.296853280000077
4	Autosome	551928	3.3455956999999983	3.94934365	5.207146800000146
5	Autosome	475637	3.3751780000000062	4.048046200000006	5.31970752000019
6	Autosome	500030	3.344534900000004	3.8849400999999513	5.165823320000071
7	Autosome	435495	3.3239218	3.895365999999994	5.242967940000287
8	Autosome	414882	3.335470800000001	3.941336749999982	5.247245220000025
9	Autosome	331986	3.28903	3.8720220000000016	5.196782650000022
10	Autosome	382775	3.2933508000000007	3.9335152000000004	5.40083814000001
11	Autosome	359365	3.3657311999999977	3.932272199999991	5.198490160000117
12	Autosome	361218	3.396076900000007	3.994421499999998	5.106935620000116
13	Autosome	280126	3.48911	4.134895	5.427217500000043
14	Autosome	243482	3.3514480000000004	3.9256171	5.258056710000003
15	Autosome	216294	3.3367569000000046	4.001009050000006	5.539796130000422
16	Autosome	235397	3.3170112	3.964666399999991	5.184101240000028
17	Autosome	208467	3.365300999999998	3.963651400000005	5.23744710000001
18	Autosome	219678	3.3354876000000013	3.968159249999982	5.353611610000102
19	Autosome	163997	3.4137412000000045	4.093636199999991	5.395546840000104
20	Autosome	169460	3.3843981000000016	4.098255099999998	5.479684140000067
21	Autosome	86532	3.1825590000000026	3.8014252	5.37561
22	Autosome	98577	3.4334784000000007	4.117914399999993	5.542475520000048
X	X chromosome	423249	3.024351200000001	3.456353600000001	4.310696160000114
