population	chr	n_variants	mean_std_iHS	sd_std_iHS	max_abs_std_iHS	q99	q995	q999	n_liberal	n_moderate	n_stringent
ACB	X	300191	-2.8210883404373236e-09	1.0000016748077936	7.82942	3.353215999999994	3.895553499999997	4.9739420000003465	15135	8363	4738
ASW	X	344891	-4.236970940133999e-09	1.0000011655828456	284.081	1.1642625	1.20078	1.6686	204	146	100
ESN	X	305143	3.49812480100523e-10	1.0000016444270075	8.18748	3.30625	3.8229373999999985	4.943016400000006	15585	8452	4636
GWD	X	324076	-2.7831773704159204e-09	1.0000015393158792	8.92202	3.3054300000000003	3.8271349999999997	4.942108000000082	16421	8824	4744
LWK	X	214745	-5.229442570867371e-09	1.0000023267673421	10.7153	3.641671199999999	4.348466	5.744532320000057	9411	5578	3570
MSL	X	268286	3.4893742521033094e-09	1.000001871412327	8.7182	3.3892250000000166	3.93032	5.047749050000017	13405	7568	4307
YRI	X	318469	2.446948401698079e-09	1.0000015669400573	7.6627	3.3270120000000007	3.8178613999999924	4.9329916400000275	15972	8752	4891
CLM	X	212941	3.3886095279958317e-10	1.0000023565732203	10.4572	3.4923160000000038	4.130254999999984	5.5596920000000996	9949	5771	3565
MXL	X	430361	-2.5373314392561758e-09	1.000001169316865	11.2235	3.0893780000000124	3.606072	4.800658000000141	20448	9767	4757
PEL	X	254209	-2.5977563722796553e-09	1.0000019676127831	8.27491	3.4387731999999884	3.9976951999999972	5.1345660000000075	12142	6804	4040
PUR	X	230260	-1.9115862051851594e-09	1.000002175430719	9.7289	3.4606935000000014	4.109693399999981	5.3697240100001	10665	6060	3587
CDX	X	262079	-4.461854964030649e-09	1.0000019069033623	8.10382	3.4079800000000007	3.9626524999999826	5.0539467600000325	12876	7030	4134
CHB	X	272666	-1.6107524618065222e-09	1.0000018280599545	8.04881	3.3492714999999977	3.889724749999998	4.875495200000024	13700	7537	4305
CHS	X	207124	-6.7986780846759185e-09	1.0000024167221637	9.95264	3.5108762999999983	4.27735	5.690462130000062	9515	5503	3398
JPT	X	313216	5.0743458552789375e-09	1.0000015925720316	7.42166	3.2689844999999913	3.7645592499999996	4.832062300000025	16063	8488	4459
KHV	X	268472	5.570124184707926e-09	1.0000018656910963	8.00504	3.369149899999994	3.8962193500000004	5.08154	13104	7136	4132
CEU	X	243199	-5.8071468224545076e-09	1.0000020632987627	8.40026	3.460315999999997	4.164808700000008	5.4543045800000325	11344	6351	3743
FIN	X	206044	7.359941905567305e-09	1.0000024396996123	9.52908	3.589721200000001	4.411790250000002	5.8372716500000825	9041	5562	3644
GBR	X	201212	-3.1028831661233695e-09	1.0000024798619374	9.79472	3.719753699999995	4.5194238000000055	5.951627350000022	8873	5325	3490
IBS	X	240000	8.275203346859901e-10	1.0000020766360942	8.87377	3.4340540000000037	4.0560947000000045	5.303501280000023	11741	6527	3939
TSI	X	118	-7.799047620414359e-08	1.0047959497398466	1.98617	1.905858	1.9445492000000004	1.9778458400000012	0	0	0
BEB	X	215058	-3.7049600561472337e-09	1.0000023202455763	9.52158	3.5249014999999995	4.281357249999999	5.5584305300005035	9806	5771	3564
GIH	X	119	4.424778775742439e-09	1.0044544985410886	2.33701	1.8465115999999995	2.0692403999999986	2.2834560800000023	1	0	0
ITU	X	227560	-3.4364994304510765e-09	1.0000022037979632	9.03293	3.5778040000000013	4.178488449999999	5.331910380000232	11023	6216	3931
PJL	X	305287	2.715962683628321e-09	1.0000016404178962	7.68532	3.356894000000008	3.8744299000000004	4.884340740000088	15478	8420	4735
STU	X	207903	-5.832600202808557e-09	1.0000024016854236	11.0715	3.5977094000000105	4.339356699999992	5.902065340000513	9518	5764	3508
