population	continent	ihs_threshold	n_ihs	n_relate	n_overlap	pct_ihs_confirmed	pct_relate_confirmed	jaccard_index
ACB	AFR	4.97512	301	198	8	2.6578073089700998	4.040404040404041	0.016293279022403257
ASW	AFR	1.6686	346	102	0	0.0	0.0	0.0
ESN	AFR	4.94313	306	212	5	1.6339869281045754	2.358490566037736	0.009746588693957114
GWD	AFR	4.94224	325	179	9	2.769230769230769	5.027932960893855	0.01818181818181818
LWK	AFR	5.74637	215	232	0	0.0	0.0	0.0
MSL	AFR	5.04794	269	98	5	1.858736059479554	5.1020408163265305	0.013812154696132596
YRI	AFR	4.93499	319	155	13	4.075235109717868	8.38709677419355	0.028199566160520606
CLM	AMR	5.56317	213	913	11	5.164319248826291	1.2048192771084338	0.009865470852017937
MXL	AMR	4.80136	431	295	5	1.160092807424594	1.694915254237288	0.006934812760055479
PEL	AMR	5.13467	255	983	29	11.372549019607844	2.950152594099695	0.023986765922249794
PUR	AMR	5.3704	231	698	3	1.2987012987012987	0.42979942693409745	0.0032397408207343412
CDX	EAS	5.05407	263	26	0	0.0	0.0	0.0
CHB	EAS	4.87624	273	53	0	0.0	0.0	0.0
CHS	EAS	5.69067	208	60	0	0.0	0.0	0.0
JPT	EAS	4.83223	314	32	1	0.3184713375796179	3.125	0.002898550724637681
KHV	EAS	5.08154	273	23	0	0.0	0.0	0.0
CEU	EUR	5.45456	244	53	0	0.0	0.0	0.0
FIN	EUR	5.83742	207	30	0	0.0	0.0	0.0
GBR	EUR	5.95187	202	32	0	0.0	0.0	0.0
IBS	EUR	5.30478	240	171	16	6.666666666666667	9.35672514619883	0.04050632911392405
TSI	EUR	1.98617	1	101	0	0.0	0.0	0.0
BEB	SAS	5.55944	216	90	0	0.0	0.0	0.0
GIH	SAS	2.33701	1	57	0	0.0	0.0	0.0
ITU	SAS	5.33816	228	61	0	0.0	0.0	0.0
PJL	SAS	4.88503	306	57	6	1.9607843137254901	10.526315789473683	0.01680672268907563
STU	SAS	5.91905	208	60	0	0.0	0.0	0.0
