ihs_cluster_id	ihs_cluster_start	ihs_cluster_end	ihs_cluster_size	ihs_cluster_max_score	relate_cluster_id	relate_cluster_start	relate_cluster_end	relate_cluster_size	relate_cluster_max_score	overlap_start	overlap_end	overlap_size_bp	center_distance
16	37393157	37397977	3	5.17158	31	37393601	37416956	8	5.06758	37393601	37397977	4377	11622.0
21	18551559	18551559	1	4.30703	7	18447669	18648646	3	7.62598	18551559	18551559	1	22430.0
44	44942038	45079501	15	5.76072	44	44958505	44958505	1	5.9449	44958505	44958505	1	324.0
48	129819917	129819917	1	4.93823	76	129804982	130017757	3	6.52368	129819917	129819917	1	68365.0
58	140299233	140423682	5	4.8142	109	140278965	140629194	24	7.83223	140299233	140423682	124450	121551.5
74	73236957	73272512	18	4.9258	53	73269591	73594935	5	5.68992	73269591	73272512	2922	25683.5
84	119293215	119297238	4	4.89444	59	119098000	119301818	9	7.50635	119293215	119297238	4024	181838.0
103	96260067	96327577	11	6.29302	117	96070429	96264122	2	5.29363	96260067	96264122	4056	98327.5
105	95379027	95390766	6	4.70335	116	95327967	95675208	54	8.38231	95379027	95390766	11740	134104.0
110	90511761	90705199	3	4.61508	126	90617400	90617881	3	6.05611	90617400	90617881	482	74627.0
131	99263013	99367020	7	5.14795	118	99241359	99580984	13	6.97847	99263013	99367020	104008	78864.0
