population	continent	n_ihs_signals	n_relate_signals	n_ihs_regions	n_relate_regions	n_overlap_ihs_regions	n_overlap_relate_regions	pct_ihs_regions_confirmed	pct_relate_regions_confirmed	jaccard_index_regions
ACB	AFR	1501	198	172	38	5	5	2.9069767441860463	13.157894736842104	0.024390243902439025
ASW	AFR	1726	102	125	26	4	4	3.2	15.384615384615385	0.027210884353741496
ESN	AFR	1526	212	194	31	4	3	2.0618556701030926	9.67741935483871	0.01809954751131222
GWD	AFR	1621	179	188	31	4	4	2.127659574468085	12.903225806451612	0.018604651162790697
LWK	AFR	1074	232	128	59	1	1	0.78125	1.694915254237288	0.005376344086021506
MSL	AFR	1343	98	161	28	2	2	1.2422360248447204	7.142857142857142	0.0106951871657754
YRI	AFR	1593	155	194	41	3	3	1.5463917525773196	7.317073170731707	0.01293103448275862
CLM	AMR	1065	913	137	122	11	11	8.02919708029197	9.01639344262295	0.04435483870967742
MXL	AMR	2152	295	100	48	2	2	2.0	4.166666666666666	0.0136986301369863
PEL	AMR	1272	983	171	123	26	25	15.204678362573098	20.32520325203252	0.09701492537313433
PUR	AMR	1152	698	139	127	11	11	7.913669064748201	8.661417322834646	0.043137254901960784
CDX	EAS	1311	26	164	6	1	1	0.6097560975609756	16.666666666666664	0.005917159763313609
CHB	EAS	1364	53	175	7	0	0	0.0	0.0	0.0
CHS	EAS	1037	60	126	9	0	0	0.0	0.0	0.0
JPT	EAS	1567	32	190	7	1	1	0.5263157894736842	14.285714285714285	0.00510204081632653
KHV	EAS	1343	23	165	6	0	0	0.0	0.0	0.0
CEU	EUR	1216	53	131	12	0	0	0.0	0.0	0.0
FIN	EUR	1031	30	117	9	0	0	0.0	0.0	0.0
GBR	EUR	1007	32	99	8	1	1	1.0101010101010102	12.5	0.009433962264150943
IBS	EUR	1200	171	153	36	5	5	3.2679738562091507	13.88888888888889	0.02717391304347826
TSI	EUR	1	101	1	27	0	0	0.0	0.0	0.0
BEB	SAS	1076	90	118	12	0	0	0.0	0.0	0.0
GIH	SAS	1	57	1	10	0	0	0.0	0.0	0.0
ITU	SAS	1138	61	137	8	0	0	0.0	0.0	0.0
PJL	SAS	1527	57	196	11	0	0	0.0	0.0	0.0
STU	SAS	1040	60	124	11	0	0	0.0	0.0	0.0
