ihs_pos	ihs_std_score	ihs_abs_score	relate_pos	relate_score	distance	n_relate_nearby
10817514	-3.88627	3.88627	10849056	5.43636	31542	2
20695174	4.50576	4.50576	20744217	5.22069	49043	2
44895074	-3.58424	3.58424	44935047	5.11298	39973	2
44895074	3.43979	3.43979	44935047	5.11298	39973	2
44896617	-3.47174	3.47174	44935047	5.11298	38430	2
44899537	-3.94621	3.94621	44935047	5.11298	35510	2
44899924	-3.27631	3.27631	44935047	5.11298	35123	2
44911049	-3.2048	3.2048	44935047	5.11298	23998	2
44911086	-3.23273	3.23273	44935047	5.11298	23961	2
44914145	-3.18973	3.18973	44935047	5.11298	20902	2
44919641	-3.34067	3.34067	44935047	5.11298	15406	2
44919641	-3.29261	3.29261	44935047	5.11298	15406	2
44922916	-3.45213	3.45213	44935047	5.11298	12131	2
44924648	-3.4288	3.4288	44935047	5.11298	10399	2
44924648	3.53803	3.53803	44935047	5.11298	10399	2
44924648	-4.34696	4.34696	44935047	5.11298	10399	2
44924648	3.28139	3.28139	44935047	5.11298	10399	2
44926661	3.16547	3.16547	44935047	5.11298	8386	2
44928433	-3.53074	3.53074	44935047	5.11298	6614	2
44929243	-3.33452	3.33452	44935047	5.11298	5804	2
44929827	3.12031	3.12031	44935047	5.11298	5220	2
44931678	-3.77662	3.77662	44935047	5.11298	3369	2
44932891	-3.55443	3.55443	44935047	5.11298	2156	2
44933260	3.3419	3.3419	44935047	5.11298	1787	2
44933260	3.10955	3.10955	44935047	5.11298	1787	2
44933260	3.10955	3.10955	44935047	5.11298	1787	2
44933358	-3.37763	3.37763	44935047	5.11298	1689	2
44933578	3.7645	3.7645	44935047	5.11298	1469	2
44935047	3.47676	3.47676	44935047	5.11298	0	2
44935105	-3.96852	3.96852	44935047	5.11298	58	2
44935381	3.2162	3.2162	44935047	5.11298	334	2
44935551	-3.76507	3.76507	44935047	5.11298	504	2
44936940	3.322	3.322	44935047	5.11298	1893	2
44936944	3.322	3.322	44935047	5.11298	1897	2
44937118	3.322	3.322	44935047	5.11298	2071	2
44937468	3.64559	3.64559	44935047	5.11298	2421	2
44938948	-4.20769	4.20769	44935047	5.11298	3901	2
44939702	3.88054	3.88054	44935047	5.11298	4655	2
44939763	3.85552	3.85552	44935047	5.11298	4716	2
44940680	3.52188	3.52188	44935047	5.11298	5633	2
44940865	3.57815	3.57815	44935047	5.11298	5818	2
44941134	3.57815	3.57815	44935047	5.11298	6087	2
44941154	3.57815	3.57815	44935047	5.11298	6107	2
44941481	-3.81853	3.81853	44935047	5.11298	6434	2
44941481	3.57815	3.57815	44935047	5.11298	6434	2
44941498	3.57815	3.57815	44935047	5.11298	6451	2
44941499	3.91734	3.91734	44935047	5.11298	6452	2
44941544	-4.01199	4.01199	44935047	5.11298	6497	2
44942038	3.57815	3.57815	44935047	5.11298	6991	2
44942055	-4.37479	4.37479	44935047	5.11298	7008	2
44942324	3.60608	3.60608	44935047	5.11298	7277	2
44942921	3.60848	3.60848	44935047	5.11298	7874	2
44942967	3.60848	3.60848	44935047	5.11298	7920	2
44943005	3.60848	3.60848	44935047	5.11298	7958	2
44943168	-3.86579	3.86579	44935047	5.11298	8121	2
44943354	3.62943	3.62943	44935047	5.11298	8307	2
44943370	-4.47473	4.47473	44935047	5.11298	8323	2
44943491	3.62815	3.62815	44935047	5.11298	8444	2
44944449	3.62943	3.62943	44935047	5.11298	9402	2
44944684	4.00183	4.00183	44935047	5.11298	9637	2
44944716	4.03218	4.03218	44935047	5.11298	9669	2
44945694	3.65197	3.65197	44935047	5.11298	10647	2
44946440	3.65226	3.65226	44935047	5.11298	11393	2
44946523	3.65226	3.65226	44935047	5.11298	11476	2
44946778	3.65226	3.65226	44935047	5.11298	11731	2
44946831	4.02545	4.02545	44935047	5.11298	11784	2
44946968	3.65226	3.65226	44935047	5.11298	11921	2
44947279	-3.88577	3.88577	44935047	5.11298	12232	2
44947351	3.62456	3.62456	44935047	5.11298	12304	2
44947391	-4.20397	4.20397	44935047	5.11298	12344	2
44947391	3.68509	3.68509	44935047	5.11298	12344	2
44947854	3.70727	3.70727	44935047	5.11298	12807	2
44948000	3.70727	3.70727	44935047	5.11298	12953	2
44948053	3.70727	3.70727	44935047	5.11298	13006	2
44948847	3.70727	3.70727	44935047	5.11298	13800	2
44949112	4.30815	4.30815	44935047	5.11298	14065	2
44949349	4.09297	4.09297	44935047	5.11298	14302	2
44949487	-4.08651	4.08651	44935047	5.11298	14440	2
44950172	4.09297	4.09297	44935047	5.11298	15125	2
44950583	-4.55448	4.55448	44935047	5.11298	15536	2
44951205	3.6024	3.6024	44935047	5.11298	16158	2
44951588	3.72547	3.72547	44935047	5.11298	16541	2
44952271	3.6759	3.6759	44935047	5.11298	17224	2
44952271	-4.14146	4.14146	44935047	5.11298	17224	2
44952557	3.74066	3.74066	44935047	5.11298	17510	2
44953008	3.77472	3.77472	44935047	5.11298	17961	2
44953070	3.77472	3.77472	44935047	5.11298	18023	2
44954057	3.71171	3.71171	44935047	5.11298	19010	2
44954068	3.77643	3.77643	44935047	5.11298	19021	2
44954116	3.77643	3.77643	44935047	5.11298	19069	2
44956017	3.81774	3.81774	44935047	5.11298	20970	2
44956140	-4.73725	4.73725	44935047	5.11298	21093	2
44956284	-4.29814	4.29814	44935047	5.11298	21237	2
44956400	3.87931	3.87931	44935047	5.11298	21353	2
44957811	-4.45966	4.45966	44935047	5.11298	22764	2
44958181	3.88581	3.88581	44935047	5.11298	23134	2
44958505	4.58054	4.58054	44935047	5.11298	23458	2
44958590	-4.79484	4.79484	44935047	5.11298	23543	2
44958795	3.94176	3.94176	44935047	5.11298	23748	2
44959577	3.94176	3.94176	44935047	5.11298	24530	2
44961058	-4.1514	4.1514	44935047	5.11298	26011	2
44961999	4.32236	4.32236	44935047	5.11298	26952	2
44962513	4.32236	4.32236	44935047	5.11298	27466	2
44962565	-4.1514	4.1514	44935047	5.11298	27518	2
44962674	3.94451	3.94451	44935047	5.11298	27627	2
44962707	3.94451	3.94451	44935047	5.11298	27660	2
44962770	3.94451	3.94451	44935047	5.11298	27723	2
44963107	3.94451	3.94451	44935047	5.11298	28060	2
44963297	3.94451	3.94451	44935047	5.11298	28250	2
95455414	-4.10079	4.10079	95502343	5.34448	46929	1
95456055	3.48132	3.48132	95502343	5.34448	46288	1
95456055	3.58529	3.58529	95502343	5.34448	46288	1
95456055	3.53099	3.53099	95502343	5.34448	46288	1
95456055	3.53099	3.53099	95502343	5.34448	46288	1
95456055	3.53099	3.53099	95502343	5.34448	46288	1
95456098	3.58529	3.58529	95502343	5.34448	46245	1
95456689	3.32076	3.32076	95502343	5.34448	45654	1
95457108	3.49467	3.49467	95502343	5.34448	45235	1
95457941	3.32076	3.32076	95502343	5.34448	44402	1
95458311	3.49467	3.49467	95502343	5.34448	44032	1
95458824	3.32076	3.32076	95502343	5.34448	43519	1
95459372	-3.71814	3.71814	95502343	5.34448	42971	1
95460497	-3.26695	3.26695	95502343	5.34448	41846	1
95475163	-3.1987	3.1987	95502343	5.34448	27180	1
99309761	-3.3965	3.3965	99333094	5.24697	23333	2
99351920	3.17646	3.17646	99333094	5.24697	18826	2
99353375	3.17646	3.17646	99333094	5.24697	20281	2
99353758	3.19473	3.19473	99333094	5.24697	20664	2
99357554	3.24528	3.24528	99333094	5.24697	24460	2
99359823	3.34419	3.34419	99333094	5.24697	26729	2
99362469	-3.38173	3.38173	99333094	5.24697	29375	2
99363824	3.4407	3.4407	99333094	5.24697	30730	2
99363824	3.50371	3.50371	99333094	5.24697	30730	2
99363824	3.50371	3.50371	99333094	5.24697	30730	2
99364219	3.50991	3.50991	99333094	5.24697	31125	2
99364915	3.60751	3.60751	99333094	5.24697	31821	2
99365120	3.60732	3.60732	99333094	5.24697	32026	2
99365133	3.60751	3.60751	99333094	5.24697	32039	2
99365265	3.60751	3.60751	99333094	5.24697	32171	2
99365641	3.60751	3.60751	99333094	5.24697	32547	2
99365669	3.60751	3.60751	99333094	5.24697	32575	2
99366441	3.92267	3.92267	99333094	5.24697	33347	2
99366708	3.61822	3.61822	99333094	5.24697	33614	2
99366887	3.61822	3.61822	99333094	5.24697	33793	2
99367514	3.61822	3.61822	99333094	5.24697	34420	2
99367568	3.61822	3.61822	99333094	5.24697	34474	2
99367570	3.55471	3.55471	99333094	5.24697	34476	2
99367570	-4.08628	4.08628	99333094	5.24697	34476	2
99367570	3.76013	3.76013	99333094	5.24697	34476	2
99367572	3.76013	3.76013	99333094	5.24697	34478	2
99367768	3.76013	3.76013	99333094	5.24697	34674	2
99369618	3.76013	3.76013	99333094	5.24697	36524	2
99369869	3.76013	3.76013	99333094	5.24697	36775	2
99370110	3.76013	3.76013	99333094	5.24697	37016	2
99371731	3.76013	3.76013	99333094	5.24697	38637	2
99372012	3.76013	3.76013	99333094	5.24697	38918	2
99373410	3.76013	3.76013	99333094	5.24697	40316	2
99373410	3.76013	3.76013	99333094	5.24697	40316	2
99374128	3.76013	3.76013	99333094	5.24697	41034	2
99374585	3.70738	3.70738	99333094	5.24697	41491	2
99374695	3.70738	3.70738	99333094	5.24697	41601	2
99375205	3.77185	3.77185	99333094	5.24697	42111	2
99375792	3.77185	3.77185	99333094	5.24697	42698	2
99376960	4.54621	4.54621	99333094	5.24697	43866	2
99377595	4.54621	4.54621	99333094	5.24697	44501	2
99377851	4.54621	4.54621	99333094	5.24697	44757	2
99377878	4.54621	4.54621	99333094	5.24697	44784	2
99378087	4.54621	4.54621	99333094	5.24697	44993	2
99378516	4.54621	4.54621	99333094	5.24697	45422	2
99379415	4.54621	4.54621	99333094	5.24697	46321	2
99379415	4.54621	4.54621	99333094	5.24697	46321	2
99379846	4.49353	4.49353	99333094	5.24697	46752	2
99379848	4.49659	4.49659	99333094	5.24697	46754	2
99379850	4.56019	4.56019	99333094	5.24697	46756	2
140323271	-4.27374	4.27374	140295182	6.60767	28089	18
140332167	7.80761	7.80761	140295182	6.60767	36985	17
140362084	4.01879	4.01879	140319351	6.60767	42733	16
140381477	5.50322	5.50322	140332433	6.60767	49044	20
140410704	-7.41662	7.41662	140366663	6.60767	44041	24
140416510	-5.49678	5.49678	140366663	6.60767	49847	24
140416510	3.48349	3.48349	140366663	6.60767	49847	24
140418233	3.26617	3.26617	140371547	6.60767	46686	23
140418822	3.10479	3.10479	140371547	6.60767	47275	23
140419158	3.10479	3.10479	140371547	6.60767	47611	23
140423682	3.11661	3.11661	140375483	6.60767	48199	22
140429391	-5.08483	5.08483	140383011	6.60767	46380	21
