symbol	name	chrom	start	end
SRPX2	sushi repeat containing protein X-linked 2	X	100644198	100675787
ARMCX5-GPRASP2	ARMCX5-GPRASP2 readthrough	X	102599347	102908063
GPRASP3	G protein-coupled receptor associated sorting protein family member 3	X	102720742	102753539
HTR2C	5-hydroxytryptamine receptor 2C	X	114584085	114910060
AGTR2	angiotensin II receptor type 2	X	116170743	116174973
PGRMC1	progesterone receptor membrane component 1	X	119236284	119244465
APLN	apelin	X	129654955	129645258
HPRT1	hypoxanthine phosphoribosyltransferase 1	X	134460164	134500667
BRS3	bombesin receptor subtype 3	X	136487946	136493779
FGF13	fibroblast growth factor 13	X	139205022	138614726
SLITRK4	SLIT and NTRK like family member 4	X	143636100	143622789
AFF2	ALF transcription elongation factor 2	X	148500616	149000662
MECP2	methyl-CpG binding protein 2	X	154097716	154021572
ACE2	angiotensin converting enzyme 2	X	15607210	15518196
GRPR	gastrin releasing peptide receptor	X	16123564	16153517
ADGRG2	adhesion G protein-coupled receptor G2	X	19122955	18989306
PTCHD1	patched domain containing 1	X	23334395	23404373
NDP	norrin cystine knot growth factor NDP	X	43973389	43948775
DGKK	diacylglycerol kinase kappa	X	50470824	50365408
NLGN4X	neuroligin 4 X-linked	X	6228866	5890041
P2RY4	pyrimidinergic receptor P2Y4	X	70260203	70258165
NLGN3	neuroligin 3	X	71144840	71175306
ATP7A	ATPase copper transporting alpha	X	77910692	78050394
GPR143	G protein-coupled receptor 143	X	9778601	9725345
