pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
565216	5.24697	MXL	1	565216	575730	574428.0	3	5.34448	5.2216933333333335
574428	5.34448	MXL	1	565216	575730	574428.0	3	5.34448	5.2216933333333335
575730	5.07363	MXL	1	565216	575730	574428.0	3	5.34448	5.2216933333333335
915966	5.64457	MXL	2	915966	920377	920268.0	5	5.64457	5.21383
917194	5.19727	MXL	2	915966	920377	920268.0	5	5.64457	5.21383
920268	5.10011	MXL	2	915966	920377	920268.0	5	5.64457	5.21383
920280	5.10011	MXL	2	915966	920377	920268.0	5	5.64457	5.21383
920377	5.02709	MXL	2	915966	920377	920268.0	5	5.64457	5.21383
1147735	5.33207	MXL	3	1147735	1156476	1155256.0	3	5.62463	5.477263333333333
1155256	5.47509	MXL	3	1147735	1156476	1155256.0	3	5.62463	5.477263333333333
1156476	5.62463	MXL	3	1147735	1156476	1155256.0	3	5.62463	5.477263333333333
1349626	6.22807	MXL	4	1349626	1354508	1352727.5	8	6.22807	6.10013625
1352245	6.08186	MXL	4	1349626	1354508	1352727.5	8	6.22807	6.10013625
1352649	6.08186	MXL	4	1349626	1354508	1352727.5	8	6.22807	6.10013625
1352724	6.08186	MXL	4	1349626	1354508	1352727.5	8	6.22807	6.10013625
1352731	6.08186	MXL	4	1349626	1354508	1352727.5	8	6.22807	6.10013625
1354354	6.08186	MXL	4	1349626	1354508	1352727.5	8	6.22807	6.10013625
1354393	6.08186	MXL	4	1349626	1354508	1352727.5	8	6.22807	6.10013625
1354508	6.08186	MXL	4	1349626	1354508	1352727.5	8	6.22807	6.10013625
3701618	5.56783	MXL	5	3701618	3710801	3710576.5	4	5.56783	5.443602500000001
3710386	5.32508	MXL	5	3701618	3710801	3710576.5	4	5.56783	5.443602500000001
3710767	5.44075	MXL	5	3701618	3710801	3710576.5	4	5.56783	5.443602500000001
3710801	5.44075	MXL	5	3701618	3710801	3710576.5	4	5.56783	5.443602500000001
19294862	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19295968	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19299741	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19300638	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19301840	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19305892	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19309286	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19310902	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19311296	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19315057	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19315260	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19321243	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19335133	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19336502	5.0708	MXL	6	19294862	19336502	19310094.0	14	5.0708	5.0708
19405041	6.67668	MXL	7	19405041	19414401	19408257.0	5	6.67668	5.713151999999999
19406631	6.67668	MXL	7	19405041	19414401	19408257.0	5	6.67668	5.713151999999999
19408257	5.0708	MXL	7	19405041	19414401	19408257.0	5	6.67668	5.713151999999999
19412553	5.0708	MXL	7	19405041	19414401	19408257.0	5	6.67668	5.713151999999999
19414401	5.0708	MXL	7	19405041	19414401	19408257.0	5	6.67668	5.713151999999999
32623009	5.94575	MXL	8	32623009	32635171	32630146.0	4	6.11883	5.572635
32628612	5.11298	MXL	8	32623009	32635171	32630146.0	4	6.11883	5.572635
32631680	5.11298	MXL	8	32623009	32635171	32630146.0	4	6.11883	5.572635
32635171	6.11883	MXL	8	32623009	32635171	32630146.0	4	6.11883	5.572635
