pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
582671	5.45717	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
730278	5.7595	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
732408	5.54385	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
733215	6.17469	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
735714	5.27003	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
808623	5.38049	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
893285	5.05234	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
945709	5.22416	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
952772	5.0956	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
976111	5.0496	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
980568	5.54385	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
981487	5.42568	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
981839	5.58866	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
981882	5.58866	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
981998	5.35387	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
986504	5.72623	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
989254	6.87569	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
991691	7.81083	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
993855	7.56077	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
994033	6.46303	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
994978	5.2276	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1009311	5.02602	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1010108	5.02602	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1015850	5.43498	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1025683	7.03514	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1059510	5.43444	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1059715	5.43444	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1060773	5.66467	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1061125	5.66467	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1074475	5.45717	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1074984	5.31434	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1076933	5.67194	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1098714	5.68775	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1246344	5.61319	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1246851	5.18093	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1267700	5.29362	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1270447	5.11566	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1279758	8.08469	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1385385	6.01875	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1485926	5.46369	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1488257	6.03014	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1488878	5.55241	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1520114	5.52306	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1523758	6.88961	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1524301	6.8482	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1525359	6.2229	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1529890	5.83224	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1533125	5.59798	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1533213	5.59798	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1541201	5.01543	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1541225	5.01543	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1541230	5.01543	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1623054	5.71756	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
1623744	5.00527	YRI	27	582671	1623744	1060244.0	54	8.08469	5.715889814814814
2451709	5.18882	YRI	26	2451709	2484904	2452448.5	6	6.19988	5.972983333333334
2452068	6.19988	YRI	26	2451709	2484904	2452448.5	6	6.19988	5.972983333333334
2452444	6.19988	YRI	26	2451709	2484904	2452448.5	6	6.19988	5.972983333333334
2452453	6.19988	YRI	26	2451709	2484904	2452448.5	6	6.19988	5.972983333333334
2452743	6.19988	YRI	26	2451709	2484904	2452448.5	6	6.19988	5.972983333333334
2484904	5.84956	YRI	26	2451709	2484904	2452448.5	6	6.19988	5.972983333333334
3428194	5.17552	YRI	24	3428194	3428194	3428194.0	1	5.17552	5.17552
3634773	5.75273	YRI	25	3634773	3634773	3634773.0	1	5.75273	5.75273
