pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
969209	5.80047	KHV	1	969209	981998	979981.0	11	8.19471	7.370501818181819
969261	5.80047	KHV	1	969209	981998	979981.0	11	8.19471	7.370501818181819
969623	7.08872	KHV	1	969209	981998	979981.0	11	8.19471	7.370501818181819
970067	5.80127	KHV	1	969209	981998	979981.0	11	8.19471	7.370501818181819
975067	7.98926	KHV	1	969209	981998	979981.0	11	8.19471	7.370501818181819
979981	8.15785	KHV	1	969209	981998	979981.0	11	8.19471	7.370501818181819
980568	8.19471	KHV	1	969209	981998	979981.0	11	8.19471	7.370501818181819
981487	8.19471	KHV	1	969209	981998	979981.0	11	8.19471	7.370501818181819
981839	8.19471	KHV	1	969209	981998	979981.0	11	8.19471	7.370501818181819
981882	8.19471	KHV	1	969209	981998	979981.0	11	8.19471	7.370501818181819
981998	7.65864	KHV	1	969209	981998	979981.0	11	8.19471	7.370501818181819
