pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
700617	6.1133	JPT	1	700617	705482	704899.5	12	6.99186	5.722437500000001
701874	6.99186	JPT	1	700617	705482	704899.5	12	6.99186	5.722437500000001
702544	5.34293	JPT	1	700617	705482	704899.5	12	6.99186	5.722437500000001
704589	5.34293	JPT	1	700617	705482	704899.5	12	6.99186	5.722437500000001
704670	5.6479	JPT	1	700617	705482	704899.5	12	6.99186	5.722437500000001
704859	5.6479	JPT	1	700617	705482	704899.5	12	6.99186	5.722437500000001
704940	5.6479	JPT	1	700617	705482	704899.5	12	6.99186	5.722437500000001
704949	5.34293	JPT	1	700617	705482	704899.5	12	6.99186	5.722437500000001
705084	5.6479	JPT	1	700617	705482	704899.5	12	6.99186	5.722437500000001
705159	5.6479	JPT	1	700617	705482	704899.5	12	6.99186	5.722437500000001
705191	5.6479	JPT	1	700617	705482	704899.5	12	6.99186	5.722437500000001
705482	5.6479	JPT	1	700617	705482	704899.5	12	6.99186	5.722437500000001
916135	6.90714	JPT	2	916135	920377	918722.0	4	6.90714	5.87753
917194	5.028	JPT	2	916135	920377	918722.0	4	6.90714	5.87753
920250	5.70615	JPT	2	916135	920377	918722.0	4	6.90714	5.87753
920377	5.86883	JPT	2	916135	920377	918722.0	4	6.90714	5.87753
1605036	5.87241	JPT	3	1605036	1623054	1611398.5	4	6.32435	5.9348275
1611353	6.32435	JPT	3	1605036	1623054	1611398.5	4	6.32435	5.9348275
1611444	6.32435	JPT	3	1605036	1623054	1611398.5	4	6.32435	5.9348275
1623054	5.2182	JPT	3	1605036	1623054	1611398.5	4	6.32435	5.9348275
