chr	gene_start	gene_end	strand	gene_id	gene_name	gene_type	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
X	5168918	5169439	-	ENSG00000235039	MTND6P12	processed_pseudogene	subject	overlapping	X	5124256	5143807	19551	24	3.70297
X	5169512	5170645	+	ENSG00000226313	MTCYBP12	processed_pseudogene	subject	overlapping	X	5124256	5143807	19551	24	3.70297
X	6667865	7148158	-	ENSG00000130021	PUDP	protein_coding	subject	flanking	X	7169966	7189837	19871	31	3.7933
X	7147237	7804358	+	ENSG00000101846	STS	protein_coding	subject	contains_region	X	7169966	7189837	19871	31	3.7933
X	7147860	7147937	+	ENSG00000264268	MIR4767	miRNA	subject	overlapping	X	7169966	7189837	19871	31	3.7933
X	10445310	10833654	-	ENSG00000101871	MID1	protein_coding	subject	contains_region	X	10777343	10796361	19018	40	3.88378
X	14977959	14978463	-	ENSG00000235929	TPT1P14	processed_pseudogene	subject	overlapping	X	15012298	15032080	19782	20	4.55521
X	33726337	34346527	+	ENSG00000233928	ENSG00000233928	lncRNA	subject	contains_region	X	34179373	34198882	19509	45	4.12147
X	34129752	34132314	-	ENSG00000185448	FAM47A	protein_coding	subject	overlapping	X	34179373	34198882	19509	45	4.12147
X	34147036	34147586	+	ENSG00000185638	FTH1P14	processed_pseudogene	subject	overlapping	X	34179373	34198882	19509	45	4.12147
X	34206725	34415537	-	ENSG00000233571	ENSG00000233571	lncRNA	subject	flanking	X	34179373	34198882	19509	45	4.12147
X	41085445	41236579	+	ENSG00000124486	USP9X	protein_coding	escape	contains_region	X	41181272	41200216	18944	24	4.08829
X	44873188	45112779	+	ENSG00000147050	KDM6A	protein_coding	escape	contains_region	X	44922916	44942324	19408	25	3.96849
X	55654709	55657014	-	ENSG00000169164	ENSG00000169164	transcribed_unprocessed_pseudogene	subject	overlapping	X	55692885	55711827	18942	22	4.25216
X	55654721	55656965	-	ENSG00000290520	ENSG00000290520	lncRNA	subject	overlapping	X	55692885	55711827	18942	22	4.25216
X	55717749	55758774	+	ENSG00000083750	RRAGB	protein_coding	subject	overlapping	X	55692885	55711827	18942	22	4.25216
X	57286706	57489193	+	ENSG00000165591	FAAH2	protein_coding	subject	flanking	X	57485408	57504053	18645	27	5.0269
X	62878811	62884842	-	ENSG00000234570	ZFRP1	processed_pseudogene	subject	overlapping	X	62899521	62918974	19453	42	4.09457
X	63634967	63809274	-	ENSG00000131089	ARHGEF9	protein_coding	subject	flanking	X	63836918	63845803	8885	20	3.52946
X	73212299	73214851	-	ENSG00000186462	NAP1L2	protein_coding	subject	overlapping	X	73236957	73256933	19976	22	5.46146
X	73223124	73223558	+	ENSG00000230311	TOMM20P4	processed_pseudogene	subject	overlapping	X	73236957	73256933	19976	22	5.46146
