gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
ENSG00000285756	ENSG00000285756	lncRNA	X	3817528	3937855	-	subject	flanking	X	3981896	4000751	18855	26	8.00504
RPL24P9	ENSG00000225722	processed_pseudogene	X	3953056	3953561	+	subject	overlapping	X	3981896	4000751	18855	26	8.00504
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	overlapping	X	5117087	5149831	32744	88	4.72607
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	overlapping	X	5117087	5149831	32744	88	4.72607
STS	ENSG00000101846	protein_coding	X	7147237	7804358	+	subject	contains_region	X	7203793	7220673	16880	20	4.13224
MID1	ENSG00000101871	protein_coding	X	10445310	10833654	-	subject	contains_region	X	10779965	10793918	13953	37	5.71293
DMD	ENSG00000198947	protein_coding	X	31097677	33339609	-	subject	contains_region	X	31779320	31809538	30218	49	4.94033
ENSG00000233928	ENSG00000233928	lncRNA	X	33726337	34346527	+	subject	contains_region	X	33836451	33856709	20258	27	4.44618
USP9X	ENSG00000124486	protein_coding	X	41085445	41236579	+	escapee	contains_region	X	41194111	41225281	31170	43	5.75216
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87159665	87183874	24209	30	6.02942
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87159665	87183874	24209	30	6.02942
TGIF2LX	ENSG00000153779	protein_coding	X	89921908	89922883	+	subject	overlapping	X	89937786	89958270	20484	27	5.81383
UBE2V1P9	ENSG00000229667	processed_pseudogene	X	90289536	90289903	-	subject	contained	X	90268807	90296158	27351	55	6.23048
DLGAP5P2	ENSG00000237873	processed_pseudogene	X	93042490	93042942	+	subject	contained	X	93040425	93059610	19185	34	5.52695
RPL7P55	ENSG00000228301	processed_pseudogene	X	93573834	93574579	+	subject	overlapping	X	93507314	93530200	22886	35	6.93564
PRPF4BP1	ENSG00000224217	processed_pseudogene	X	116748530	116748877	-	subject	overlapping	X	116756320	116799554	43234	83	6.33646
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117351007	117371197	20190	45	6.41039
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117351007	117371197	20190	45	6.41039
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117425882	117449948	24066	76	5.74241
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117425882	117449948	24066	76	5.74241
F9	ENSG00000101981	protein_coding	X	139530739	139563459	+	subject	flanking	X	139588759	139605156	16397	21	5.59937
MCF2	ENSG00000101977	protein_coding	X	139581770	139708216	-	subject	contains_region	X	139588759	139605156	16397	21	5.59937
