ihs_pos	ihs_std_score	ihs_abs_score	relate_pos	relate_score	distance	n_relate_nearby
5565876	-3.4227	3.4227	5600295	5.00439	34419	1
5566235	3.55379	3.55379	5600295	5.00439	34060	1
5567326	-3.87597	3.87597	5600295	5.00439	32969	1
10767312	3.80927	3.80927	10754672	5.40614	12640	1
10787134	5.49381	5.49381	10754672	5.40614	32462	1
10787345	-5.26994	5.26994	10754672	5.40614	32673	1
10787354	-5.26994	5.26994	10754672	5.40614	32682	1
10788182	5.05139	5.05139	10754672	5.40614	33510	1
10788673	-4.91973	4.91973	10754672	5.40614	34001	1
10789015	4.8975	4.8975	10754672	5.40614	34343	1
10789224	3.86298	3.86298	10754672	5.40614	34552	1
10790172	-4.25519	4.25519	10754672	5.40614	35500	1
10790277	-4.25519	4.25519	10754672	5.40614	35605	1
10790304	4.25728	4.25728	10754672	5.40614	35632	1
10790892	-3.65772	3.65772	10754672	5.40614	36220	1
10792486	3.86944	3.86944	10754672	5.40614	37814	1
10793141	-3.82992	3.82992	10754672	5.40614	38469	1
10795564	-4.63198	4.63198	10754672	5.40614	40892	1
10797083	3.37511	3.37511	10754672	5.40614	42411	1
20629981	3.40943	3.40943	20661411	5.41261	31430	3
20651362	4.59915	4.59915	20661411	5.41261	10049	3
20652257	3.51761	3.51761	20661411	5.41261	9154	3
20661416	3.75531	3.75531	20661411	5.41261	5	3
22260440	3.58956	3.58956	22269803	6.12016	9363	2
