chr	start	end	n_variants	max_xpehh	length_kb
X	2781266	2781457	7	-499.779	0.191
X	155704002	155706117	29	327.947	2.115
X	21758593	25003886	1089	-40.822	3245.293
X	139123913	145930514	5480	-36.9207	6806.601
X	7834102	10214520	1715	-33.5988	2380.418
X	43743432	46339431	1345	-28.7642	2595.999
X	146460326	153299902	3931	-27.613	6839.576
X	11687501	14595738	1266	-27.4597	2908.237
X	122382127	126319675	1389	-22.7181	3937.548
X	31989708	33728187	1096	-21.1835	1738.479
X	37591800	43088463	2942	-19.9962	5496.663
X	88428927	88985787	343	-18.8024	556.86
X	4655246	6791890	683	-17.7289	2136.644
X	109374325	112836895	1583	-15.3252	3462.57
X	119347398	121196331	494	-14.997	1848.933
X	16020219	18021684	215	-14.368	2001.465
X	95726324	95974576	145	-14.2483	248.252
X	35559684	35865490	283	-14.141	305.806
X	50641613	50937697	535	-12.8681	296.084
X	100509406	101322551	345	-12.6809	813.145
X	113981174	116835216	1091	-12.429	2854.042
X	47062126	48472995	272	-11.996	1410.869
X	29201755	31404302	573	-11.906	2202.547
X	69939427	70452805	129	-11.7057	513.378
X	136103931	136523757	220	-11.3979	419.826
X	96539613	97910486	418	-11.3154	1370.873
X	68184197	69235859	976	-11.0232	1051.662
X	99980811	99998656	97	-9.93747	17.845
X	49636881	49934210	31	-9.24283	297.329
X	133157353	133430626	58	-9.21503	273.273
X	53270238	53323893	302	-9.01123	53.655
X	117484059	118469788	287	-8.38738	985.729
X	94982518	94985742	59	-7.76926	3.224
X	71218871	72388595	308	-7.45519	1169.724
X	18670223	19490140	492	-7.4369	819.917
X	85848579	85853833	31	-7.1982	5.254
X	131080398	132028671	84	-6.55532	948.273
X	92317381	92881291	46	-6.53482	563.91
X	128609790	129989302	173	-6.49185	1379.512
X	53876297	53890239	93	-6.472	13.942
X	135468448	135477468	68	-6.33557	9.02
X	20305393	20606821	181	-6.26582	301.428
X	3693086	3963324	89	-6.11527	270.238
X	36577137	36820477	118	-5.64121	243.34
X	93407035	94433333	136	-5.52706	1026.298
X	90041140	90791873	221	-5.31046	750.733
X	134530482	134929299	171	-5.24782	398.817
X	25754245	26072220	30	-5.13201	317.975
X	27086962	27087793	10	-5.11441	0.831
X	27998008	28669477	99	-5.1084	671.469
X	34883337	35002943	37	-4.91513	119.606
X	137990110	137993312	12	-4.83254	3.202
X	86845577	87696443	71	-4.6283	850.866
X	137093208	137298497	57	-4.55353	205.289
X	98832723	99206726	44	-4.47679	374.003
X	74428625	74430577	5	-3.80025	1.952
X	103736205	103822996	10	-3.73874	86.791
X	84877889	84879176	6	-3.59464	1.287
X	80931394	81282002	14	-3.55382	350.608
X	91749009	91749552	4	-3.18677	0.543
X	107974084	107974940	2	-2.97708	0.856
X	83478951	83488191	17	-2.90655	9.24
X	55018806	55027931	19	-2.88089	9.125
X	78592685	78593659	4	-2.62388	0.974
X	10718644	10728186	10	-2.50802	9.542
