cluster_id	pos	relate_score	population	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
16	19832670	6.43564	PEL	19832670	19924848	19917727.0	7	6.43564	5.724082857142856
17	18888601	5.48362	PEL	18888601	19615047	19338482.0	46	8.19456	5.97791195652174
18	21148027	5.22991	PEL	21148027	21695333	21384133.5	24	8.81195	6.596228333333333
19	20325700	5.18449	PEL	20325700	20823989	20676539.0	31	7.98607	5.952468064516128
30	27830913	6.09768	PEL	27830913	27990367	27967695.0	7	6.09768	5.5081371428571435
31	30555616	5.37638	PEL	30555616	30598218	30576917.0	2	6.1219	5.749140000000001
40	48917663	5.44917	PEL	48917663	48994855	48978470.0	7	7.02203	5.673864285714286
43	50741219	7.19512	PEL	50741219	51416063	51069326.5	44	7.50558	5.684846363636364
47	45321561	5.52913	PEL	45321561	45322474	45322161.0	3	5.52913	5.529129999999999
49	44817514	6.1219	PEL	44817514	44958505	44830980.0	7	6.1219	6.0472600000000005
57	90617797	5.84969	PEL	90617797	90617881	90617839.0	2	5.84969	5.84969
70	99196243	6.71536	PEL	99196243	99696542	99480293.0	9	6.98213	6.079094444444445
73	122377828	5.44917	PEL	122377828	122830899	122598743.0	8	6.20334	5.8647025
74	105708824	5.52047	PEL	105708824	105786667	105714302.0	3	5.7948	5.611913333333334
80	117894526	5.18449	PEL	117894526	118173763	117994885.0	55	6.77113	6.322639090909091
84	114693637	7.19512	PEL	114693637	115052888	114864312.5	78	7.7372	6.8647651282051285
85	115682738	5.6544	PEL	115682738	115682738	115682738.0	1	5.6544	5.6544
90	109536514	5.26979	PEL	109536514	109908303	109787898.5	14	7.4835	5.923732857142859
91	111707814	5.18449	PEL	111707814	112162177	111922316.0	21	7.62144	5.7643138095238085
92	110375080	5.84969	PEL	110375080	111272453	110922792.0	57	7.77643	6.056230350877193
99	144556440	5.0963	PEL	144556440	144556440	144556440.0	1	5.0963	5.0963
100	151448768	5.69178	PEL	151448768	151747830	151563609.0	7	5.69178	5.359744285714285
107	146221182	5.05586	PEL	146221182	147040332	146441652.5	36	7.13132	5.520083888888888
110	128516110	5.6286	PEL	128516110	128940397	128866950.0	24	7.7372	6.409440833333332
119	67519774	5.05586	PEL	67519774	67857316	67618909.0	5	6.47442	5.409192
