ihs_pos	ihs_std_score	ihs_abs_score	relate_pos	relate_score	distance	n_relate_nearby
32819005	-6.51555	6.51555	32792408	7.36154	26597	2
68780389	-6.33143	6.33143	68797248	5.61621	16859	4
68782824	5.85688	5.85688	68797248	5.61621	14424	4
68786454	6.26626	6.26626	68797248	5.61621	10794	4
107783358	6.1448	6.1448	107794565	6.56681	11207	8
116384225	-5.716	5.716	116420052	8.93388	35827	7
140294292	-6.42606	6.42606	140266408	8.69266	27884	12
140310653	-5.87536	5.87536	140266408	8.69266	44245	12
142892590	-6.85227	6.85227	142907688	6.45781	15098	1
142894433	-6.61033	6.61033	142907688	6.45781	13255	1
147601948	7.48335	7.48335	147648944	8.01792	46996	10
