population	continent	ihs_threshold	n_ihs	n_relate	n_overlap_ihs	n_overlap_relate	n_mutual_ihs	n_mutual_relate	pct_ihs_confirmed	pct_relate_confirmed	pct_mutual_ihs	pct_mutual_relate	jaccard_index
ACB	AFR	3.89581	1501	198	31	27	31	27	2.0652898067954695	13.636363636363635	2.0652898067954695	13.636363636363635	0.01858513189448441
ASW	AFR	1.20078	1726	102	50	6	50	6	2.8968713789107765	5.88235294117647	2.8968713789107765	5.88235294117647	0.0281214848143982
ESN	AFR	3.82298	1526	212	33	36	33	36	2.1625163826998692	16.9811320754717	2.1625163826998692	16.9811320754717	0.01935483870967742
GWD	AFR	3.82718	1621	179	34	7	34	7	2.0974706971005554	3.910614525139665	2.0974706971005554	3.910614525139665	0.01925254813137033
LWK	AFR	4.34861	1074	232	72	9	72	9	6.70391061452514	3.8793103448275863	6.70391061452514	3.8793103448275863	0.05834683954619125
MSL	AFR	3.93032	1343	98	15	4	15	4	1.1169024571854058	4.081632653061225	1.1169024571854058	4.081632653061225	0.010518934081346423
YRI	AFR	3.81796	1593	155	43	21	43	21	2.699309478970496	13.548387096774196	2.699309478970496	13.548387096774196	0.025219941348973606
CLM	AMR	4.1312	1065	913	44	89	44	89	4.131455399061033	9.748083242059145	4.131455399061033	9.748083242059145	0.022750775594622543
MXL	AMR	3.60608	2152	295	121	49	121	49	5.622676579925651	16.610169491525422	5.622676579925651	16.610169491525422	0.052020636285468616
PEL	AMR	3.99771	1272	983	125	200	125	200	9.827044025157234	20.345879959308242	9.827044025157234	20.345879959308242	0.05868544600938967
PUR	AMR	4.11013	1152	698	107	94	107	94	9.288194444444445	13.46704871060172	9.288194444444445	13.46704871060172	0.06138841078600115
CDX	EAS	3.96314	1311	26	1	1	1	1	0.07627765064836003	3.8461538461538463	0.07627765064836003	3.8461538461538463	0.0007485029940119761
CHB	EAS	3.88978	1364	53	0	0	0	0	0.0	0.0	0.0	0.0	0.0
CHS	EAS	4.27735	1037	60	0	0	0	0	0.0	0.0	0.0	0.0	0.0
JPT	EAS	3.76456	1567	32	4	2	4	2	0.2552648372686663	6.25	0.2552648372686663	6.25	0.0025078369905956114
KHV	EAS	3.89623	1343	23	3	1	3	1	0.22338049143708116	4.3478260869565215	0.22338049143708116	4.3478260869565215	0.0022010271460014674
CEU	EUR	4.16567	1216	53	0	0	0	0	0.0	0.0	0.0	0.0	0.0
FIN	EUR	4.41193	1031	30	1	1	1	1	0.09699321047526674	3.3333333333333335	0.09699321047526674	3.3333333333333335	0.0009433962264150943
GBR	EUR	4.51947	1007	32	2	2	2	2	0.19860973187686196	6.25	0.19860973187686196	6.25	0.0019286403085824494
IBS	EUR	4.05703	1200	171	48	25	48	25	4.0	14.619883040935672	4.0	14.619883040935672	0.036281179138321996
TSI	EUR	1.98617	1	101	0	0	0	0	0.0	0.0	0.0	0.0	0.0
BEB	SAS	4.2814	1076	90	3	1	3	1	0.2788104089219331	1.1111111111111112	0.2788104089219331	1.1111111111111112	0.0025795356835769563
GIH	SAS	2.33701	1	57	0	0	0	0	0.0	0.0	0.0	0.0	0.0
ITU	SAS	4.17856	1138	61	0	0	0	0	0.0	0.0	0.0	0.0	0.0
PJL	SAS	3.87446	1527	57	12	5	12	5	0.7858546168958742	8.771929824561402	0.7858546168958742	8.771929824561402	0.007633587786259542
STU	SAS	4.33978	1040	60	0	0	0	0	0.0	0.0	0.0	0.0	0.0
