chr	gene_start	gene_end	strand	gene_id	gene_name	gene_type	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
1	1512162	1534685	+	ENSG00000197785	ATAD3A	protein_coding	not_applicable	flanking	1	1562444	1875208	312764	85	5.68763
1	1534778	1540624	-	ENSG00000205090	TMEM240	protein_coding	not_applicable	overlapping	1	1562444	1875208	312764	85	5.68763
1	1541673	1574863	-	ENSG00000160075	SSU72	protein_coding	not_applicable	overlapping	1	1562444	1875208	312764	85	5.68763
1	1598012	1600135	-	ENSG00000228594	FNDC10	protein_coding	not_applicable	contained	1	1562444	1875208	312764	85	5.68763
1	1615454	1630605	+	ENSG00000197530	MIB2	protein_coding	not_applicable	contained	1	1562444	1875208	312764	85	5.68763
1	1632163	1635263	+	ENSG00000189409	MMP23B	protein_coding	not_applicable	contained	1	1562444	1875208	312764	85	5.68763
1	1635225	1659012	-	ENSG00000248333	CDK11B	protein_coding	not_applicable	contained	1	1562444	1875208	312764	85	5.68763
1	1659529	1692795	-	ENSG00000189339	SLC35E2B	protein_coding	not_applicable	contained	1	1562444	1875208	312764	85	5.68763
1	1702379	1724357	-	ENSG00000008128	CDK11A	protein_coding	not_applicable	contained	1	1562444	1875208	312764	85	5.68763
1	1751232	1780457	-	ENSG00000008130	NADK	protein_coding	not_applicable	contained	1	1562444	1875208	312764	85	5.68763
1	1785285	1892292	-	ENSG00000078369	GNB1	protein_coding	not_applicable	overlapping	1	1562444	1875208	312764	85	5.68763
1	1915108	1917296	+	ENSG00000169885	CALML6	protein_coding	not_applicable	overlapping	1	1562444	1875208	312764	85	5.68763
1	1917590	1919279	-	ENSG00000178821	TMEM52	protein_coding	not_applicable	overlapping	1	1562444	1875208	312764	85	5.68763
1	1921951	2003837	-	ENSG00000142609	CFAP74	protein_coding	not_applicable	flanking	1	1562444	1875208	312764	85	5.68763
1	2019329	2030758	+	ENSG00000187730	GABRD	protein_coding	not_applicable	flanking	1	2076235	2382880	306645	113	6.29091
1	2050411	2185395	+	ENSG00000067606	PRKCZ	protein_coding	not_applicable	overlapping	1	2076235	2382880	306645	113	6.29091
1	2184461	2212720	-	ENSG00000162585	FAAP20	protein_coding	not_applicable	contained	1	2076235	2382880	306645	113	6.29091
1	2227388	2310213	+	ENSG00000157933	SKI	protein_coding	not_applicable	contained	1	2076235	2382880	306645	113	6.29091
1	2321253	2391707	-	ENSG00000116151	MORN1	protein_coding	not_applicable	overlapping	1	2076235	2382880	306645	113	6.29091
1	2391775	2405442	+	ENSG00000157916	RER1	protein_coding	not_applicable	overlapping	1	2076235	2382880	306645	113	6.29091
1	2403964	2413797	-	ENSG00000157911	PEX10	protein_coding	not_applicable	overlapping	1	2076235	2382880	306645	113	6.29091
1	2425980	2505532	+	ENSG00000149527	PLCH2	protein_coding	not_applicable	flanking	1	2076235	2382880	306645	113	6.29091
1	3069168	3438621	+	ENSG00000142611	PRDM16	protein_coding	not_applicable	flanking	1	3164745	3598715	433970	36	8.02328
1	3454665	3481113	+	ENSG00000130762	ARHGEF16	protein_coding	not_applicable	contained	1	3164745	3598715	433970	36	8.02328
1	3487951	3611508	-	ENSG00000162591	MEGF6	protein_coding	not_applicable	overlapping	1	3164745	3598715	433970	36	8.02328
1	3625015	3630127	+	ENSG00000158109	TPRG1L	protein_coding	not_applicable	overlapping	1	3164745	3598715	433970	36	8.02328
1	3630767	3652761	-	ENSG00000116213	WRAP73	protein_coding	not_applicable	flanking	1	3164745	3598715	433970	36	8.02328
1	3652516	3736201	+	ENSG00000078900	TP73	protein_coding	not_applicable	flanking	1	3752637	4252145	499508	92	7.57543
1	3746460	3771645	+	ENSG00000162592	CCDC27	protein_coding	not_applicable	overlapping	1	3752637	4252145	499508	92	7.57543
1	3772749	3775982	+	ENSG00000235169	SMIM1	protein_coding	not_applicable	contained	1	3752637	4252145	499508	92	7.57543
1	3778559	3796498	-	ENSG00000130764	LRRC47	protein_coding	not_applicable	contained	1	3752637	4252145	499508	92	7.57543
1	3812086	3857396	-	ENSG00000116198	CEP104	protein_coding	not_applicable	contained	1	3752637	4252145	499508	92	7.57543
1	3857267	3885429	+	ENSG00000169598	DFFB	protein_coding	not_applicable	contained	1	3752637	4252145	499508	92	7.57543
1	3889125	3900293	-	ENSG00000198912	C1orf174	protein_coding	not_applicable	contained	1	3752637	4252145	499508	92	7.57543
1	4654609	4792534	+	ENSG00000196581	AJAP1	protein_coding	not_applicable	flanking	1	4809304	5071837	262533	4	2.96216
1	5862811	5992473	-	ENSG00000131697	NPHP4	protein_coding	not_applicable	overlapping	1	5869712	6351154	481442	97	7.31034
1	5990927	6101193	+	ENSG00000069424	KCNAB2	protein_coding	not_applicable	contained	1	5869712	6351154	481442	97	7.31034
1	6101787	6180321	-	ENSG00000116254	CHD5	protein_coding	not_applicable	contained	1	5869712	6351154	481442	97	7.31034
1	6159430	6197757	-	ENSG00000285629	ENSG00000285629	protein_coding	not_applicable	contained	1	5869712	6351154	481442	97	7.31034
1	6185020	6209389	-	ENSG00000116251	RPL22	protein_coding	not_applicable	contained	1	5869712	6351154	481442	97	7.31034
1	6205475	6221299	+	ENSG00000158286	RNF207	protein_coding	not_applicable	contained	1	5869712	6351154	481442	97	7.31034
1	6221193	6235972	-	ENSG00000116237	ICMT	protein_coding	not_applicable	contained	1	5869712	6351154	481442	97	7.31034
1	6244179	6245578	+	ENSG00000173673	HES3	protein_coding	not_applicable	contained	1	5869712	6351154	481442	97	7.31034
1	6247353	6261098	-	ENSG00000158292	GPR153	protein_coding	not_applicable	contained	1	5869712	6351154	481442	97	7.31034
1	6264269	6393767	-	ENSG00000097021	ACOT7	protein_coding	not_applicable	overlapping	1	5869712	6351154	481442	97	7.31034
1	6412418	6424670	-	ENSG00000069812	HES2	protein_coding	not_applicable	contained	1	6376113	6719725	343612	74	5.25674
1	6424776	6461367	+	ENSG00000187017	ESPN	protein_coding	not_applicable	contained	1	6376113	6719725	343612	74	5.25674
1	6460786	6466175	-	ENSG00000215788	TNFRSF25	protein_coding	not_applicable	contained	1	6376113	6719725	343612	74	5.25674
1	6467122	6520074	-	ENSG00000171680	PLEKHG5	protein_coding	not_applicable	contained	1	6376113	6719725	343612	74	5.25674
1	6521347	6554513	-	ENSG00000162408	NOL9	protein_coding	not_applicable	contained	1	6376113	6719725	343612	74	5.25674
1	6555307	6579755	+	ENSG00000173662	TAS1R1	protein_coding	not_applicable	contained	1	6376113	6719725	343612	74	5.25674
1	6579994	6589280	+	ENSG00000204859	ZBTB48	protein_coding	not_applicable	contained	1	6376113	6719725	343612	74	5.25674
1	6590724	6614607	-	ENSG00000162413	KLHL21	protein_coding	not_applicable	contained	1	6376113	6719725	343612	74	5.25674
1	6613731	6624030	+	ENSG00000116273	PHF13	protein_coding	not_applicable	contained	1	6376113	6719725	343612	74	5.25674
1	6624868	6635586	+	ENSG00000041988	THAP3	protein_coding	not_applicable	contained	1	6376113	6719725	343612	74	5.25674
1	6634168	6701924	-	ENSG00000007923	DNAJC11	protein_coding	not_applicable	contained	1	6376113	6719725	343612	74	5.25674
1	6785454	7769706	+	ENSG00000171735	CAMTA1	protein_coding	not_applicable	contains_region	1	6927345	7409720	482375	32	4.75289
1	7771296	7781432	+	ENSG00000049245	VAMP3	protein_coding	not_applicable	contained	1	7568155	8007192	439037	74	6.24311
1	7784291	7845177	+	ENSG00000049246	PER3	protein_coding	not_applicable	contained	1	7568155	8007192	439037	74	6.24311
1	7843083	7853512	-	ENSG00000049247	UTS2	protein_coding	not_applicable	contained	1	7568155	8007192	439037	74	6.24311
1	7915871	7943165	-	ENSG00000049249	TNFRSF9	protein_coding	not_applicable	contained	1	7568155	8007192	439037	74	6.24311
1	7954291	7985505	+	ENSG00000116288	PARK7	protein_coding	not_applicable	contained	1	7568155	8007192	439037	74	6.24311
1	8004404	8026309	-	ENSG00000116285	ERRFI1	protein_coding	not_applicable	overlapping	1	7568155	8007192	439037	74	6.24311
1	8318114	8344167	+	ENSG00000162426	SLC45A1	protein_coding	not_applicable	contained	1	8166314	8622779	456465	30	6.13251
1	8352397	8848921	-	ENSG00000142599	RERE	protein_coding	not_applicable	flanking	1	8166314	8622779	456465	30	6.13251
1	8861000	8879190	-	ENSG00000074800	ENO1	protein_coding	not_applicable	contained	1	8728463	9195232	466769	10	6.29039
1	8945867	8975092	+	ENSG00000131686	CA6	protein_coding	not_applicable	contained	1	8728463	9195232	466769	10	6.29039
1	9002973	9026423	-	ENSG00000197241	SLC2A7	protein_coding	not_applicable	contained	1	8728463	9195232	466769	10	6.29039
1	9035106	9088478	-	ENSG00000142583	SLC2A5	protein_coding	not_applicable	contained	1	8728463	9195232	466769	10	6.29039
1	9100305	9129102	-	ENSG00000180758	GPR157	protein_coding	not_applicable	contained	1	8728463	9195232	466769	10	6.29039
1	9234774	9271337	+	ENSG00000049239	H6PD	protein_coding	not_applicable	flanking	1	8728463	9195232	466769	10	6.29039
1	9292894	9369532	+	ENSG00000171621	SPSB1	protein_coding	not_applicable	contained	1	9244919	9462697	217778	3	3.71232
1	9728926	9823984	-	ENSG00000171603	CLSTN1	protein_coding	not_applicable	flanking	1	9782908	10282571	499663	41	6.46203
1	9848276	9910336	-	ENSG00000178585	CTNNBIP1	protein_coding	not_applicable	contained	1	9782908	10282571	499663	41	6.46203
1	9922113	9943407	-	ENSG00000162441	LZIC	protein_coding	not_applicable	contained	1	9782908	10282571	499663	41	6.46203
1	9943428	9985501	+	ENSG00000173614	NMNAT1	protein_coding	not_applicable	contained	1	9782908	10282571	499663	41	6.46203
1	9997206	10016021	+	ENSG00000162444	RBP7	protein_coding	not_applicable	contained	1	9782908	10282571	499663	41	6.46203
1	10032832	10181239	+	ENSG00000130939	UBE4B	protein_coding	not_applicable	contained	1	9782908	10282571	499663	41	6.46203
1	10210570	10381603	+	ENSG00000054523	KIF1B	protein_coding	not_applicable	flanking	1	9782908	10282571	499663	41	6.46203
1	10398592	10420511	+	ENSG00000142657	PGD	protein_coding	not_applicable	contained	1	10356935	10659588	302653	89	7.49404
1	10430102	10452153	+	ENSG00000251503	CENPS-CORT	protein_coding	not_applicable	contained	1	10356935	10659588	302653	89	7.49404
1	10430433	10442808	+	ENSG00000175279	CENPS	protein_coding	not_applicable	contained	1	10356935	10659588	302653	89	7.49404
1	10450031	10451998	+	ENSG00000241563	CORT	protein_coding	not_applicable	contained	1	10356935	10659588	302653	89	7.49404
1	10456522	10472529	-	ENSG00000160049	DFFA	protein_coding	not_applicable	contained	1	10356935	10659588	302653	89	7.49404
1	10472288	10630758	+	ENSG00000142655	PEX14	protein_coding	not_applicable	contained	1	10356935	10659588	302653	89	7.49404
1	10636604	10796650	-	ENSG00000130940	CASZ1	protein_coding	not_applicable	flanking	1	10356935	10659588	302653	89	7.49404
1	10946471	10982076	-	ENSG00000175262	C1orf127	protein_coding	not_applicable	contained	1	10888395	11306427	418032	50	6.13287
1	11012344	11030528	+	ENSG00000120948	TARDBP	protein_coding	not_applicable	contained	1	10888395	11306427	418032	50	6.13287
1	11022009	11047239	-	ENSG00000009724	MASP2	protein_coding	not_applicable	contained	1	10888395	11306427	418032	50	6.13287
1	11054584	11060020	-	ENSG00000116649	SRM	protein_coding	not_applicable	contained	1	10888395	11306427	418032	50	6.13287
1	11066618	11099869	-	ENSG00000171824	EXOSC10	protein_coding	not_applicable	contained	1	10888395	11306427	418032	50	6.13287
1	11106535	11262556	-	ENSG00000198793	MTOR	protein_coding	not_applicable	contained	1	10888395	11306427	418032	50	6.13287
1	11189355	11195981	+	ENSG00000171819	ANGPTL7	protein_coding	not_applicable	contained	1	10888395	11306427	418032	50	6.13287
1	11273198	11296049	+	ENSG00000120942	UBIAD1	protein_coding	not_applicable	contained	1	10888395	11306427	418032	50	6.13287
1	11479155	11537551	+	ENSG00000204624	DISP3	protein_coding	not_applicable	contained	1	11465168	11962279	497111	23	7.60582
1	11637018	11655785	-	ENSG00000116661	FBXO2	protein_coding	not_applicable	contained	1	11465168	11962279	497111	23	7.60582
1	11654375	11663327	+	ENSG00000132879	FBXO44	protein_coding	not_applicable	contained	1	11465168	11962279	497111	23	7.60582
1	11658918	11691811	-	ENSG00000116670	MAD2L2	protein_coding	not_applicable	contained	1	11465168	11962279	497111	23	7.60582
1	11664200	11674354	+	ENSG00000116663	FBXO6	protein_coding	not_applicable	contained	1	11465168	11962279	497111	23	7.60582
1	11691710	11725857	+	ENSG00000162490	DRAXIN	protein_coding	not_applicable	contained	1	11465168	11962279	497111	23	7.60582
1	11736084	11754802	+	ENSG00000177674	AGTRAP	protein_coding	not_applicable	contained	1	11465168	11962279	497111	23	7.60582
1	11761787	11789585	+	ENSG00000215910	C1orf167	protein_coding	not_applicable	contained	1	11465168	11962279	497111	23	7.60582
1	11785723	11806455	-	ENSG00000177000	MTHFR	protein_coding	not_applicable	contained	1	11465168	11962279	497111	23	7.60582
1	11806096	11848079	+	ENSG00000011021	CLCN6	protein_coding	not_applicable	contained	1	11465168	11962279	497111	23	7.60582
1	11845709	11848345	-	ENSG00000175206	NPPA	protein_coding	not_applicable	contained	1	11465168	11962279	497111	23	7.60582
1	11857464	11858945	-	ENSG00000120937	NPPB	protein_coding	not_applicable	contained	1	11465168	11962279	497111	23	7.60582
1	11919591	11926428	-	ENSG00000116685	KIAA2013	protein_coding	not_applicable	contained	1	11465168	11962279	497111	23	7.60582
1	11934205	11975538	+	ENSG00000083444	PLOD1	protein_coding	not_applicable	overlapping	1	11465168	11962279	497111	23	7.60582
1	11980181	12015211	+	ENSG00000116688	MFN2	protein_coding	not_applicable	flanking	1	11465168	11962279	497111	23	7.60582
1	12063303	12144207	+	ENSG00000120949	TNFRSF8	protein_coding	not_applicable	overlapping	1	12105573	12567734	462161	12	5.51872
1	12166991	12209228	+	ENSG00000028137	TNFRSF1B	protein_coding	not_applicable	contained	1	12105573	12567734	462161	12	5.51872
1	12230030	12512047	+	ENSG00000048707	VPS13D	protein_coding	not_applicable	contained	1	12105573	12567734	462161	12	5.51872
1	12567910	12618210	-	ENSG00000162496	DHRS3	protein_coding	not_applicable	flanking	1	12105573	12567734	462161	12	5.51872
1	12644085	12667076	+	ENSG00000204518	AADACL4	protein_coding	not_applicable	contained	1	12638915	12762191	123276	23	3.536
1	12716110	12728760	+	ENSG00000188984	AADACL3	protein_coding	not_applicable	contained	1	12638915	12762191	123276	23	3.536
1	12746200	12763699	+	ENSG00000157330	CFAP107	protein_coding	not_applicable	overlapping	1	12638915	12762191	123276	23	3.536
1	12773738	12777906	+	ENSG00000116726	PRAMEF12	protein_coding	not_applicable	overlapping	1	12638915	12762191	123276	23	3.536
1	12791397	12796628	+	ENSG00000116721	PRAMEF1	protein_coding	not_applicable	overlapping	1	12638915	12762191	123276	23	3.536
1	13171848	13179459	+	ENSG00000204505	PRAMEF9	protein_coding	not_applicable	flanking	1	13228117	13716562	488445	28	4.89255
1	13196188	13201409	-	ENSG00000279169	PRAMEF13	protein_coding	not_applicable	overlapping	1	13228117	13716562	488445	28	4.89255
1	13222695	13226154	-	ENSG00000279804	PRAMEF18	protein_coding	not_applicable	overlapping	1	13228117	13716562	488445	28	4.89255
1	13254198	13263435	+	ENSG00000270601	PRAMEF5	protein_coding	not_applicable	contained	1	13228117	13716562	488445	28	4.89255
1	13281304	13285137	-	ENSG00000182330	PRAMEF8	protein_coding	not_applicable	contained	1	13228117	13716562	488445	28	4.89255
1	13303539	13308907	+	ENSG00000237700	PRAMEF33	protein_coding	not_applicable	contained	1	13228117	13716562	488445	28	4.89255
1	13315581	13322598	+	ENSG00000204501	PRAMEF15	protein_coding	not_applicable	contained	1	13228117	13716562	488445	28	4.89255
1	13341892	13347134	-	ENSG00000204481	PRAMEF14	protein_coding	not_applicable	contained	1	13228117	13716562	488445	28	4.89255
1	13368431	13371947	-	ENSG00000204480	PRAMEF19	protein_coding	not_applicable	contained	1	13228117	13716562	488445	28	4.89255
1	13389632	13392629	+	ENSG00000204479	PRAMEF17	protein_coding	not_applicable	contained	1	13228117	13716562	488445	28	4.89255
1	13410450	13421328	+	ENSG00000204478	PRAMEF20	protein_coding	not_applicable	contained	1	13228117	13716562	488445	28	4.89255
1	13474973	13514003	-	ENSG00000162494	LRRC38	protein_coding	not_applicable	contained	1	13228117	13716562	488445	28	4.89255
1	13583465	13617957	+	ENSG00000162493	PDPN	protein_coding	not_applicable	contained	1	13228117	13716562	488445	28	4.89255
1	13700188	13825079	+	ENSG00000116731	PRDM2	protein_coding	not_applicable	flanking	1	13228117	13716562	488445	28	4.89255
1	13892792	15118043	+	ENSG00000189337	KAZN	protein_coding	not_applicable	flanking	1	13745890	14231615	485725	33	6.49062
1	15152532	15220478	+	ENSG00000171729	TMEM51	protein_coding	not_applicable	contained	1	14834808	15309660	474852	46	5.02635
1	15236521	15400283	+	ENSG00000142621	FHAD1	protein_coding	not_applicable	flanking	1	14834808	15309660	474852	46	5.02635
1	15409888	15430339	+	ENSG00000142634	EFHD2	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15438442	15449242	+	ENSG00000162438	CTRC	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15456728	15472091	+	ENSG00000142615	CELA2A	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15465909	15491395	+	ENSG00000215704	CELA2B	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15490832	15526534	-	ENSG00000132906	CASP9	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15526813	15592379	+	ENSG00000116138	DNAJC16	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15571699	15585051	-	ENSG00000116771	AGMAT	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15617458	15669044	+	ENSG00000197312	DDI2	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15659713	15662033	+	ENSG00000215695	RSC1A1	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15684320	15734769	+	ENSG00000116786	PLEKHM2	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15736258	15741392	+	ENSG00000162461	SLC25A34	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15742499	15747982	+	ENSG00000162460	TMEM82	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15756607	15786594	+	ENSG00000162458	FBLIM1	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15807169	15809348	-	ENSG00000233954	UQCRHL	protein_coding	not_applicable	contained	1	15377292	15815406	438114	43	5.79476
1	15836095	15940456	+	ENSG00000065526	SPEN	protein_coding	not_applicable	flanking	1	15377292	15815406	438114	43	5.79476
1	16040252	16057311	+	ENSG00000184908	CLCNKB	protein_coding	not_applicable	flanking	1	16102590	16376968	274378	20	4.70116
1	16057769	16073651	-	ENSG00000185519	FAM131C	protein_coding	not_applicable	overlapping	1	16102590	16376968	274378	20	4.70116
1	16124337	16156069	-	ENSG00000142627	EPHA2	protein_coding	not_applicable	contained	1	16102590	16376968	274378	20	4.70116
1	16197854	16212652	-	ENSG00000142632	ARHGEF19	protein_coding	not_applicable	contained	1	16102590	16376968	274378	20	4.70116
1	16231692	16237183	-	ENSG00000132881	CPLANE2	protein_coding	not_applicable	contained	1	16102590	16376968	274378	20	4.70116
1	16246840	16352480	-	ENSG00000037637	FBXO42	protein_coding	not_applicable	contained	1	16102590	16376968	274378	20	4.70116
1	16352575	16398145	+	ENSG00000055070	SZRD1	protein_coding	not_applicable	overlapping	1	16102590	16376968	274378	20	4.70116
1	16387117	16437424	-	ENSG00000187144	SPATA21	protein_coding	not_applicable	flanking	1	16102590	16376968	274378	20	4.70116
1	16740273	16972964	+	ENSG00000058453	CROCC	protein_coding	not_applicable	flanking	1	16865730	17332681	466951	23	5.50536
1	16974502	16980632	-	ENSG00000117122	MFAP2	protein_coding	not_applicable	contained	1	16865730	17332681	466951	23	5.50536
