pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
702474	5.39419	CLM	1	702474	718983	716575.0	7	6.6681	5.832415714285715
702544	6.05997	CLM	1	702474	718983	716575.0	7	6.6681	5.832415714285715
707848	5.22105	CLM	1	702474	718983	716575.0	7	6.6681	5.832415714285715
716575	5.43054	CLM	1	702474	718983	716575.0	7	6.6681	5.832415714285715
718786	6.02653	CLM	1	702474	718983	716575.0	7	6.6681	5.832415714285715
718862	6.02653	CLM	1	702474	718983	716575.0	7	6.6681	5.832415714285715
718983	6.6681	CLM	1	702474	718983	716575.0	7	6.6681	5.832415714285715
830669	5.24185	CLM	2	830669	832840	832730.0	4	5.24185	5.155135
832709	5.12623	CLM	2	830669	832840	832730.0	4	5.24185	5.155135
832751	5.12623	CLM	2	830669	832840	832730.0	4	5.24185	5.155135
832840	5.12623	CLM	2	830669	832840	832730.0	4	5.24185	5.155135
1341546	7.04023	CLM	3	1341546	1357679	1352727.5	10	7.79519	6.810702000000001
1341548	7.04023	CLM	3	1341546	1357679	1352727.5	10	7.79519	6.810702000000001
1352245	6.4927	CLM	3	1341546	1357679	1352727.5	10	7.79519	6.810702000000001
1352649	6.4927	CLM	3	1341546	1357679	1352727.5	10	7.79519	6.810702000000001
1352724	6.4927	CLM	3	1341546	1357679	1352727.5	10	7.79519	6.810702000000001
1352731	7.79519	CLM	3	1341546	1357679	1352727.5	10	7.79519	6.810702000000001
1354354	7.79519	CLM	3	1341546	1357679	1352727.5	10	7.79519	6.810702000000001
1354393	6.4927	CLM	3	1341546	1357679	1352727.5	10	7.79519	6.810702000000001
1354508	5.76171	CLM	3	1341546	1357679	1352727.5	10	7.79519	6.810702000000001
1357679	6.70367	CLM	3	1341546	1357679	1352727.5	10	7.79519	6.810702000000001
6336553	5.94828	CLM	4	6336553	6340924	6340668.0	3	5.94828	5.94828
6340668	5.94828	CLM	4	6336553	6340924	6340668.0	3	5.94828	5.94828
6340924	5.94828	CLM	4	6336553	6340924	6340668.0	3	5.94828	5.94828
7648271	5.89045	CLM	5	7648271	7659677	7655777.0	5	5.89045	5.89045
7655735	5.89045	CLM	5	7648271	7659677	7655777.0	5	5.89045	5.89045
7655777	5.89045	CLM	5	7648271	7659677	7655777.0	5	5.89045	5.89045
7657943	5.89045	CLM	5	7648271	7659677	7655777.0	5	5.89045	5.89045
7659677	5.89045	CLM	5	7648271	7659677	7655777.0	5	5.89045	5.89045
7734286	5.29426	CLM	6	7734286	7748257	7747611.0	3	5.29426	5.29426
7747611	5.29426	CLM	6	7734286	7748257	7747611.0	3	5.29426	5.29426
7748257	5.29426	CLM	6	7734286	7748257	7747611.0	3	5.29426	5.29426
9993532	5.54868	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
9997252	8.68011	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
9997407	8.68011	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
10002776	5.06341	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
10002779	5.06341	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
10002804	7.18176	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
10006997	7.18176	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
10022661	5.79425	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
10029183	5.06341	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
10030793	5.06341	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
10032293	5.06341	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
10037218	5.06341	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
10038412	5.06341	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
10039919	5.06341	CLM	7	9993532	10039919	10014829.0	14	8.68011	5.969567857142858
13630737	5.89045	CLM	8	13630737	13637788	13636387.5	4	5.89045	5.89045
13635393	5.89045	CLM	8	13630737	13637788	13636387.5	4	5.89045	5.89045
13637382	5.89045	CLM	8	13630737	13637788	13636387.5	4	5.89045	5.89045
13637788	5.89045	CLM	8	13630737	13637788	13636387.5	4	5.89045	5.89045
18882445	6.02646	CLM	9	18882445	18888601	18887973.0	5	7.05071	6.38004
18887267	7.05071	CLM	9	18882445	18888601	18887973.0	5	7.05071	6.38004
18887973	6.39015	CLM	9	18882445	18888601	18887973.0	5	7.05071	6.38004
18888193	5.38217	CLM	9	18882445	18888601	18887973.0	5	7.05071	6.38004
18888601	7.05071	CLM	9	18882445	18888601	18887973.0	5	7.05071	6.38004
19186190	6.91046	CLM	10	19186190	19205203	19202649.0	5	6.91046	6.196592000000001
19202612	6.02646	CLM	10	19186190	19205203	19202649.0	5	6.91046	6.196592000000001
19202649	6.02646	CLM	10	19186190	19205203	19202649.0	5	6.91046	6.196592000000001
19205090	6.02646	CLM	10	19186190	19205203	19202649.0	5	6.91046	6.196592000000001
19205203	5.99312	CLM	10	19186190	19205203	19202649.0	5	6.91046	6.196592000000001
19224895	5.49949	CLM	11	19224895	19321243	19294862.0	23	10.3557	6.821009565217389
19239119	6.32977	CLM	11	19224895	19321243	19294862.0	23	10.3557	6.821009565217389
19239970	6.32977	CLM	11	19224895	19321243	19294862.0	23	10.3557	6.821009565217389
