gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
STS	ENSG00000101846	protein_coding	X	7147237	7804358	+	subject	contains_region	X	7198572	7220673	22101	23	4.53009
FAM9B	ENSG00000177138	protein_coding	X	9024232	9295682	-	subject	contains_region	X	9263694	9281578	17884	38	6.85287
MID1	ENSG00000101871	protein_coding	X	10445310	10833654	-	subject	contains_region	X	10785320	10794976	9656	21	5.0377
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	38291121	38307335	16214	21	5.5571
RPGR	ENSG00000156313	protein_coding	X	38269163	38327544	-	subject	contains_region	X	38291121	38307335	16214	21	5.5571
OTC	ENSG00000036473	protein_coding	X	38352586	38421446	+	subject	flanking	X	38291121	38307335	16214	21	5.5571
TEX11	ENSG00000120498	protein_coding	X	70528940	70908711	-	subject	contains_region	X	70568306	70581294	12988	24	5.19477
CPXCR1	ENSG00000147183	protein_coding	X	88747225	88754785	+	subject	overlapping	X	88759016	88774236	15220	21	4.96617
NXT2	ENSG00000101888	protein_coding	X	109535781	109544698	+	subject	overlapping	X	109544744	109568932	24188	29	5.04943
TDGF1P3	ENSG00000225366	protein_coding	X	110520896	110523021	+	subject	contained	X	110508871	110529336	20465	29	4.12261
TRPC5	ENSG00000072315	protein_coding	X	111768011	112082776	-	subject	flanking	X	112116507	112129705	13198	27	4.45563
RTL4	ENSG00000187823	protein_coding	X	112083016	112457514	+	subject	contains_region	X	112116507	112129705	13198	27	4.45563
PGRMC1	ENSG00000101856	protein_coding	X	119236245	119244466	+	subject	flanking	X	119293215	119308593	15378	31	6.10496
