population	n_ihs_signals	n_relate_signals	n_ihs_clusters	n_relate_clusters	n_overlapping_regions	superpopulation
ACB	1501	198	13	22	0	AFR
ASW	1726	102	12	7	0	AFR
ESN	1526	212	9	26	0	AFR
GWD	1621	179	11	19	0	AFR
LWK	1074	232	9	21	0	AFR
MSL	1343	98	12	7	0	AFR
YRI	1593	155	9	14	0	AFR
CLM	1065	913	8	95	0	AMR
MXL	2152	295	27	29	0	AMR
PEL	1272	983	8	89	0	AMR
PUR	1152	698	12	86	0	AMR
CDX	1311	26	12	3	0	EAS
CHB	1364	53	12	6	0	EAS
CHS	1037	60	9	3	0	EAS
JPT	1567	32	9	3	0	EAS
KHV	1343	23	15	1	0	EAS
CEU	1216	53	9	6	0	EUR
FIN	1031	30	11	3	0	EUR
GBR	1007	32	10	5	0	EUR
IBS	1200	171	9	21	0	EUR
BEB	1076	90	8	10	0	SAS
ITU	1138	61	7	9	0	SAS
PJL	1527	57	7	7	0	SAS
STU	1040	60	8	8	0	SAS
