gene_symbol	gene_type	full_name	summary	chromosome	start	end	strand	gene_length	aliases	functional_category	status
LOC101928201	ncRNA	uncharacterized LOC101928201	No summary available	X	4627200	4633572	-1	6372.0		other	success
KDM6A	protein-coding	lysine demethylase 6A	This gene is located on the X chromosome and is the corresponding locus to a Y-linked gene which encodes a tetratricopeptide repeat (TPR) protein. The encoded protein of this gene contains a JmjC-domain and catalyzes the demethylation of tri/dimethylated histone H3. Multiple alternatively spliced tr...	X	44873130	45112779	1	239649.0	KABUK2, UTX, bA386N14.2	other	success
FAAH2	protein-coding	fatty acid amide hydrolase 2	This gene encodes a fatty acid amide hydrolase that shares a conserved protein motif with the amidase signature family of enzymes. The encoded enzyme is able to catalyze the hydrolysis of a broad range of bioactive lipids, including those from the three main classes of fatty acid amides; N-acylethan...	X	57286632	57490641	1	204009.0	AMDD	other	success
MTMR8	protein-coding	myotubularin related protein 8	This gene encodes a member of the myotubularin-related family and is part of the MTMR6 subgroup. Family members are dual-specificity phosphatases and the encoded protein contains a phosphoinositide-binding domain (PID) and a SET-interacting domain (SID). Defects in other family members have been fou...	X	64268081	64395452	-1	127371.0		other	success
NAP1L2	protein-coding	nucleosome assembly protein 1 like 2	The protein encoded by this intronless gene is a member of the nucleosome assembly protein (NAP) family. The encoded protein represents a class of tissue-specific factors that interact with chromatin to regulate neuronal cell proliferation. [provided by RefSeq, Jan 2011].	X	73212299	73215239	-1	2940.0	BPX	neural	success
MIR325HG	ncRNA	MIR325 host gene	No summary available	X	76656866	77014532	-1	357666.0	MIR384HG	other	success
HMGN5	protein-coding	high mobility group nucleosome binding domain 5	This gene encodes a nuclear protein with similarities to the high mobility group proteins, HMG14 and HMG17, which suggests that this protein may function as a nucleosomal binding and transcriptional activating protein. [provided by RefSeq, Sep 2009].	X	81112915	81202016	-1	89101.0	NBP-45, NSBP1	other	success
LOC124900496	snoRNA	small nucleolar RNA SNORA4	No summary available	X	82561201	82561347	1	146.0		other	success
MIR1321	ncRNA	microRNA 1321	microRNAs (miRNAs) are short (20-24 nt) non-coding RNAs that are involved in post-transcriptional regulation of gene expression in multicellular organisms by affecting both the stability and translation of mRNAs. miRNAs are transcribed by RNA polymerase II as part of capped and polyadenylated primar...	X	85835780	85835858	1	78.0	MIRN1321, hsa-mir-1321	other	success
DACH2	protein-coding	dachshund family transcription factor 2	This gene is one of two genes which encode a protein similar to the Drosophila protein dachshund, a transcription factor involved in cell fate determination in the eye, limb and genital disc of the fly. The encoded protein contains two characteristic dachshund domains: an N-terminal domain responsib...	X	86148451	86832604	1	684153.0		developmental	success
PCDH11X	protein-coding	protocadherin 11 X-linked	This gene belongs to the protocadherin gene family, a subfamily of the cadherin superfamily. The encoded protein consists of an extracellular domain containing 7 cadherin repeats, a transmembrane domain and a cytoplasmic tail that differs from those of the classical cadherins. The gene is located in...	X	91779261	92623230	1	843969.0	PCDH-X, PCDH-Y, PCDH11, PCDH11Y, PCDH22, PCDHX, PPP1R119	developmental	success
NAP1L3	protein-coding	nucleosome assembly protein 1 like 3	This gene is intronless and encodes a member of the nucleosome assembly protein (NAP) family. This gene is linked closely to a region of genes responsible for several X-linked cognitive disability syndromes. [provided by RefSeq, Dec 2010].	X	93670930	93673578	-1	2648.0	MB20, NPL3	neural	success
DIAPH2	protein-coding	diaphanous related formin 2	The product of this gene belongs to the diaphanous subfamily of the formin homology family of proteins. This gene may play a role in the development and normal function of the ovaries. Defects in this gene have been linked to premature ovarian failure 2. Alternatively spliced transcript variants enc...	X	96684712	97604997	1	920285.0	DIA, DIA2, DRF2, POF, POF2, POF2A	developmental	success
ZMAT1	protein-coding	zinc finger matrin-type 1	This gene encodes a protein containing Cys2-His2 (C2H2)-type zinc fingers, which are similar to those found in the nuclear matrix protein matrin 3. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jan 2012].	X	101882288	101932090	-1	49802.0		other	success
IL1RAPL2	protein-coding	interleukin 1 receptor accessory protein like 2	The protein encoded by this gene is a member of the interleukin 1 receptor family. This protein is similar to the interleukin 1 accessory proteins, and is most closely related to interleukin 1 receptor accessory protein-like 1 (IL1RAPL1). This gene and IL1RAPL1 are located at a region on chromosome ...	X	104566199	105767829	1	1201630.0	IL-1R9, IL1R9, IL1RAPL-2, TIGIRR-1	immune; neural	success
NCBP2L	protein-coding	nuclear cap binding protein subunit 2 like	Predicted to enable RNA cap binding activity. Predicted to be involved in mRNA splicing, via spliceosome. Predicted to be part of nuclear cap binding activity complex. [provided by Alliance of Genome Resources, Apr 2022]	X	107774899	107795829	1	20930.0	dJ820B18.1	other	success
TRPC5	protein-coding	transient receptor potential cation channel subfamily C member 5	This gene belongs to the transient receptor family. It encodes one of the seven mammalian TRPC (transient receptor potential channel) proteins. The encoded protein is a multi-pass membrane protein and is thought to form a receptor-activated non-selective calcium permeant cation channel. The protein ...	X	111768011	112082776	-1	314765.0	PPP1R159, TRP5	immune; neural	success
HTR2C	protein-coding	5-hydroxytryptamine receptor 2C	This gene encodes a seven-transmembrane G-protein-coupled receptor. The encoded protein responds to signaling through the neurotransmitter serotonin. The mRNA of this gene is subject to multiple RNA editing events, where adenosine residues encoded by the genome are converted to inosines. RNA editing...	X	114584078	114910061	1	325983.0	5-HT1C, 5-HT2C, 5-HTR2C, 5HTR2C, HTR1C	neural	success
LOC124905292	snoRNA	small nucleolar RNA U3	No summary available	X	122840426	122840645	1	219.0		other	success
GPC3	protein-coding	glypican 3	Cell surface heparan sulfate proteoglycans are composed of a membrane-associated protein core substituted with a variable number of heparan sulfate chains. Members of the glypican-related integral membrane proteoglycan family (GRIPS) contain a core protein anchored to the cytoplasmic membrane via a ...	X	133535745	133987100	-1	451355.0	DGSX, GTR2-2, MXR7, OCI-5, SDYS, SGB, SGBS, SGBS1	other	success
FAM239C	ncRNA	family with sequence similarity 239 member C	No summary available							other	success
LOC105373285	ncRNA	uncharacterized LOC105373285	No summary available							other	success
LOC105373292	ncRNA	uncharacterized LOC105373292	No summary available							other	success
LOC105373332	ncRNA	uncharacterized LOC105373332	No summary available							other	success
LOC107985635	ncRNA	uncharacterized LOC107985635	No summary available							other	success
