chr	start	end	n_variants	max_combined_score	length_kb	peak_position	peak_ihs	peak_eur_vs_eas	peak_eur_vs_afr
X	91255419	93635321	250	6.2864	2379.90	93062760	6.2864	-0.5614	-0.5338
X	76979909	83981195	2718	6.1680	7001.29	82528978	6.1680	-0.5319	-0.2604
X	104016939	107275329	703	5.8670	3258.39	104731559	5.8670	-0.6745	-0.6330
X	116209842	118433943	492	5.8381	2224.10	117384100	5.8381	-0.5328	-0.5141
X	111799172	112729604	37	5.7191	930.43	111803779	5.7191	-0.3258	-0.3386
X	72456492	76245213	1270	5.7124	3788.72	73263906	5.7124	-0.6542	-0.6787
X	26383661	29221618	570	5.5928	2837.96	27386668	5.5928	-0.6248	-0.5890
X	3498294	5226814	287	5.5285	1728.52	4277719	5.5285	-0.5136	-0.5186
X	44219145	47117576	442	5.5218	2898.43	44989873	5.5218	-0.5816	-0.5555
X	133331757	133559354	154	5.4605	227.60	133498650	5.4605	-0.6101	-0.1274
X	139469829	140423650	212	5.4169	953.82	139822423	5.4169	-0.5577	-0.5500
X	85633844	87438057	514	5.3301	1804.21	87173033	5.3301	-0.6249	-0.5901
X	130824422	132752471	248	5.2764	1928.05	131715589	5.2764	-0.5466	-0.5530
X	48907168	48980225	23	5.1598	73.06	48933412	5.1598	-0.5759	-0.6138
X	97194505	97481186	143	5.1087	286.68	97222172	5.1087	-0.4631	-0.4661
X	153162938	154692838	237	5.0476	1529.90	154436152	5.0476	-0.5273	-0.5391
X	89787028	90703729	224	5.0428	916.70	90307358	5.0428	-0.4819	-0.4685
X	57417474	57650564	98	5.0269	233.09	57502219	5.0269	-0.6060	-0.6267
X	137698600	138559897	83	4.9603	861.30	138079935	4.9603	-0.5497	-0.5471
X	114409302	115579100	142	4.8549	1169.80	114886700	4.8549	-0.4571	-0.4606
X	55218002	55842057	336	4.8460	624.05	55717089	4.8460	-0.6004	-0.6213
X	48006010	48042117	60	4.8429	36.11	48015012	4.8429	-0.4733	-0.4821
X	94849696	95534537	205	4.8180	684.84	94853788	4.8180	-0.4894	-0.4938
X	20648481	21859169	113	4.7603	1210.69	21239783	4.7603	-0.5167	-0.5194
X	99263711	100107979	250	4.7004	844.27	99363824	4.7004	-0.5080	-0.5085
X	96211835	96344479	129	4.6901	132.64	96282578	4.6901	-0.5587	-0.5557
X	126756217	128774927	768	4.6532	2018.71	127607472	4.6532	-0.6062	-0.5866
X	41181272	41688232	130	4.6425	506.96	41202611	4.6425	-0.5556	-0.5912
X	109151194	109717214	132	4.6330	566.02	109192566	4.6330	-0.6098	-0.5835
X	36231021	37901108	284	4.6110	1670.09	37397866	4.6110	-0.6059	-0.5984
X	62864476	68789916	2363	4.5759	5925.44	67625907	4.5759	-0.5528	-0.5837
X	14015992	15091848	130	4.5552	1075.86	15021130	4.5552	-0.5929	-0.1244
X	7082880	7284311	306	4.5129	201.43	7239611	4.5129	-0.6728	-0.6467
X	107781698	107805691	27	4.4966	23.99	107785976	4.4966	-0.5055	-0.5071
X	110509766	110537453	53	4.3178	27.69	110509766	4.3178	-0.4046	-0.4127
X	121751872	123945895	171	4.2405	2194.02	122707710	4.2405	-0.5399	-0.5963
X	16510984	17084036	79	4.2129	573.05	17043504	4.2129	-0.5239	-0.5270
X	119293215	119312230	59	4.2110	19.02	119301818	4.2110	-0.1840	-0.1808
X	69673072	69750302	92	4.1850	77.23	69703874	4.1850	-0.5970	-0.2890
X	101784931	103299214	297	4.1797	1514.28	101988293	4.1797	-0.5842	-0.5726
X	33799762	35520587	305	4.1224	1720.83	33851609	4.1224	-0.5815	-0.5820
X	19289942	20059589	111	4.0910	769.65	19829720	4.0910	-0.5122	-0.5129
X	144734892	145064876	7	4.0537	329.98	144736662	4.0537	-0.4573	-0.4544
X	71379596	71830011	32	4.0222	450.42	71827333	4.0222	-0.3557	-0.3708
X	53353674	54138092	127	3.9974	784.42	53354735	3.9974	-0.4104	-0.4142
X	142123023	142922830	81	3.9654	799.81	142753124	3.9654	-0.4330	-0.4317
X	89133863	89170803	40	3.9016	36.94	89139800	3.9016	-0.5200	-0.5248
X	10770410	11232472	158	3.8838	462.06	10777526	3.8838	-0.4573	-0.4534
X	30359807	31962411	163	3.8830	1602.60	31764770	3.8830	-0.4660	-0.4619
X	17955913	18576682	71	3.8594	620.77	18309200	3.8594	-0.4435	-0.4456
X	146176090	148692046	183	3.8435	2515.96	148676232	3.8435	-0.4118	-0.4151
X	24174492	24217172	57	3.7742	42.68	24201227	3.7742	-0.5161	-0.5370
X	84485789	85083808	328	3.7551	598.02	84488324	3.7551	-0.5115	-0.5161
X	24757436	25085883	61	3.7525	328.45	24907509	3.7525	-0.5732	-0.5541
X	129369841	129396270	29	3.6959	26.43	129384320	3.6959	-0.4488	-0.4633
X	150397710	150401907	5	3.6626	4.20	150401713	3.6626	-0.3039	-0.2846
X	98652141	98758349	32	3.5303	106.21	98737914	3.5303	-0.4827	-0.4727
X	70352980	70803992	152	3.4106	451.01	70356822	3.4106	-0.4394	-0.4450
X	113280567	113321028	47	3.3346	40.46	113302968	3.3346	-0.5331	-0.5077
X	8309921	8317186	21	3.2775	7.26	8315613	3.2775	-0.4426	-0.4465
X	124738524	125198967	12	3.1890	460.44	124739207	3.1890	-0.1860	-0.1645
X	108390358	108634085	327	3.1618	243.73	108460468	3.1618	-0.5845	-0.5324
X	9271018	9422352	14	3.1420	151.33	9274794	3.1420	0.4069	0.3548
X	51283507	52007980	145	3.1236	724.47	51972916	3.1236	-0.4742	-0.4774
X	136102515	136865137	64	3.0826	762.62	136408553	3.0826	-0.4940	-0.4943
X	49605796	49693637	58	3.0773	87.84	49679509	3.0773	-0.4216	-0.4222
X	42663876	43669272	165	3.0723	1005.40	43460215	3.0723	-0.5184	-0.5221
X	88183617	88632906	82	2.9991	449.29	88206689	2.9991	-0.5014	-0.2501
X	134092309	134666073	62	2.8596	573.76	134406352	2.8596	-0.5147	-0.5046
X	145601390	145622480	5	2.7179	21.09	145601390	2.7179	-0.4342	-0.4331
X	22801404	22801404	1	2.6463	0.00	22801404	2.6463	0.6878	0.7147
X	56543879	56847896	107	2.5955	304.02	56613089	2.5955	-0.5834	-0.6052
X	23484104	23487250	4	2.5152	3.15	23487250	2.5152	-0.4041	-0.4047
X	15904192	15916139	15	2.3903	11.95	15912943	2.3903	-0.5205	-0.4893
X	149346221	149406896	4	2.3847	60.67	149346221	2.3847	-0.4848	-0.5097
X	5843856	5845867	2	2.2936	2.01	5845867	2.2936	-0.3729	-0.3511
X	11975379	12046201	42	2.2880	70.82	11987909	2.2880	-0.4613	-0.4334
X	32811173	32959353	3	2.2807	148.18	32811173	2.2807	-0.3639	-0.3742
X	151502462	151506478	3	2.2498	4.02	151505302	2.2498	-0.4489	-0.3917
X	25850609	25854383	2	2.1280	3.77	25854383	2.1280	-0.4652	-0.4539
X	100767215	100767301	2	2.0785	0.09	100767301	2.0785	-0.5453	-0.5770
X	125806166	125830652	4	2.0779	24.49	125809812	2.0779	-0.5147	-0.5368
X	39275734	39275734	1	2.0501	0.00	39275734	2.0501	-0.3626	-0.3668
X	140959960	140959960	1	2.0367	0.00	140959960	-2.0367	2.9516	1.3067
X	152027255	152027255	1	2.0291	0.00	152027255	2.0291	-0.3296	-0.1651
X	50280229	50280229	1	2.0213	0.00	50280229	2.0213	-0.4174	-0.4338
