symbol	name	chrom	start	end
SLC71A1	solute carrier family 71 member 1	1	100038094	100083376
ZSCAN21	zinc finger and SCAN domain containing 21	7	100049773	100065039
SASS6	SAS-6 centriolar assembly protein	1	100132929	100083569
YY1	YY1 transcription factor	14	100239143	100282787
ZCWPW1	zinc finger CW-type and PWWP domain containing 1	7	100428702	100400871
SPACDR	sperm acrosome developmental regulator	7	100464259	100456619
FBXO24	F-box protein 24	7	100586327	100601116
TAF7L	TATA-box binding protein associated factor 7 like	X	101293082	101268256
SNRPA1	small nuclear ribonucleoprotein polypeptide A'	15	101295247	101281509
DPCD	deleted in primary ciliary dyskinesia homolog (mouse)	10	101588320	101609661
SYCP3	synaptonemal complex protein 3	12	101739461	101728647
PMCH	pro-melanin concentrating hormone	12	102197832	102196458
SLCO4C1	solute carrier organic anion transporter family member 4C1	5	102296283	102233985
BIRC3	baculoviral IAP repeat containing 3	11	102317483	102339402
SUFU	SUFU negative regulator of hedgehog signaling	10	102502818	102633534
ODF1	outer dense fiber of sperm tails 1	8	102551588	102561017
CYLC2	cylicin 2	9	102995332	103018487
SLC9B1	solute carrier family 9 member B1	4	103019704	102885048
SLC9B2	solute carrier family 9 member B2	4	103077318	103018028
ZGLP1	zinc finger GATA like protein 1	19	10309814	10304802
DPY19L2P2	DPY19L2 pseudogene 2	7	103280465	103175012
NEURL1	neuralized E3 ubiquitin protein ligase 1	10	103493704	103592545
TDRD9	tudor domain containing 9	14	103928455	104052666
CFAP43	cilia and flagella associated protein 43	10	104232363	104129887
CFAP58	cilia and flagella associated protein 58	10	104338519	104455101
MKKS	MKKS centrosomal shuttling protein	20	10434221	10401008
ROPN1L	rhophilin associated tail protein 1 like	5	10441878	10482806
JAG2	jagged canonical Notch ligand 2	14	105168775	105140994
PRSS55	serine protease 55	8	10525531	10554165
TEKT5	tektin 5	16	10694929	10627500
DNAAF6	dynein axonemal assembly factor 6	X	107206610	107244246
YBX3	Y-box binding protein 3	12	10723322	10699088
RAD23B	RAD23 nucleotide excision repair protein B	9	107283278	107332193
HADH	hydroxyacyl-CoA dehydrogenase	4	107989888	108035170
MAK	male germ cell associated kinase	6	10838538	10762722
TMEM119	transmembrane protein 119	12	108598083	108589850
ARMC2	armadillo repeat containing 2	6	108848421	109053039
ACTL7A	actin like 7A	9	108862265	108863755
CFAP276	cilia and flagella associated protein 276	1	109113830	109105950
MORC1	MORC family CW-type zinc finger 1	3	109118133	108958247
IFT81	intraflagellar transport 81	12	110124356	110218792
NPHP1	nephrocystin 1	2	110205012	110123347
TXNDC8	thioredoxin domain containing 8	9	110337862	110301230
GPX4	glutathione peroxidase 4	19	1103993	1106778
