gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
GPR143	ENSG00000101850	protein_coding	X	9725346	9786297	-	subject	flanking	X	9799154	9820116	20962	24	2.08393
SHROOM2	ENSG00000146950	protein_coding	X	9786429	9949443	+	subject	contains_region	X	9799154	9820116	20962	24	2.08393
SHROOM2	ENSG00000146950	protein_coding	X	9786429	9949443	+	subject	flanking	X	9922402	9958865	36463	68	4.49879
CLDN34	ENSG00000234469	protein_coding	X	9967358	9968352	+	subject	overlapping	X	9922402	9958865	36463	68	4.49879
ACOT9	ENSG00000123130	protein_coding	X	23701055	23766475	-	subject	flanking	X	23774930	23793743	18813	29	1.21714
SAT1	ENSG00000130066	protein_coding	X	23783173	23786210	+	subject	contained	X	23774930	23793743	18813	29	1.21714
ENSG00000288706	ENSG00000288706	protein_coding	X	23783278	23783367	+	subject	contained	X	23774930	23793743	18813	29	1.21714
APOO	ENSG00000184831	protein_coding	X	23833353	23907938	-	subject	flanking	X	23774930	23793743	18813	29	1.21714
MAGEB16	ENSG00000189023	protein_coding	X	35798342	35803772	+	subject	overlapping	X	35840786	35849754	8968	20	1.93239
CFAP47	ENSG00000165164	protein_coding	X	35919734	36385317	+	subject	flanking	X	35917559	35936910	19351	24	1.23443
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	37842381	37852139	9758	22	1.43177
CYBB	ENSG00000165168	protein_coding	X	37780018	37813461	+	subject	flanking	X	37842381	37852139	9758	22	1.43177
DYNLT3	ENSG00000165169	protein_coding	X	37836757	37847571	-	subject	overlapping	X	37842381	37852139	9758	22	1.43177
SHROOM4	ENSG00000158352	protein_coding	X	50586796	50814302	-	subject	contains_region	X	50644059	50656926	12867	20	1.94316
IQSEC2	ENSG00000124313	protein_coding	X	53225828	53321350	-	subject	contains_region	X	53279948	53289728	9780	20	1.6686
PCDH11X	ENSG00000102290	protein_coding	X	91779261	92623230	+	subject	flanking	X	92644067	92661045	16978	25	1.1849
LHFPL1	ENSG00000182508	protein_coding	X	112630648	112680054	-	subject	flanking	X	112580300	112599962	19662	20	1.19601
AGTR2	ENSG00000180772	protein_coding	X	116170744	116174974	+	subject	overlapping	X	116082374	116139550	57176	56	1.20815
SEPTIN6	ENSG00000125354	protein_coding	X	119615724	119693370	-	subject	flanking	X	119730565	119751051	20486	37	1.97647
SOWAHD	ENSG00000187808	protein_coding	X	119758588	119760202	+	subject	overlapping	X	119730565	119751051	20486	37	1.97647
RPL39	ENSG00000198918	protein_coding	X	119786504	119791630	-	subject	overlapping	X	119730565	119751051	20486	37	1.97647
TENM1	ENSG00000009694	protein_coding	X	124375903	125204312	-	subject	contains_region	X	125158401	125170861	12460	38	3.33123
FGF13	ENSG00000129682	protein_coding	X	138614727	139222777	-	subject	contains_region	X	139148604	139164093	15489	20	1.21067
TMLHE	ENSG00000185973	protein_coding	X	155489011	155719098	-	subject	flanking	X	155708407	155735201	26794	31	284.081
SPRY3	ENSG00000168939	protein_coding	X	155612572	155782459	+	subject	contains_region	X	155708407	155735201	26794	31	284.081
