gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
ENSG00000236513	ENSG00000236513	lncRNA	X	4627200	4633572	-	subject	overlapping	X	4587289	4597309	10020	25	4.74275
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	contained	X	5117087	5172646	55559	93	4.62503
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	contained	X	5117087	5172646	55559	93	4.62503
NLGN4X	ENSG00000146938	protein_coding	X	5840637	6228867	-	escapee	contains_region	X	6098475	6112561	14086	23	4.35903
ENSG00000252291	ENSG00000252291	snoRNA	X	6061644	6061749	-	subject	overlapping	X	6098475	6112561	14086	23	4.35903
FAM9B	ENSG00000177138	protein_coding	X	9024232	9295682	-	subject	contains_region	X	9261742	9277784	16042	33	7.0907
ENSG00000228543	ENSG00000228543	lncRNA	X	9249920	9275206	+	subject	overlapping	X	9261742	9277784	16042	33	7.0907
CFAP47	ENSG00000165164	protein_coding	X	35919734	36385317	+	subject	contains_region	X	36261474	36275415	13941	20	4.5282
HMGB1P16	ENSG00000229384	processed_pseudogene	X	36211096	36211635	+	subject	flanking	X	36261474	36275415	13941	20	4.5282
ENSG00000286475	ENSG00000286475	lncRNA	X	36678678	36866689	-	subject	flanking	X	36618635	36640391	21756	36	4.85368
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	37879897	37896509	16612	21	6.35747
DYNLT3	ENSG00000165169	protein_coding	X	37836757	37847571	-	subject	overlapping	X	37879897	37896509	16612	21	6.35747
RNU6-49P	ENSG00000206983	snRNA	X	37870109	37870215	+	subject	overlapping	X	37879897	37896509	16612	21	6.35747
ENSG00000259977	ENSG00000259977	lncRNA	X	37906147	37949405	+	subject	flanking	X	37879897	37896509	16612	21	6.35747
SC4MOP	ENSG00000224339	processed_pseudogene	X	37945884	37946775	+	subject	flanking	X	37879897	37896509	16612	21	6.35747
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	38291789	38315746	23957	29	5.83071
RPGR	ENSG00000156313	protein_coding	X	38269163	38327544	-	subject	contains_region	X	38291789	38315746	23957	29	5.83071
ENSG00000252050	ENSG00000252050	snoRNA	X	38308112	38308241	-	subject	contained	X	38291789	38315746	23957	29	5.83071
OTC	ENSG00000036473	protein_coding	X	38352586	38421446	+	subject	flanking	X	38291789	38315746	23957	29	5.83071
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87189971	87204277	14306	24	4.83252
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87189971	87204277	14306	24	4.83252
ENSG00000252016	ENSG00000252016	snoRNA	X	88148792	88148918	+	subject	overlapping	X	88172907	88192370	19463	20	4.6902
ENSG00000206062	ENSG00000206062	lncRNA	X	91307781	91308878	+	subject	overlapping	X	91320779	91332349	11570	22	6.38443
DLGAP5P2	ENSG00000237873	processed_pseudogene	X	93042490	93042942	+	subject	contained	X	93040018	93058406	18388	25	6.69049
NXT2	ENSG00000101888	protein_coding	X	109535781	109544698	+	subject	overlapping	X	109545685	109584252	38567	64	5.58448
MFN1P1	ENSG00000233874	processed_pseudogene	X	109568478	109570289	+	subject	contained	X	109545685	109584252	38567	64	5.58448
KCNE5	ENSG00000176076	protein_coding	X	109623700	109625172	-	subject	overlapping	X	109545685	109584252	38567	64	5.58448
ACSL4	ENSG00000068366	protein_coding	X	109624244	109733403	-	subject	flanking	X	109545685	109584252	38567	64	5.58448
TRPC5	ENSG00000072315	protein_coding	X	111768011	112082776	-	subject	flanking	X	112111833	112129705	17872	42	4.23463
RTL4	ENSG00000187823	protein_coding	X	112083016	112457514	+	subject	contains_region	X	112111833	112129705	17872	42	4.23463
ENSG00000230159	ENSG00000230159	lncRNA	X	116692910	116694188	-	subject	overlapping	X	116741936	116757298	15362	20	5.68348
PRPF4BP1	ENSG00000224217	processed_pseudogene	X	116748530	116748877	-	subject	contained	X	116741936	116757298	15362	20	5.68348
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117425911	117435066	9155	39	4.17589
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117425911	117435066	9155	39	4.17589
ENSG00000288098	ENSG00000288098	lncRNA	X	141934496	142740581	+	subject	contains_region	X	142571508	142582651	11143	22	6.87201
RNA5SP517	ENSG00000201594	rRNA_pseudogene	X	146427456	146427572	-	subject	overlapping	X	146477349	146489384	12035	96	4.37522
ENSG00000234748	ENSG00000234748	processed_pseudogene	X	146537535	146538048	+	subject	overlapping	X	146477349	146489384	12035	96	4.37522
