ihs_pos	ihs_std_score	ihs_abs_score	relate_pos	relate_score	distance	n_relate_nearby
46344232	5.78594	5.78594	46300826	5.18882	43406	2
46344552	-5.36535	5.36535	46300826	5.18882	43726	2
46346626	-4.99577	4.99577	46300826	5.18882	45800	2
46347923	5.14985	5.14985	46300826	5.18882	47097	2
46350083	-4.93579	4.93579	46300826	5.18882	49257	2
46350224	5.49979	5.49979	46300826	5.18882	49398	2
97776641	-5.11939	5.11939	97806661	6.61031	30020	2
97778009	-5.67064	5.67064	97806661	6.61031	28652	2
116750012	-5.17497	5.17497	116732644	5.71756	17368	2
116750788	-5.17497	5.17497	116732644	5.71756	18144	2
116756320	-5.35497	5.35497	116732644	5.71756	23676	2
116756699	-5.35129	5.35129	116732644	5.71756	24055	2
116757298	5.43378	5.43378	116732644	5.71756	24654	2
