ihs_pos	ihs_neg_log10_p	relate_pos	relate_score	relate_population	distance	n_relate_nearby
126013219	12.571414993522891	125990809	5.13006	ESN	22410	1
33340867	11.95313544429852	33329689	7.33452	MSL	11178	2
95749028	11.85032475319626	95735782	5.16531	LWK	13246	1
33340641	11.818931884998603	33329689	7.33452	MSL	10952	2
114015648	10.546365562039252	114065473	5.17225	GWD	49825	2
33343137	10.456331986346616	33329689	7.33452	MSL	13448	2
125193811	10.24732386403558	125163311	5.401	MSL	30500	1
124739207	9.996118938880516	124782040	5.71287	ACB	42833	9
33344634	9.531036266478296	33329689	7.33452	MSL	14945	2
124738524	9.353094295010123	124782040	5.71287	ACB	43516	9
32326906	9.183972840152007	32351155	5.16531	LWK	24249	1
31147550	8.92768990382317	31146158	5.49049	GWD	1392	1
110061412	8.886930010370133	110107134	5.64901	YRI	45722	1
125193616	8.756425653371311	125163311	5.401	MSL	30305	1
32325801	8.255807224221034	32351155	5.16531	LWK	25354	1
136100442	8.20104048529701	136058049	5.54436	LWK	42393	6
124901441	7.956917318326639	124887100	5.57208	GWD	14341	2
124901308	7.823039316054706	124887100	5.57208	GWD	14208	2
31144705	7.804699401816536	31146158	5.49049	GWD	1453	1
22793290	7.799694571029757	22754526	5.28313	ESN	38764	2
35538611	7.712830567776729	35509359	7.27039	ESN	29252	12
35517460	7.696933619073747	35470944	7.59619	ACB	46516	19
22801404	7.603852924578032	22754526	5.28313	ESN	46878	2
116753366	7.515843809045388	116733286	5.71756	YRI	20080	2
35544418	7.428289718489549	35509359	7.27039	ESN	35059	11
124901741	7.38490787283922	124887100	5.57208	GWD	14641	2
124901548	7.38490787283922	124887100	5.57208	GWD	14448	2
22793399	7.327848654671128	22754526	5.28313	ESN	38873	2
33343302	7.307869608611037	33329689	7.33452	MSL	13613	2
35540241	7.269116993634437	35509359	7.27039	ESN	30882	11
35540634	7.23346036225693	35509359	7.27039	ESN	31275	11
35542503	7.226850121998915	35509359	7.27039	ESN	33144	11
35540564	7.163120105063051	35509359	7.27039	ESN	31205	11
125200652	7.065705961401849	125163311	5.401	MSL	37341	1
33444000	7.047538491114649	33448903	5.31218	ASW	4903	1
116757298	7.04247894438404	116733286	5.71756	YRI	24012	2
22797590	6.846903815480955	22754526	5.28313	ESN	43064	2
35537643	6.828227117517771	35509359	7.27039	ESN	28284	12
125197004	6.767210773164224	125163311	5.401	MSL	33693	1
32332413	6.7494910902998	32351155	5.16531	LWK	18742	1
97871466	6.708978882846412	97833845	5.56755	YRI	37621	1
27966102	6.66008798474638	27950588	5.16428	LWK	15514	1
114008379	6.656641103947656	114003078	5.00252	ACB	5301	1
146482121	6.575765944565519	146458610	5.21292	LWK	23511	1
31141201	6.553801929595351	31146158	5.49049	GWD	4957	1
35542881	6.521318786797817	35509359	7.27039	ESN	33522	11
31151830	6.458001011259465	31146158	5.49049	GWD	5672	1
146484527	6.454677339272205	146458610	5.21292	LWK	25917	1
146485869	6.452110694407124	146458610	5.21292	LWK	27259	1
31141642	6.443314773821049	31146158	5.49049	GWD	4516	1
110060266	6.338860328464769	110107134	5.64901	YRI	46868	1
33431403	6.326287995143148	33448903	5.31218	ASW	17500	1
146488724	6.283629498489786	146458610	5.21292	LWK	30114	1
114011365	6.2118297921872205	114003078	5.00252	ACB	8287	1
114011739	6.208190351719837	114003078	5.00252	ACB	8661	1
114012778	6.1953263606266376	114003078	5.00252	ACB	9700	1
124740438	6.174029009926473	124782040	5.71287	ACB	41602	9
22794732	6.104239304541152	22754526	5.28313	ESN	40206	2
100103134	6.051761499366749	100134485	5.68662	LWK	31351	2
124809420	5.997884859821202	124782040	5.71287	ACB	27380	8
