ihs_pos	ihs_std_score	ihs_abs_score	relate_pos	relate_score	distance	n_relate_nearby
33340641	-6.13012	6.13012	33329689	7.33452	10952	1
33340867	-6.13284	6.13284	33329689	7.33452	11178	1
34032700	4.39531	4.39531	34008902	5.11282	23798	1
34033158	-4.21582	4.21582	34008902	5.11282	24256	1
99757396	4.24796	4.24796	99744753	5.01224	12643	1
99757398	4.43669	4.43669	99744753	5.01224	12645	1
99792843	-3.95714	3.95714	99744753	5.01224	48090	1
99793010	-3.94427	3.94427	99744753	5.01224	48257	1
99793309	-5.36666	5.36666	99744753	5.01224	48556	1
125188634	3.98051	3.98051	125163311	5.401	25323	1
125193616	-5.94573	5.94573	125163311	5.401	30305	1
125193811	5.97578	5.97578	125163311	5.401	30500	1
125200652	-4.95996	4.95996	125163311	5.401	37341	1
125200652	-4.35459	4.35459	125163311	5.401	37341	1
125201706	-4.45287	4.45287	125163311	5.401	38395	1
