gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	overlapping	X	5116113	5149831	33718	107	5.87191
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	overlapping	X	5116113	5149831	33718	107	5.87191
ENSG00000286475	ENSG00000286475	lncRNA	X	36678678	36866689	-	subject	flanking	X	36618635	36641498	22863	40	5.62311
ENSG00000284618	ENSG00000284618	lncRNA	X	81000150	81004217	-	subject	contained	X	80993028	81014269	21241	26	4.70978
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87161268	87204161	42893	101	5.38738
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87161268	87204161	42893	101	5.38738
ENSG00000206062	ENSG00000206062	lncRNA	X	91307781	91308878	+	subject	overlapping	X	91323729	91334632	10903	25	4.75742
RPL7P55	ENSG00000228301	processed_pseudogene	X	93573834	93574579	+	subject	overlapping	X	93520677	93533554	12877	32	5.24787
TCEAL8	ENSG00000180964	protein_coding	X	103252995	103255192	-	subject	overlapping	X	103277529	103294472	16943	20	4.5982
ENSG00000224692	ENSG00000224692	processed_pseudogene	X	103258572	103259581	-	subject	overlapping	X	103277529	103294472	16943	20	4.5982
TCEAL5	ENSG00000204065	protein_coding	X	103273691	103276750	-	subject	overlapping	X	103277529	103294472	16943	20	4.5982
BEX2	ENSG00000133134	protein_coding	X	103309346	103311007	-	subject	overlapping	X	103277529	103294472	16943	20	4.5982
TCEAL7	ENSG00000182916	protein_coding	X	103330229	103332326	+	subject	overlapping	X	103277529	103294472	16943	20	4.5982
PRPF4BP1	ENSG00000224217	processed_pseudogene	X	116748530	116748877	-	subject	overlapping	X	116749761	116766069	16308	21	6.94994
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117351007	117370723	19716	43	7.41168
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117351007	117370723	19716	43	7.41168
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117419059	117449948	30889	90	5.92808
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117419059	117449948	30889	90	5.92808
PGRMC1	ENSG00000101856	protein_coding	X	119236245	119244466	+	subject	flanking	X	119293215	119311028	17813	21	6.11446
AKAP17BP	ENSG00000214992	unprocessed_pseudogene	X	119249346	119257667	-	subject	overlapping	X	119293215	119311028	17813	21	6.11446
ENSG00000230392	ENSG00000230392	lncRNA	X	119291529	119335610	+	subject	contains_region	X	119293215	119311028	17813	21	6.11446
ENSG00000226661	ENSG00000226661	lncRNA	X	119356301	119393595	-	subject	flanking	X	119293215	119311028	17813	21	6.11446
ENSG00000225689	ENSG00000225689	lncRNA	X	128027322	129326707	-	subject	flanking	X	129370137	129392662	22525	38	5.05129
RPS26P56	ENSG00000226339	processed_pseudogene	X	129408382	129408621	+	subject	overlapping	X	129370137	129392662	22525	38	5.05129
RNA5SP513	ENSG00000201518	rRNA_pseudogene	X	129436530	129436647	-	subject	overlapping	X	129370137	129392662	22525	38	5.05129
