symbol	name	chrom	start	end
GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B	19	1000418	1009731
SLC17A8	solute carrier family 17 member 8	12	100357073	100422054
ACHE	acetylcholinesterase (Yt blood group)	7	100896993	100889993
DRP2	dystrophin related protein 2	X	101219785	101264501
GRIK2	glutamate ionotropic receptor kainate type subunit 2	6	101393707	102070082
GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A	9	101738646	101569351
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	16	10182907	9753403
KCNIP2	potassium voltage-gated channel interacting protein 2	10	101843799	101825973
AGRN	agrin	1	1020119	1056115
KIF1B	kinesin family member 1B	1	10210569	10381602
SNAP25	synaptosome associated protein 25	20	10218829	10307417
PMCH	pro-melanin concentrating hormone	12	102197832	102196458
GHRL	ghrelin and obestatin prepropeptide	3	10292946	10285665
RIMS2	regulating synaptic membrane exocytosis 2	8	103500609	104256093
PLP1	proteolipid protein 1	X	103776505	103792618
CORT	cortistatin	1	10450030	10451997
GRIA4	glutamate ionotropic receptor AMPA type subunit 4	11	105609993	105982089
SYPL1	synaptophysin like 1	7	106112575	106090504
PTPRD	protein tyrosine phosphatase receptor type D	9	10613001	8314245
ABTB3	ankyrin repeat and BTB domain containing 3	12	107318433	107659641
SLC5A7	solute carrier family 5 member 7	2	107986523	108013993
COL4A5	collagen type IV alpha 5 chain	X	108439837	108697544
NRCAM	neuronal cell adhesion molecule	7	108456719	108147648
SSH1	slingshot protein phosphatase 1	12	108857582	108778190
CNTN6	contactin 6	3	1093023	1404216
SORT1	sortilin 1	1	109397917	109309574
SYBU	syntabulin	8	109691599	109573977
LRIT3	leucine rich repeat, Ig-like and transmembrane domains 3	4	109848106	109872314
SLC6A1	solute carrier family 6 member 1	3	10992747	11039246
WASF1	WASP family member 1	6	110179669	110099818
KCNC4	potassium voltage-gated channel subfamily C member 4	1	110210313	110284079
COL4A1	collagen type IV alpha 1 chain	13	110307156	110148962
MUSK	muscle associated receptor tyrosine kinase	9	110668790	110806557
SLC25A46	solute carrier family 25 member 46	5	110738144	110765156
CHRDL1	chordin like 1	X	110795816	110673855
PAK3	p21 (RAC1) activated kinase 3	X	110944396	111227360
HRH1	histamine receptor H1	3	11137237	11263556
DIXDC1	DIX domain containing 1	11	111927314	112022652
KCND3	potassium voltage-gated channel subfamily D member 3	1	111989667	111770661
SHISA6	shisa family member 6	17	11241212	11564062
DRD2	dopamine receptor D2	11	113475397	113409604
HTR3B	5-hydroxytryptamine receptor 3B	11	113898922	113949078
HTR3A	5-hydroxytryptamine receptor 3A	11	113975107	113990312
SYT6	synaptotagmin 6	1	114153868	114089291
DRD3	dopamine receptor D3	3	114199406	114127579
HTR2C	5-hydroxytryptamine receptor 2C	X	114584085	114910060
TNC	tenascin C	9	115118156	115019574
SLC12A7	solute carrier family 12 member 7	5	1155898	1050383
SLC18A2	solute carrier family 18 member A2	10	117241113	117279429
VSIG10	V-set and immunoglobulin domain containing 10	12	118104010	118063592
EXT1	exostosin glycosyltransferase 1	8	118111825	117794489
SCN2B	sodium voltage-gated channel beta subunit 2	11	118176638	118162805
CTNND2	catenin delta 2	5	11904445	10971835
PGRMC1	progesterone receptor membrane component 1	X	119236284	119244465
SYN2	synapsin II	3	12004387	12192031
KCND2	potassium voltage-gated channel subfamily D member 2	7	120272907	120750336
GRIK4	glutamate ionotropic receptor kainate type subunit 4	11	120511747	120988905
SRGAP2C	SLIT-ROBO Rho GTPase activating protein 2C	1	121184974	121392873
LRP6	LDL receptor related protein 6	12	12267043	12116024
GRIA3	glutamate ionotropic receptor AMPA type subunit 3	X	123184277	123490914
SDF4	stromal cell derived factor 4	1	1232000	1216930
AFG3L2	AFG3 like matrix AAA peptidase subunit 2	18	12377226	12328943
PLXNA1	plexin A1	3	126983114	127037388
KIRREL3	kirre like nephrin family adhesion molecule 3	11	127003393	126423357
NPS	neuropeptide S	10	127549308	127553539
STXBP1	syntaxin binding protein 1	9	127611911	127696028
ARHGAP44	Rho GTPase activating protein 44	17	12789497	12991642
LRRC4	leucine rich repeat containing 4	7	128032127	128027070
ZDHHC12	zDHHC palmitoyltransferase 12	9	128724126	128720872
PLXND1	plexin D1	3	129606675	129555213
HMCN2	hemicentin 2	9	130265759	130434122
RIMBP2	RIMS binding protein 2	12	130716298	130396132
PDLIM4	PDZ and LIM domain 4	5	132257695	132273453
KCNQ3	potassium voltage-gated channel subfamily Q member 3	8	132481094	132120860
P2RX2	purinergic receptor P2X 2	12	132618775	132622387
PLXNA4	plexin A4	7	132648687	132123339
