ihs_pos	ihs_std_score	ihs_abs_score	relate_pos	relate_score	distance	n_relate_nearby
32332413	-6.76017	6.76017	32298429	5.10996	33984	1
37893529	5.31442	5.31442	37856563	5.0585	36966	1
94853649	-6.50776	6.50776	94824480	5.17925	29169	8
94857277	6.06251	6.06251	94824480	5.17925	32797	8
94859427	-6.06543	6.06543	94824480	5.17925	34947	8
115556973	7.03138	7.03138	115571579	5.27878	14606	1
115557280	7.48016	7.48016	115571579	5.27878	14299	1
139830211	-6.67105	6.67105	139853341	5.48994	23130	2
147600746	-6.8279	6.8279	147622419	5.03961	21673	1
147601063	-6.83215	6.83215	147622419	5.03961	21356	1
147601823	-6.76026	6.76026	147622419	5.03961	20596	1
147601948	6.424	6.424	147622419	5.03961	20471	1
147602268	-6.28843	6.28843	147622419	5.03961	20151	1
147602816	-6.40179	6.40179	147622419	5.03961	19603	1
147602836	6.80042	6.80042	147622419	5.03961	19583	1
147648944	-5.84284	5.84284	147678429	5.17925	29485	2
