chr	start	end	n_variants	max_xpehh	length_kb
X	2781319	2781423	3	83.4271	0.104
X	155703850	155704650	12	-74.5879	0.8
X	21757836	25003886	2654	32.2854	3246.05
X	7823685	10214520	4843	29.2824	2390.835
X	11687501	14174990	2255	28.9306	2487.489
X	139123827	145930584	11252	27.9116	6806.757
X	43751114	45661011	1952	26.044	1909.897
X	122382303	125551686	3446	25.1782	3169.383
X	146460368	153300163	7994	24.7191	6839.795
X	31989353	33728187	1988	21.3301	1738.834
X	37591800	43094146	6574	19.5312	5502.346
X	88430881	88985461	655	18.1506	554.58
X	46253248	46344552	1514	17.9816	91.304
X	4654738	6768053	1430	17.9177	2113.315
X	119153192	121196223	1352	13.2228	2043.031
X	49635647	50939347	2152	12.6012	1303.7
X	16242596	18025677	518	12.5861	1783.081
X	35560101	35877087	807	12.2352	316.986
X	113980145	116835634	2198	11.3998	2855.489
X	97093207	97921195	1558	11.2521	827.988
X	96538238	96582951	332	11.1247	44.713
X	47061240	48474288	841	11.0997	1413.048
X	68184436	69235859	3133	10.9305	1051.423
X	53070969	53323933	957	10.6298	252.964
X	29196695	31404223	1334	10.212	2207.528
X	109373824	112839861	5469	10.0379	3466.037
X	99970421	101322551	1016	9.99973	1352.13
X	95729818	95974643	440	9.90858	244.825
X	69959013	70459357	316	9.54681	500.344
X	126314969	126320242	72	9.01517	5.273
X	117751760	118472066	1011	8.73244	720.306
X	136110279	136528693	508	8.68244	418.414
X	94981007	94985800	107	8.06081	4.793
X	18670636	19491436	2834	7.9082	820.8
X	71218904	72388595	714	7.37499	1169.691
X	133166153	133431727	121	6.46992	265.574
X	36413381	36588697	255	6.45905	175.316
X	131080163	131645687	232	6.13904	565.524
X	92317584	94433689	520	5.9151	2116.105
X	135468448	135477744	150	5.89973	9.296
X	134523485	134932569	528	5.70863	409.084
X	128609790	129998587	663	5.68874	1388.797
X	53876297	53889451	171	5.62934	13.154
X	20305203	20607569	857	5.47933	302.366
X	85847900	85853988	84	5.19015	6.088
X	3692807	3710386	230	4.91973	17.579
X	34428321	35002592	102	4.84995	574.271
X	86845437	87697348	320	4.6669	851.911
X	25754247	26072082	127	4.45979	317.835
X	98832723	99203572	114	4.3071	370.849
X	28667381	28669477	37	4.27858	2.096
X	137093208	137301148	347	4.22243	207.94
X	137991861	137993906	45	4.0173	2.045
X	90041140	90769277	766	3.9776	728.137
X	27086968	27087793	39	3.82706	0.825
X	84877972	84884745	83	3.4746	6.773
X	27999695	28018819	226	3.45015	19.124
X	103736165	103823229	80	3.40453	87.064
X	55018748	55029860	121	3.38224	11.112
X	83478917	83488191	118	2.7868	9.274
X	80931159	81282002	90	2.78406	350.843
X	91749011	91749919	16	2.57407	0.908
X	74428119	74430421	57	2.5075	2.302
X	54429936	54431699	31	2.17682	1.763
X	78592711	78593485	7	2.07997	0.774
X	107973396	107973921	6	2.02811	0.525
