gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
NLGN4X	ENSG00000146938	protein_coding	X	5840637	6228867	-	escapee	contains_region	X	6098475	6112561	14086	23	4.35903
FAM9B	ENSG00000177138	protein_coding	X	9024232	9295682	-	subject	contains_region	X	9261742	9277784	16042	33	7.0907
CFAP47	ENSG00000165164	protein_coding	X	35919734	36385317	+	subject	contains_region	X	36261474	36275415	13941	20	4.5282
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	37879897	37896509	16612	21	6.35747
DYNLT3	ENSG00000165169	protein_coding	X	37836757	37847571	-	subject	overlapping	X	37879897	37896509	16612	21	6.35747
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	38291789	38315746	23957	29	5.83071
RPGR	ENSG00000156313	protein_coding	X	38269163	38327544	-	subject	contains_region	X	38291789	38315746	23957	29	5.83071
OTC	ENSG00000036473	protein_coding	X	38352586	38421446	+	subject	flanking	X	38291789	38315746	23957	29	5.83071
NXT2	ENSG00000101888	protein_coding	X	109535781	109544698	+	subject	overlapping	X	109545685	109584252	38567	64	5.58448
KCNE5	ENSG00000176076	protein_coding	X	109623700	109625172	-	subject	overlapping	X	109545685	109584252	38567	64	5.58448
ACSL4	ENSG00000068366	protein_coding	X	109624244	109733403	-	subject	flanking	X	109545685	109584252	38567	64	5.58448
TRPC5	ENSG00000072315	protein_coding	X	111768011	112082776	-	subject	flanking	X	112111833	112129705	17872	42	4.23463
RTL4	ENSG00000187823	protein_coding	X	112083016	112457514	+	subject	contains_region	X	112111833	112129705	17872	42	4.23463
