pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
369090	5.55858	ESN	1	369090	369205	369146.0	3	5.55858	5.55858
369146	5.55858	ESN	1	369090	369205	369146.0	3	5.55858	5.55858
369205	5.55858	ESN	1	369090	369205	369146.0	3	5.55858	5.55858
730278	5.30829	ESN	2	730278	734885	733415.5	4	7.88651	6.134285
732408	5.68888	ESN	2	730278	734885	733415.5	4	7.88651	6.134285
734423	7.88651	ESN	2	730278	734885	733415.5	4	7.88651	6.134285
734885	5.65346	ESN	2	730278	734885	733415.5	4	7.88651	6.134285
889651	6.98654	ESN	3	889651	890459	890166.0	4	6.98654	6.171545
889941	5.35655	ESN	3	889651	890459	890166.0	4	6.98654	6.171545
890391	5.35655	ESN	3	889651	890459	890166.0	4	6.98654	6.171545
890459	6.98654	ESN	3	889651	890459	890166.0	4	6.98654	6.171545
969209	5.61126	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
969261	5.61126	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
981487	9.06825	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
981839	5.89953	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
981882	6.94891	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
981998	7.99802	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
982156	7.87643	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
989254	6.55407	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
991691	9.32505	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
991766	5.19578	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
993855	8.89654	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
994033	5.35771	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
1002155	5.17865	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
1007424	6.52529	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
1007801	6.60472	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
1009311	6.97023	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
1010108	6.97023	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
1015850	5.14332	ESN	4	969209	1015850	991728.5	18	9.32505	6.763069444444444
1033183	6.03526	ESN	5	1033183	1075299	1065491.0	11	8.04275	6.1189527272727275
1035580	5.69884	ESN	5	1033183	1075299	1065491.0	11	8.04275	6.1189527272727275
1048968	5.3216	ESN	5	1033183	1075299	1065491.0	11	8.04275	6.1189527272727275
1049241	5.77578	ESN	5	1033183	1075299	1065491.0	11	8.04275	6.1189527272727275
1049385	5.77578	ESN	5	1033183	1075299	1065491.0	11	8.04275	6.1189527272727275
1065491	8.04275	ESN	5	1033183	1075299	1065491.0	11	8.04275	6.1189527272727275
1074475	5.26459	ESN	5	1033183	1075299	1065491.0	11	8.04275	6.1189527272727275
1074984	6.34847	ESN	5	1033183	1075299	1065491.0	11	8.04275	6.1189527272727275
1075133	6.34847	ESN	5	1033183	1075299	1065491.0	11	8.04275	6.1189527272727275
1075135	6.34847	ESN	5	1033183	1075299	1065491.0	11	8.04275	6.1189527272727275
1075299	6.34847	ESN	5	1033183	1075299	1065491.0	11	8.04275	6.1189527272727275
1252255	6.36925	ESN	6	1252255	1263242	1258699.0	4	6.36925	5.817885
