gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	overlapping	X	5127224	5150357	23133	106	6.60854
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	overlapping	X	5127224	5150357	23133	106	6.60854
DMD	ENSG00000198947	protein_coding	X	31097677	33339609	-	subject	contains_region	X	31778565	31803434	24869	34	6.42382
ENSG00000233928	ENSG00000233928	lncRNA	X	33726337	34346527	+	subject	contains_region	X	33836451	33852376	15925	21	9.17878
USP9X	ENSG00000124486	protein_coding	X	41085445	41236579	+	escapee	contains_region	X	41184691	41216707	32016	43	5.50124
KDM6A	ENSG00000147050	protein_coding	X	44873188	45112779	+	escapee	contains_region	X	44929827	44956284	26457	25	4.70589
DACH2	ENSG00000126733	protein_coding	X	86148451	86832604	+	subject	flanking	X	86876535	86886111	9576	24	5.67528
ENSG00000236190	ENSG00000236190	processed_pseudogene	X	86888586	86888816	+	subject	overlapping	X	86876535	86886111	9576	24	5.67528
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87160886	87202525	41639	89	7.17538
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87160886	87202525	41639	89	7.17538
UBE2V1P9	ENSG00000229667	processed_pseudogene	X	90289536	90289903	-	subject	overlapping	X	90269742	90288143	18401	31	6.50127
PCDH11X	ENSG00000102290	protein_coding	X	91779261	92623230	+	subject	contains_region	X	92331372	92350593	19221	24	5.43318
DLGAP5P2	ENSG00000237873	processed_pseudogene	X	93042490	93042942	+	subject	contained	X	93041023	93066677	25654	69	6.67238
RPL7P55	ENSG00000228301	processed_pseudogene	X	93573834	93574579	+	subject	overlapping	X	93502874	93530200	27326	55	7.07427
ENSG00000286523	ENSG00000286523	lncRNA	X	96127747	96372889	-	subject	contains_region	X	96247714	96287889	40175	52	6.82902
BRDTP1	ENSG00000271209	processed_pseudogene	X	96337236	96337912	-	subject	flanking	X	96247714	96287889	40175	52	6.82902
ENSG00000235329	ENSG00000235329	processed_pseudogene	X	113347413	113347619	+	subject	overlapping	X	113281452	113305302	23850	28	5.8274
PRPF4BP1	ENSG00000224217	processed_pseudogene	X	116748530	116748877	-	subject	overlapping	X	116772332	116799554	27222	46	8.31502
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117359458	117373351	13893	23	7.31041
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117359458	117373351	13893	23	7.31041
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117418843	117440577	21734	102	7.0003
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117418843	117440577	21734	102	7.0003
WDR44	ENSG00000131725	protein_coding	X	118346073	118449961	+	subject	contains_region	X	118401852	118424311	22459	25	6.6118
MIR1277	ENSG00000221463	miRNA	X	118386394	118386471	+	subject	overlapping	X	118401852	118424311	22459	25	6.6118
RPS26P56	ENSG00000226339	processed_pseudogene	X	129408382	129408621	+	subject	overlapping	X	129377175	129390667	13492	31	6.88512
RNA5SP513	ENSG00000201518	rRNA_pseudogene	X	129436530	129436647	-	subject	overlapping	X	129377175	129390667	13492	31	6.88512
