pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
565216	5.39957	FIN	1	565216	734423	730278.0	9	6.32338	5.67183
574428	5.58604	FIN	1	565216	734423	730278.0	9	6.32338	5.67183
661436	5.37747	FIN	1	565216	734423	730278.0	9	6.32338	5.67183
730174	5.39957	FIN	1	565216	734423	730278.0	9	6.32338	5.67183
730278	5.39862	FIN	1	565216	734423	730278.0	9	6.32338	5.67183
731568	5.39957	FIN	1	565216	734423	730278.0	9	6.32338	5.67183
732408	6.32338	FIN	1	565216	734423	730278.0	9	6.32338	5.67183
733215	6.27177	FIN	1	565216	734423	730278.0	9	6.32338	5.67183
734423	5.89048	FIN	1	565216	734423	730278.0	9	6.32338	5.67183
1352245	6.67569	FIN	2	1352245	1359575	1354373.5	10	6.67569	6.406882
1352649	6.67569	FIN	2	1352245	1359575	1354373.5	10	6.67569	6.406882
1352724	6.67569	FIN	2	1352245	1359575	1354373.5	10	6.67569	6.406882
1352731	6.67569	FIN	2	1352245	1359575	1354373.5	10	6.67569	6.406882
1354354	6.67569	FIN	2	1352245	1359575	1354373.5	10	6.67569	6.406882
1354393	6.67569	FIN	2	1352245	1359575	1354373.5	10	6.67569	6.406882
1354508	6.67569	FIN	2	1352245	1359575	1354373.5	10	6.67569	6.406882
1356428	5.92711	FIN	2	1352245	1359575	1354373.5	10	6.67569	6.406882
1357679	5.70594	FIN	2	1352245	1359575	1354373.5	10	6.67569	6.406882
1359575	5.70594	FIN	2	1352245	1359575	1354373.5	10	6.67569	6.406882
1607627	5.89048	FIN	3	1607627	1627957	1610427.5	4	7.40878	6.145035
1609502	6.24739	FIN	3	1607627	1627957	1610427.5	4	7.40878	6.145035
1611353	7.40878	FIN	3	1607627	1627957	1610427.5	4	7.40878	6.145035
1627957	5.03349	FIN	3	1607627	1627957	1610427.5	4	7.40878	6.145035
3748930	5.71748	FIN	4	3748930	3748930	3748930.0	1	5.71748	5.71748
29885865	6.03124	FIN	5	29885865	29885865	29885865.0	1	6.03124	6.03124
99817824	5.4718	FIN	7	99817824	99817824	99817824.0	1	5.4718	5.4718
101341832	5.06388	FIN	6	101341832	101342587	101342209.5	2	5.06388	5.06388
101342587	5.06388	FIN	6	101341832	101342587	101342209.5	2	5.06388	5.06388
129768887	6.03124	FIN	8	129768887	129768887	129768887.0	1	6.03124	6.03124
151973060	5.13771	FIN	9	151973060	151973060	151973060.0	1	5.13771	5.13771
