gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
ENSG00000236513	ENSG00000236513	lncRNA	X	4627200	4633572	-	subject	overlapping	X	4587700	4603425	15725	28	5.1375
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	contained	X	5116111	5171176	55065	88	4.27614
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	contained	X	5116111	5171176	55065	88	4.27614
NLGN4X	ENSG00000146938	protein_coding	X	5840637	6228867	-	escapee	flanking	X	5794092	5808511	14419	26	5.73789
FAM9B	ENSG00000177138	protein_coding	X	9024232	9295682	-	subject	contains_region	X	9260843	9280754	19911	42	6.32057
ENSG00000228543	ENSG00000228543	lncRNA	X	9249920	9275206	+	subject	overlapping	X	9260843	9280754	19911	42	6.32057
MID1	ENSG00000101871	protein_coding	X	10445310	10833654	-	subject	contains_region	X	10780114	10789015	8901	25	4.15453
ENSG00000235071	ENSG00000235071	processed_pseudogene	X	16474342	16475340	-	subject	overlapping	X	16518625	16528871	10246	23	4.62209
RN7SL658P	ENSG00000239333	misc_RNA	X	16539137	16539439	-	subject	overlapping	X	16518625	16528871	10246	23	4.62209
ENSG00000286475	ENSG00000286475	lncRNA	X	36678678	36866689	-	subject	flanking	X	36618635	36640391	21756	26	4.25441
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	38293396	38312989	19593	31	5.58054
RPGR	ENSG00000156313	protein_coding	X	38269163	38327544	-	subject	contains_region	X	38293396	38312989	19593	31	5.58054
ENSG00000252050	ENSG00000252050	snoRNA	X	38308112	38308241	-	subject	contained	X	38293396	38312989	19593	31	5.58054
OTC	ENSG00000036473	protein_coding	X	38352586	38421446	+	subject	flanking	X	38293396	38312989	19593	31	5.58054
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87161268	87185413	24145	31	4.49751
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87161268	87185413	24145	31	4.49751
ENSG00000230478	ENSG00000230478	processed_pseudogene	X	87425583	87425690	-	subject	overlapping	X	87429020	87447327	18307	38	4.61864
CPXCR1	ENSG00000147183	protein_coding	X	88747225	88754785	+	subject	overlapping	X	88759016	88773964	14948	20	5.66725
DLGAP5P2	ENSG00000237873	processed_pseudogene	X	93042490	93042942	+	subject	contained	X	93039755	93059610	19855	36	5.39386
RPL7P55	ENSG00000228301	processed_pseudogene	X	93573834	93574579	+	subject	overlapping	X	93508211	93529610	21399	26	6.40082
DIAPH2	ENSG00000147202	protein_coding	X	96684712	97604997	+	subject	contains_region	X	97194344	97211423	17079	21	5.56377
NXT2	ENSG00000101888	protein_coding	X	109535781	109544698	+	subject	overlapping	X	109541074	109575330	34256	44	5.1695
MFN1P1	ENSG00000233874	processed_pseudogene	X	109568478	109570289	+	subject	contained	X	109541074	109575330	34256	44	5.1695
KCNE5	ENSG00000176076	protein_coding	X	109623700	109625172	-	subject	overlapping	X	109541074	109575330	34256	44	5.1695
ACSL4	ENSG00000068366	protein_coding	X	109624244	109733403	-	subject	flanking	X	109541074	109575330	34256	44	5.1695
TRPC5	ENSG00000072315	protein_coding	X	111768011	112082776	-	subject	flanking	X	112092473	112129705	37232	76	5.70363
RTL4	ENSG00000187823	protein_coding	X	112083016	112457514	+	subject	contains_region	X	112092473	112129705	37232	76	5.70363
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117355167	117363791	8624	26	5.49223
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117355167	117363791	8624	26	5.49223
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117426697	117435241	8544	25	4.18693
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117426697	117435241	8544	25	4.18693
AKAP17BP	ENSG00000214992	unprocessed_pseudogene	X	119249346	119257667	-	subject	flanking	X	119301240	119313140	11900	21	4.51039
ENSG00000230392	ENSG00000230392	lncRNA	X	119291529	119335610	+	subject	contains_region	X	119301240	119313140	11900	21	4.51039
ENSG00000226661	ENSG00000226661	lncRNA	X	119356301	119393595	-	subject	flanking	X	119301240	119313140	11900	21	4.51039
ENSG00000288098	ENSG00000288098	lncRNA	X	141934496	142740581	+	subject	flanking	X	142739237	142759093	19856	23	5.87447
