population	ihs_pos	relate_pos	ihs_std_score	ihs_abs_score	relate_score	distance	region_start	region_end	region_length	region_n_snps	region_max_std_ihs	ihs_in_region	relate_in_region
LWK	146476206	146458610	-5.03282	5.03282	5.21292	17596	146475318	146489463	14145	59	5.14635	True	False
LWK	146476208	146458610	-5.03282	5.03282	5.21292	17598	146475318	146489463	14145	59	5.14635	True	False
LWK	146476396	146458610	-4.85174	4.85174	5.21292	17786	146475318	146489463	14145	59	5.14635	True	False
LWK	146476579	146458610	4.99283	4.99283	5.21292	17969	146475318	146489463	14145	59	5.14635	True	False
LWK	146476767	146458610	-5.0134	5.0134	5.21292	18157	146475318	146489463	14145	59	5.14635	True	False
LWK	146477349	146458610	-5.26629	5.26629	5.21292	18739	146475318	146489463	14145	59	5.14635	True	False
LWK	146477412	146458610	5.73443	5.73443	5.21292	18802	146475318	146489463	14145	59	5.14635	True	False
LWK	146479150	146458610	4.36132	4.36132	5.21292	20540	146475318	146489463	14145	59	5.14635	True	False
LWK	146479241	146458610	4.36132	4.36132	5.21292	20631	146475318	146489463	14145	59	5.14635	True	False
LWK	146479673	146458610	4.35137	4.35137	5.21292	21063	146475318	146489463	14145	59	5.14635	True	False
LWK	146479882	146458610	4.35137	4.35137	5.21292	21272	146475318	146489463	14145	59	5.14635	True	False
LWK	146480030	146458610	4.35767	4.35767	5.21292	21420	146475318	146489463	14145	59	5.14635	True	False
LWK	146481293	146458610	-4.36234	4.36234	5.21292	22683	146475318	146489463	14145	59	5.14635	True	False
LWK	146481294	146458610	-4.36234	4.36234	5.21292	22684	146475318	146489463	14145	59	5.14635	True	False
LWK	146481320	146458610	4.38103	4.38103	5.21292	22710	146475318	146489463	14145	59	5.14635	True	False
LWK	146482008	146458610	-4.37062	4.37062	5.21292	23398	146475318	146489463	14145	59	5.14635	True	False
LWK	146482013	146458610	-4.37062	4.37062	5.21292	23403	146475318	146489463	14145	59	5.14635	True	False
LWK	146482115	146458610	-4.37062	4.37062	5.21292	23505	146475318	146489463	14145	59	5.14635	True	False
LWK	146482121	146458610	-4.37062	4.37062	5.21292	23511	146475318	146489463	14145	59	5.14635	True	False
LWK	146482375	146458610	4.35565	4.35565	5.21292	23765	146475318	146489463	14145	59	5.14635	True	False
LWK	146483130	146458610	4.38274	4.38274	5.21292	24520	146475318	146489463	14145	59	5.14635	True	False
LWK	146483499	146458610	4.47894	4.47894	5.21292	24889	146475318	146489463	14145	59	5.14635	True	False
LWK	146483844	146458610	-4.46964	4.46964	5.21292	25234	146475318	146489463	14145	59	5.14635	True	False
LWK	146483933	146458610	4.47894	4.47894	5.21292	25323	146475318	146489463	14145	59	5.14635	True	False
LWK	146484068	146458610	4.4445	4.4445	5.21292	25458	146475318	146489463	14145	59	5.14635	True	False
LWK	146484074	146458610	4.4445	4.4445	5.21292	25464	146475318	146489463	14145	59	5.14635	True	False
LWK	146484120	146458610	4.4445	4.4445	5.21292	25510	146475318	146489463	14145	59	5.14635	True	False
LWK	146484134	146458610	-4.4319	4.4319	5.21292	25524	146475318	146489463	14145	59	5.14635	True	False
LWK	146484234	146458610	-4.47082	4.47082	5.21292	25624	146475318	146489463	14145	59	5.14635	True	False
LWK	146484357	146458610	4.47816	4.47816	5.21292	25747	146475318	146489463	14145	59	5.14635	True	False
LWK	146484527	146458610	-4.43104	4.43104	5.21292	25917	146475318	146489463	14145	59	5.14635	True	False
LWK	146484633	146458610	-4.43104	4.43104	5.21292	26023	146475318	146489463	14145	59	5.14635	True	False
LWK	146484982	146458610	-4.43083	4.43083	5.21292	26372	146475318	146489463	14145	59	5.14635	True	False
LWK	146485075	146458610	4.41917	4.41917	5.21292	26465	146475318	146489463	14145	59	5.14635	True	False
LWK	146485293	146458610	4.45364	4.45364	5.21292	26683	146475318	146489463	14145	59	5.14635	True	False
LWK	146485370	146458610	4.41996	4.41996	5.21292	26760	146475318	146489463	14145	59	5.14635	True	False
LWK	146485725	146458610	-4.42399	4.42399	5.21292	27115	146475318	146489463	14145	59	5.14635	True	False
LWK	146485821	146458610	4.4028	4.4028	5.21292	27211	146475318	146489463	14145	59	5.14635	True	False
LWK	146485869	146458610	-4.3862	4.3862	5.21292	27259	146475318	146489463	14145	59	5.14635	True	False
LWK	146486029	146458610	4.43728	4.43728	5.21292	27419	146475318	146489463	14145	59	5.14635	True	False
LWK	146486145	146458610	-4.39362	4.39362	5.21292	27535	146475318	146489463	14145	59	5.14635	True	False
LWK	146486572	146458610	4.40904	4.40904	5.21292	27962	146475318	146489463	14145	59	5.14635	True	False
LWK	146486808	146458610	-4.42748	4.42748	5.21292	28198	146475318	146489463	14145	59	5.14635	True	False
LWK	146486847	146458610	4.44047	4.44047	5.21292	28237	146475318	146489463	14145	59	5.14635	True	False
LWK	146486999	146458610	-4.42748	4.42748	5.21292	28389	146475318	146489463	14145	59	5.14635	True	False
LWK	146487380	146458610	4.44047	4.44047	5.21292	28770	146475318	146489463	14145	59	5.14635	True	False
LWK	146487956	146458610	-4.67939	4.67939	5.21292	29346	146475318	146489463	14145	59	5.14635	True	False
LWK	146488060	146458610	5.14139	5.14139	5.21292	29450	146475318	146489463	14145	59	5.14635	True	False
LWK	146488175	146458610	-4.67939	4.67939	5.21292	29565	146475318	146489463	14145	59	5.14635	True	False
LWK	146488278	146458610	-4.47062	4.47062	5.21292	29668	146475318	146489463	14145	59	5.14635	True	False
LWK	146488501	146458610	4.47928	4.47928	5.21292	29891	146475318	146489463	14145	59	5.14635	True	False
LWK	146488606	146458610	-4.67449	4.67449	5.21292	29996	146475318	146489463	14145	59	5.14635	True	False
LWK	146488724	146458610	-4.46591	4.46591	5.21292	30114	146475318	146489463	14145	59	5.14635	True	False
LWK	146488900	146458610	4.47313	4.47313	5.21292	30290	146475318	146489463	14145	59	5.14635	True	False
LWK	146488949	146458610	4.47192	4.47192	5.21292	30339	146475318	146489463	14145	59	5.14635	True	False
LWK	146489175	146458610	-4.37186	4.37186	5.21292	30565	146475318	146489463	14145	59	5.14635	True	False
LWK	146489384	146458610	4.37339	4.37339	5.21292	30774	146475318	146489463	14145	59	5.14635	True	False
YRI	116746034	116732644	-4.52204	4.52204	5.71756	13390	116742874	116757298	14424	22	5.5386	True	False
YRI	116746747	116732644	-4.83972	4.83972	5.71756	14103	116742874	116757298	14424	22	5.5386	True	False
YRI	116748166	116732644	-4.8026	4.8026	5.71756	15522	116742874	116757298	14424	22	5.5386	True	False
YRI	116749210	116732644	-3.91498	3.91498	5.71756	16566	116742874	116757298	14424	22	5.5386	True	False
YRI	116749505	116732644	-3.8344	3.8344	5.71756	16861	116742874	116757298	14424	22	5.5386	True	False
YRI	116750012	116732644	-5.17497	5.17497	5.71756	17368	116742874	116757298	14424	22	5.5386	True	False
YRI	116750788	116732644	-5.17497	5.17497	5.71756	18144	116742874	116757298	14424	22	5.5386	True	False
YRI	116753366	116732644	-4.87538	4.87538	5.71756	20722	116742874	116757298	14424	22	5.5386	True	False
YRI	116756320	116732644	-5.35497	5.35497	5.71756	23676	116742874	116757298	14424	22	5.5386	True	False
YRI	116756699	116732644	-5.35129	5.35129	5.71756	24055	116742874	116757298	14424	22	5.5386	True	False
YRI	116757298	116732644	5.43378	5.43378	5.71756	24654	116742874	116757298	14424	22	5.5386	True	False
