pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
571732	6.67677	PJL	1	571732	575730	575326.0	3	7.70477	6.570696666666667
575326	5.33055	PJL	1	571732	575730	575326.0	3	7.70477	6.570696666666667
575730	7.70477	PJL	1	571732	575730	575326.0	3	7.70477	6.570696666666667
704589	5.1675	PJL	2	704589	704949	704805.0	4	5.29935	5.233425
704670	5.29935	PJL	2	704589	704949	704805.0	4	5.29935	5.233425
704940	5.29935	PJL	2	704589	704949	704805.0	4	5.29935	5.233425
704949	5.1675	PJL	2	704589	704949	704805.0	4	5.29935	5.233425
883910	5.58695	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
886586	5.22258	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
889597	6.87302	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
889651	6.87302	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
889941	6.87302	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
890391	6.87302	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
890459	6.87302	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
891904	6.15019	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
895075	5.40398	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
896561	5.40398	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
897556	5.0023	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
916789	5.24829	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
917194	5.90328	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
917321	5.9664	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
920250	7.14966	PJL	3	883910	920250	891904.0	15	7.14966	6.093514
1093454	5.02293	PJL	4	1093454	1098785	1096291.0	5	7.6227	6.258602
1096088	6.1868	PJL	4	1093454	1098785	1096291.0	5	7.6227	6.258602
1096291	5.88786	PJL	4	1093454	1098785	1096291.0	5	7.6227	6.258602
1098714	7.6227	PJL	4	1093454	1098785	1096291.0	5	7.6227	6.258602
1098785	6.57272	PJL	4	1093454	1098785	1096291.0	5	7.6227	6.258602
1268954	7.84542	PJL	5	1268954	1279365	1272068.0	8	7.96297	6.79932
1270478	7.96297	PJL	5	1268954	1279365	1272068.0	8	7.96297	6.79932
1270579	7.96297	PJL	5	1268954	1279365	1272068.0	8	7.96297	6.79932
1270685	7.96297	PJL	5	1268954	1279365	1272068.0	8	7.96297	6.79932
1273451	5.40398	PJL	5	1268954	1279365	1272068.0	8	7.96297	6.79932
1274906	6.42089	PJL	5	1268954	1279365	1272068.0	8	7.96297	6.79932
1279363	5.41768	PJL	5	1268954	1279365	1272068.0	8	7.96297	6.79932
1279365	5.41768	PJL	5	1268954	1279365	1272068.0	8	7.96297	6.79932
1643665	6.86705	PJL	6	1643665	1658214	1658204.0	3	6.86705	5.753596666666667
1658204	5.19687	PJL	6	1643665	1658214	1658204.0	3	6.86705	5.753596666666667
1658214	5.19687	PJL	6	1643665	1658214	1658204.0	3	6.86705	5.753596666666667
20661411	5.41261	PJL	7	20661411	20676539	20661415.0	3	5.41261	5.355519999999999
20661415	5.41261	PJL	7	20661411	20676539	20661415.0	3	5.41261	5.355519999999999
20676539	5.24134	PJL	7	20661411	20676539	20661415.0	3	5.41261	5.355519999999999
