gene_symbol	gene_type	full_name	summary	chromosome	start	end	gene_length	aliases	functional_category	status
ATP6AP1-DT	unknown								other	success
DACH2	unknown								other	success
DIAPH2	unknown								other	success
FAAH2	unknown								other	success
FAM239C	unknown								other	success
GPC3	unknown								other	success
HTR2C	unknown								other	success
IL1RAPL2	unknown								other	success
KDM6A	unknown								other	success
KLHL13	unknown								other	success
LOC101928201	unknown								other	success
LOC124900496	unknown								other	success
LOC124905292	unknown								other	success
MIR325HG	unknown								other	success
NAP1L2	unknown								other	success
NCBP2L	unknown								other	success
PCDH11X	unknown								other	success
TRPC5	unknown								other	success
ZMAT1	unknown								other	success
