gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
PUDP	ENSG00000130021	protein_coding	X	6667865	7148158	-	subject	flanking	X	7172302	7272217	99915	251	8.62458
STS	ENSG00000101846	protein_coding	X	7147237	7804358	+	subject	contains_region	X	7172302	7272217	99915	251	8.62458
MID1	ENSG00000101871	protein_coding	X	10445310	10833654	-	subject	contains_region	X	10774487	10796361	21874	59	3.86748
DMD	ENSG00000198947	protein_coding	X	31097677	33339609	-	subject	contains_region	X	31779689	31798547	18858	47	3.6862
FAM47A	ENSG00000185448	protein_coding	X	34129752	34132314	-	subject	overlapping	X	34171859	34201088	29229	68	4.86975
PRRG1	ENSG00000130962	protein_coding	X	37349309	37457292	+	subject	contains_region	X	37375818	37420668	44850	103	4.65083
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	37375818	37420668	44850	103	4.65083
USP9X	ENSG00000124486	protein_coding	X	41085445	41236579	+	escapee	contains_region	X	41180525	41199155	18630	27	4.75631
KDM6A	ENSG00000147050	protein_coding	X	44873188	45112779	+	escapee	contains_region	X	44919641	44963297	43656	99	4.79484
KDM6A	ENSG00000147050	protein_coding	X	44873188	45112779	+	escapee	contains_region	X	45076679	45105820	29141	37	4.69648
DIPK2B	ENSG00000147113	protein_coding	X	45148373	45200901	-	subject	flanking	X	45076679	45105820	29141	37	4.69648
PQBP1	ENSG00000102103	protein_coding	X	48890197	48903402	+	subject	overlapping	X	48918298	48938306	20008	21	4.64513
TIMM17B	ENSG00000126768	protein_coding	X	48893447	48898143	-	subject	overlapping	X	48918298	48938306	20008	21	4.64513
SLC35A2	ENSG00000102100	protein_coding	X	48903180	48911958	-	subject	overlapping	X	48918298	48938306	20008	21	4.64513
PIM2	ENSG00000102096	protein_coding	X	48913182	48919024	-	subject	overlapping	X	48918298	48938306	20008	21	4.64513
OTUD5	ENSG00000068308	protein_coding	X	48922024	48958386	-	subject	overlapping	X	48918298	48938306	20008	21	4.64513
KCND1	ENSG00000102057	protein_coding	X	48961378	48971844	-	subject	overlapping	X	48918298	48938306	20008	21	4.64513
GRIPAP1	ENSG00000068400	protein_coding	X	48973720	49002265	-	subject	flanking	X	48918298	48938306	20008	21	4.64513
MAGED1	ENSG00000179222	protein_coding	X	51803007	51902354	+	subject	flanking	X	51943998	51978271	34273	76	4.15114
RRAGB	ENSG00000083750	protein_coding	X	55717749	55758774	+	subject	overlapping	X	55692614	55747654	55040	92	5.72894
RRAGB	ENSG00000083750	protein_coding	X	55717749	55758774	+	subject	flanking	X	55776757	55808524	31767	81	4.74985
FAAH2	ENSG00000165591	protein_coding	X	57286706	57489193	+	subject	flanking	X	57485408	57508250	22842	26	4.71456
ARHGEF9	ENSG00000131089	protein_coding	X	63634967	63809274	-	subject	flanking	X	63829442	63845954	16512	41	4.24583
EDA	ENSG00000158813	protein_coding	X	69616067	70039472	+	subject	contains_region	X	69673072	69728243	55171	65	6.08889
NAP1L2	ENSG00000186462	protein_coding	X	73212299	73214851	-	subject	overlapping	X	73234952	73289663	54711	110	5.36411
ABCB7	ENSG00000131269	protein_coding	X	75051048	75156732	-	subject	flanking	X	75001805	75015925	14120	29	4.11341
RTL3	ENSG00000179300	protein_coding	X	78656068	78659328	-	subject	overlapping	X	78659157	78703647	44490	65	5.87971
LPAR4	ENSG00000147145	protein_coding	X	78747709	78758714	+	subject	flanking	X	78659157	78703647	44490	65	5.87971
P2RY10	ENSG00000078589	protein_coding	X	78945332	78963727	+	subject	overlapping	X	78988641	79020252	31611	34	4.68091
BRWD3	ENSG00000165288	protein_coding	X	80669503	80809877	-	subject	flanking	X	80605395	80621210	15815	25	4.48777
DIAPH2	ENSG00000147202	protein_coding	X	96684712	97604997	+	subject	contains_region	X	97218093	97234348	16255	36	5.06122
IL1RAPL2	ENSG00000189108	protein_coding	X	104566199	105767829	+	subject	contains_region	X	104903405	104949677	46272	81	7.39015
IL1RAPL2	ENSG00000189108	protein_coding	X	104566199	105767829	+	subject	contains_region	X	105747533	105765115	17582	24	6.74842
RADX	ENSG00000147231	protein_coding	X	106611930	106679439	+	subject	contains_region	X	106628644	106644092	15448	35	4.04186
RNF128	ENSG00000133135	protein_coding	X	106693794	106797016	+	subject	flanking	X	106628644	106644092	15448	35	4.04186
TSC22D3	ENSG00000157514	protein_coding	X	107713221	107777342	-	subject	flanking	X	107781827	107799156	17329	42	5.36661
NCBP2L	ENSG00000170935	protein_coding	X	107774899	107795829	+	subject	overlapping	X	107781827	107799156	17329	42	5.36661
MID2	ENSG00000080561	protein_coding	X	107825755	107931637	+	subject	flanking	X	107781827	107799156	17329	42	5.36661
ENOX2	ENSG00000165675	protein_coding	X	130622325	130903234	-	subject	contains_region	X	130845909	130858114	12205	25	3.73274
GPC3	ENSG00000147257	protein_coding	X	133535745	133987100	-	subject	flanking	X	133492652	133530880	38228	106	6.14504
ADGRG4	ENSG00000156920	protein_coding	X	136300963	136416890	+	subject	contains_region	X	136383813	136396791	12978	23	4.35977
ATP11C	ENSG00000101974	protein_coding	X	139726346	139945276	-	subject	contains_region	X	139816567	139838457	21890	24	8.29792
MAGEA1	ENSG00000198681	protein_coding	X	153179284	153183880	+	subject	contained	X	153176912	153197472	20560	34	6.21159
EMD	ENSG00000102119	protein_coding	X	154379273	154381574	+	subject	overlapping	X	154425779	154438830	13051	24	4.22748
RPL10	ENSG00000147403	protein_coding	X	154389955	154409168	+	subject	overlapping	X	154425779	154438830	13051	24	4.22748
DNASE1L1	ENSG00000013563	protein_coding	X	154401236	154412112	-	subject	overlapping	X	154425779	154438830	13051	24	4.22748
TAFAZZIN	ENSG00000102125	protein_coding	X	154411524	154421726	+	subject	overlapping	X	154425779	154438830	13051	24	4.22748
ATP6AP1	ENSG00000071553	protein_coding	X	154428633	154436516	+	subject	contained	X	154425779	154438830	13051	24	4.22748
GDI1	ENSG00000203879	protein_coding	X	154436913	154443467	+	subject	overlapping	X	154425779	154438830	13051	24	4.22748
FAM50A	ENSG00000071859	protein_coding	X	154444141	154450654	+	subject	overlapping	X	154425779	154438830	13051	24	4.22748
PLXNA3	ENSG00000130827	protein_coding	X	154458281	154477779	+	subject	overlapping	X	154425779	154438830	13051	24	4.22748
LAGE3	ENSG00000196976	protein_coding	X	154477775	154479281	-	subject	overlapping	X	154425779	154438830	13051	24	4.22748
UBL4A	ENSG00000102178	protein_coding	X	154483717	154486615	-	subject	overlapping	X	154425779	154438830	13051	24	4.22748
SLC10A3	ENSG00000126903	protein_coding	X	154487306	154490690	-	subject	flanking	X	154425779	154438830	13051	24	4.22748
