ihs_pos	ihs_std_score	ihs_abs_score	relate_pos	relate_score	distance	n_relate_nearby
5567326	-3.87597	3.87597	5600295	5.00439	32969	1
10787134	5.49381	5.49381	10754672	5.40614	32462	1
10787345	-5.26994	5.26994	10754672	5.40614	32673	1
10787354	-5.26994	5.26994	10754672	5.40614	32682	1
10788182	5.05139	5.05139	10754672	5.40614	33510	1
10788673	-4.91973	4.91973	10754672	5.40614	34001	1
10789015	4.8975	4.8975	10754672	5.40614	34343	1
10790172	-4.25519	4.25519	10754672	5.40614	35500	1
10790277	-4.25519	4.25519	10754672	5.40614	35605	1
10790304	4.25728	4.25728	10754672	5.40614	35632	1
10795564	-4.63198	4.63198	10754672	5.40614	40892	1
20651362	4.59915	4.59915	20661411	5.41261	10049	3
