pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
730174	5.79858	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
730278	5.79858	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
731568	5.52265	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
734885	5.9907	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
915966	5.9907	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
916135	6.17066	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
916789	6.09272	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
917194	5.79858	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
920250	7.01357	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
920377	7.73177	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
975067	5.85825	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
1096088	5.20925	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
1096900	6.19725	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
1098714	5.76802	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
1098785	6.19725	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
1274906	5.32805	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
1315856	5.56809	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
1316392	5.56809	CDX	4	730174	1316392	920313.5	18	7.73177	5.97793111111111
1623744	6.05597	CDX	3	1623744	1646549	1635146.5	2	6.05597	5.69201
1646549	5.32805	CDX	3	1623744	1646549	1635146.5	2	6.05597	5.69201
19548583	5.05814	CDX	5	19548583	19557997	19553290.0	2	5.05814	5.05814
19557997	5.05814	CDX	5	19548583	19557997	19553290.0	2	5.05814	5.05814
32635171	6.58804	CDX	6	32635171	32635171	32635171.0	1	6.58804	6.58804
142682371	5.76802	CDX	2	142682371	142682371	142682371.0	1	5.76802	5.76802
151638123	5.32805	CDX	1	151638123	151642138	151640130.5	2	5.32805	5.32805
151642138	5.32805	CDX	1	151638123	151642138	151640130.5	2	5.32805	5.32805
