chr	position	eur_vs_eas_xpehh	eur_vs_afr_xpehh	mean_xpehh
X	22880336	31.0450	32.2528	31.6489
X	22880103	31.0091	32.2854	31.6472
X	22880394	31.0415	32.2380	31.6397
X	22880319	30.9830	32.2708	31.6269
X	22880340	31.0118	32.2380	31.6249
X	22880326	30.9565	32.2827	31.6196
X	22880323	30.9465	32.2152	31.5809
X	22880101	30.9233	32.2118	31.5675
X	22880415	30.9351	32.1293	31.5322
X	22880411	30.9286	32.1217	31.5251
X	22880474	30.7981	31.9761	31.3871
X	22880464	30.5587	31.8741	31.2164
X	22880552	30.5884	31.7813	31.1849
X	22880528	30.5948	31.7726	31.1837
X	22880068	30.6278	31.3995	31.0136
X	9935338	29.2289	29.2046	29.2167
X	9935337	29.2227	29.2097	29.2162
X	9935137	28.9555	29.2824	29.1189
X	9934754	28.7335	29.2016	28.9675
X	9935335	28.6946	29.2229	28.9588
X	9934928	28.7054	29.2066	28.9560
X	9935012	28.7054	29.2039	28.9547
X	9934773	28.7054	29.2016	28.9535
X	9934953	28.7054	29.1988	28.9521
X	9934929	28.7054	29.1928	28.9491
X	9935286	28.6744	29.2058	28.9401
X	9935163	28.6984	29.1685	28.9335
X	9935307	28.6382	29.2058	28.9220
X	9935132	28.7005	29.1371	28.9188
X	9934709	28.6920	29.1438	28.9179
X	9935162	28.6456	29.1685	28.9071
X	9935232	28.5952	29.1873	28.8912
X	9935208	28.6124	29.1685	28.8905
X	9934721	28.6483	29.1300	28.8892
X	9935229	28.5952	29.1685	28.8819
X	9935496	28.5168	29.2112	28.8640
X	9935457	28.5366	29.1850	28.8608
X	9935233	28.5539	29.1291	28.8415
X	9935266	28.5284	29.1057	28.8171
X	9935418	28.4701	29.1620	28.8160
X	9935726	28.4636	29.1586	28.8111
X	9935527	28.4678	29.1362	28.8020
X	9935621	28.4577	29.1376	28.7976
X	9935932	28.4163	29.1499	28.7831
X	9935849	28.4163	29.1142	28.7653
X	9934659	28.5245	28.9963	28.7604
X	9935865	28.4163	29.1029	28.7596
X	9935895	28.4163	29.1029	28.7596
X	9935846	28.4070	29.0704	28.7387
X	9935794	28.3931	29.0812	28.7371
X	9934513	28.4461	28.9166	28.6814
X	9934553	28.4564	28.8851	28.6707
X	9936009	28.3159	29.0242	28.6700
X	9934447	28.3873	28.9133	28.6503
X	9934384	28.3873	28.9113	28.6493
X	9934490	28.3873	28.8759	28.6316
X	9934503	28.3803	28.8711	28.6257
X	9934596	28.3601	28.8501	28.6051
X	9934618	28.3326	28.8258	28.5792
X	9936071	28.2476	28.8206	28.5341
X	12679820	28.0193	28.9306	28.4749
X	12679671	28.0804	28.8652	28.4728
X	12679948	28.0027	28.9040	28.4534
X	12679680	27.9936	28.9071	28.4504
X	12679829	27.9762	28.9012	28.4387
X	12679681	27.9638	28.8798	28.4218
X	12680185	28.0021	28.8405	28.4213
X	12679830	27.9245	28.8861	28.4053
X	12679920	27.9185	28.8833	28.4009
X	12679922	27.9185	28.8657	28.3921
X	12680078	27.8891	28.8237	28.3564
X	12680122	27.8519	28.7944	28.3231
X	9936100	27.3582	29.1332	28.2457
X	12679497	27.7535	28.6015	28.1775
X	12679504	27.7222	28.5997	28.1609
X	12679849	27.6564	28.5956	28.1260
X	12679481	27.6710	28.5274	28.0992
X	12679577	27.6664	28.4519	28.0591
X	12679462	27.6191	28.4546	28.0369
X	141836367	27.0595	27.9116	27.4855
X	12679452	26.0617	27.2097	26.6357
X	141836499	26.0375	27.2148	26.6262
X	141836595	26.0375	27.1953	26.6164
X	141836739	26.0006	27.1510	26.5758
X	141836628	25.9802	27.1323	26.5562
X	141836456	25.9362	27.1055	26.5208
X	141836754	25.8654	27.0795	26.4725
X	12680201	26.3877	26.5333	26.4605
X	141837150	25.8321	27.0340	26.4331
X	141837152	25.8321	27.0308	26.4314
X	141837196	25.8321	27.0308	26.4314
X	141836929	25.8321	27.0250	26.4286
X	141836788	25.7823	26.9794	26.3808
X	141837287	25.7498	26.9885	26.3691
X	141835735	26.7050	25.7744	26.2397
X	141836152	25.5753	26.7839	26.1796
X	141837419	25.4990	26.8242	26.1616
X	141837408	25.4890	26.8154	26.1522
X	141836138	25.5353	26.7352	26.1352
X	141836184	25.5088	26.7010	26.1049
