pos	relate_score	population
12046142	5.03112	ACB
35468700	5.38639	ACB
35469560	7.09677	ACB
35470944	7.59619	ACB
35473312	5.38639	ACB
35473409	7.59619	ACB
35473671	5.38639	ACB
35499094	5.85045	ACB
35503995	5.85045	ACB
35507025	5.4368	ACB
35508273	5.4368	ACB
35509359	5.94599	ACB
35525784	5.03112	ACB
35526498	5.22816	ACB
53426253	5.17633	ACB
78604313	5.21365	ACB
78651064	5.03851	ACB
78655154	5.03851	ACB
87050871	5.58082	ACB
96398940	5.3764	ACB
97791119	5.03851	ACB
114003078	5.00252	ACB
124767120	5.71287	ACB
124777671	5.71287	ACB
124777999	5.71287	ACB
124782040	5.71287	ACB
124887100	5.12491	ACB
