ihs_pos	ihs_std_score	ihs_abs_score	relate_pos	relate_score	distance	n_relate_nearby
33340641	-6.13012	6.13012	33329689	7.33452	10952	1
33340867	-6.13284	6.13284	33329689	7.33452	11178	1
34031280	-3.59849	3.59849	34008902	5.11282	22378	1
34032016	-3.47296	3.47296	34008902	5.11282	23114	1
34032457	-3.52793	3.52793	34008902	5.11282	23555	1
34032485	-3.86095	3.86095	34008902	5.11282	23583	1
34032700	4.39531	4.39531	34008902	5.11282	23798	1
34033158	-3.92031	3.92031	34008902	5.11282	24256	1
34033158	-4.21582	4.21582	34008902	5.11282	24256	1
34040986	-3.44921	3.44921	34008902	5.11282	32084	1
65985356	3.5404	3.5404	65945141	5.10423	40215	2
99755308	-3.58387	3.58387	99744753	5.01224	10555	1
99757281	-3.61616	3.61616	99744753	5.01224	12528	1
99757396	4.24796	4.24796	99744753	5.01224	12643	1
99757398	4.43669	4.43669	99744753	5.01224	12645	1
99776674	-3.46511	3.46511	99744753	5.01224	31921	1
99777756	-3.64301	3.64301	99744753	5.01224	33003	1
99790728	3.89076	3.89076	99744753	5.01224	45975	1
99792734	-3.60594	3.60594	99744753	5.01224	47981	1
99792843	-3.95714	3.95714	99744753	5.01224	48090	1
99792859	3.88669	3.88669	99744753	5.01224	48106	1
99793010	-3.94427	3.94427	99744753	5.01224	48257	1
99793309	-5.36666	5.36666	99744753	5.01224	48556	1
125188634	3.98051	3.98051	125163311	5.401	25323	1
125193616	-5.94573	5.94573	125163311	5.401	30305	1
125193811	5.97578	5.97578	125163311	5.401	30500	1
125200287	3.84783	3.84783	125163311	5.401	36976	1
125200652	-4.95996	4.95996	125163311	5.401	37341	1
125200652	-4.35459	4.35459	125163311	5.401	37341	1
125201706	-4.45287	4.45287	125163311	5.401	38395	1
130102944	3.39617	3.39617	130103591	5.33928	647	1
