gene_name	gene_id	subpopulations	n_subpopulations	gene_type	x_inactivation_status	gene_start	gene_end	strand
KDM6A	ENSG00000147050	MXL,PEL,PUR	3	protein_coding	escape	44873188	45112779	+
AKAP17BP	ENSG00000214992	CLM,PUR	2	unprocessed_pseudogene	subject	119249346	119257667	-
CKS1BP6	ENSG00000178556	CLM,PEL	2	processed_pseudogene	subject	30617454	30617693	+
EEDP1	ENSG00000224942	MXL,PUR	2	processed_pseudogene	subject	140397062	140398311	+
ENSG00000230392	ENSG00000230392	CLM,PUR	2	lncRNA	subject	119291529	119335610	+
ENSG00000283380	ENSG00000283380	CLM,PEL	2	lncRNA	subject	20769718	21374265	-
ENSG00000287776	ENSG00000287776	CLM,PEL	2	lncRNA	subject	122422006	122479732	+
FTLP2	ENSG00000232368	CLM,PEL	2	processed_pseudogene	subject	30630298	30630825	+
RNU6-133P	ENSG00000206716	CLM,PEL	2	snRNA	subject	21214637	21214743	+
RNU6-555P	ENSG00000207515	PEL,PUR	2	snRNA	subject	90597235	90597340	-
RPS17P17	ENSG00000225758	MXL,PUR	2	processed_pseudogene	subject	140470866	140471274	-
TASL	ENSG00000120280	CLM,PEL	2	protein_coding	subject	30558809	30577766	-
U7	ENSG00000275268	MXL,PUR	2	snRNA	subject	140451148	140451208	+
ACSL4	ENSG00000068366	PEL	1	protein_coding	subject	109624244	109733403	-
ACTR3P2	ENSG00000232267	CLM	1	processed_pseudogene	subject	68771322	68772578	+
ALG13	ENSG00000101901	PEL	1	protein_coding	subject	111665811	111760649	+
AR	ENSG00000169083	PEL	1	protein_coding	subject	67544021	67730619	+
ASS1P5	ENSG00000227881	PEL	1	processed_pseudogene	subject	115664895	115666133	+
BCLAF3	ENSG00000173681	PEL	1	protein_coding	subject	19912860	19991061	-
CDKL5	ENSG00000008086	PUR	1	protein_coding	subject	18425583	18653629	+
CNKSR2	ENSG00000149970	PEL	1	protein_coding	subject	21372801	21654695	+
DANT2	ENSG00000235244	PEL	1	lncRNA	subject	115694880	115969148	-
DCAF8L1	ENSG00000226372	PEL	1	protein_coding	subject	27977992	27981449	-
EEF1GP5	ENSG00000234785	PEL	1	processed_pseudogene	subject	115702811	115704120	+
EFNB1	ENSG00000090776	CLM	1	protein_coding	subject	68829021	68842160	+
