comparison	superpop1	superpop2	genes_superpop1	genes_superpop2	shared_genes	superpop1_specific	superpop2_specific	jaccard_similarity
AFR_vs_AMR	AFR	AMR	60	60	10	50	50	0.09090909090909091
AFR_vs_EAS	AFR	EAS	60	25	18	42	7	0.26865671641791045
AFR_vs_EUR	AFR	EUR	60	13	9	51	4	0.140625
AFR_vs_SAS	AFR	SAS	60	25	23	37	2	0.3709677419354839
AMR_vs_EAS	AMR	EAS	60	25	11	49	14	0.14864864864864866
AMR_vs_EUR	AMR	EUR	60	13	10	50	3	0.15873015873015872
AMR_vs_SAS	AMR	SAS	60	25	5	55	20	0.0625
EAS_vs_EUR	EAS	EUR	25	13	6	19	7	0.1875
EAS_vs_SAS	EAS	SAS	25	25	12	13	13	0.3157894736842105
EUR_vs_SAS	EUR	SAS	13	25	5	8	20	0.15151515151515152
