gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
DMD	ENSG00000198947	protein_coding	X	31097677	33339609	-	subject	contains_region	X	31762335	31812610	50275	68	7.5756
ENSG00000233928	ENSG00000233928	lncRNA	X	33726337	34346527	+	subject	contains_region	X	34188188	34205505	17317	23	5.286
FTH1P14	ENSG00000185638	processed_pseudogene	X	34147036	34147586	+	subject	overlapping	X	34188188	34205505	17317	23	5.286
ENSG00000233571	ENSG00000233571	lncRNA	X	34206725	34415537	-	subject	flanking	X	34188188	34205505	17317	23	5.286
ENSG00000286475	ENSG00000286475	lncRNA	X	36678678	36866689	-	subject	flanking	X	36617207	36641498	24291	41	5.01782
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	37879897	37895018	15121	20	5.25669
DYNLT3	ENSG00000165169	protein_coding	X	37836757	37847571	-	subject	overlapping	X	37879897	37895018	15121	20	5.25669
RNU6-49P	ENSG00000206983	snRNA	X	37870109	37870215	+	subject	overlapping	X	37879897	37895018	15121	20	5.25669
ENSG00000259977	ENSG00000259977	lncRNA	X	37906147	37949405	+	subject	flanking	X	37879897	37895018	15121	20	5.25669
USP9X	ENSG00000124486	protein_coding	X	41085445	41236579	+	escapee	contains_region	X	41204574	41221409	16835	20	5.74442
PIN4	ENSG00000102309	protein_coding	X	72181353	72302926	+	subject	flanking	X	72295508	72310921	15413	20	6.36848
RPS4X	ENSG00000198034	protein_coding	X	72255679	72277248	-	escapee	overlapping	X	72295508	72310921	15413	20	6.36848
Y_RNA	ENSG00000238926	misc_RNA	X	72284945	72285045	-	subject	overlapping	X	72295508	72310921	15413	20	6.36848
CITED1	ENSG00000125931	protein_coding	X	72301638	72307187	-	subject	contained	X	72295508	72310921	15413	20	6.36848
ENSG00000285547	ENSG00000285547	protein_coding	X	72301691	72572843	-	subject	flanking	X	72295508	72310921	15413	20	6.36848
HDAC8	ENSG00000147099	protein_coding	X	72329516	72573101	-	subject	flanking	X	72295508	72310921	15413	20	6.36848
EIF3JP1	ENSG00000228041	processed_pseudogene	X	82497669	82497924	-	subject	overlapping	X	82526073	82540865	14792	26	5.23269
RPL22P22	ENSG00000213653	processed_pseudogene	X	82506434	82506812	-	subject	overlapping	X	82526073	82540865	14792	26	5.23269
ENSG00000202183	ENSG00000202183	snoRNA	X	82561201	82561347	+	subject	overlapping	X	82526073	82540865	14792	26	5.23269
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87168133	87204799	36666	114	6.43864
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87168133	87204799	36666	114	6.43864
ENSG00000230478	ENSG00000230478	processed_pseudogene	X	87425583	87425690	-	subject	overlapping	X	87430563	87445281	14718	31	7.73543
ENSG00000206062	ENSG00000206062	lncRNA	X	91307781	91308878	+	subject	overlapping	X	91319130	91337661	18531	62	4.8961
PCDH11X	ENSG00000102290	protein_coding	X	91779261	92623230	+	subject	contains_region	X	92331808	92352952	21144	23	5.11833
NXT2	ENSG00000101888	protein_coding	X	109535781	109544698	+	subject	overlapping	X	109555500	109578522	23022	29	4.41356
MFN1P1	ENSG00000233874	processed_pseudogene	X	109568478	109570289	+	subject	contained	X	109555500	109578522	23022	29	4.41356
KCNE5	ENSG00000176076	protein_coding	X	109623700	109625172	-	subject	overlapping	X	109555500	109578522	23022	29	4.41356
ACSL4	ENSG00000068366	protein_coding	X	109624244	109733403	-	subject	flanking	X	109555500	109578522	23022	29	4.41356
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117424856	117441494	16638	49	5.26187
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117424856	117441494	16638	49	5.26187
WDR44	ENSG00000131725	protein_coding	X	118346073	118449961	+	subject	contains_region	X	118424265	118445236	20971	25	5.73669
MIR1277	ENSG00000221463	miRNA	X	118386394	118386471	+	subject	overlapping	X	118424265	118445236	20971	25	5.73669
RNA5SP517	ENSG00000201594	rRNA_pseudogene	X	146427456	146427572	-	subject	overlapping	X	146474541	146490758	16217	99	5.51654
ENSG00000234748	ENSG00000234748	processed_pseudogene	X	146537535	146538048	+	subject	overlapping	X	146474541	146490758	16217	99	5.51654
