GO_ID	Category
GO:1904446	reproduction
GO:0034993	reproduction
GO:0007292	reproduction
GO:0051309	reproduction
GO:2000654	reproduction
GO:0010070	reproduction
GO:0032919	reproduction
GO:0001673	reproduction
GO:0006711	reproduction
GO:0007286	reproduction
GO:0032311	reproduction
GO:0005902	reproduction
GO:0005712	reproduction
GO:0097524	reproduction
GO:0048599	reproduction
GO:0034038	reproduction
GO:1903537	reproduction
GO:0060903	reproduction
GO:0007340	reproduction
GO:2000184	reproduction
GO:0019101	reproduction
GO:0042138	reproduction
GO:0019953	reproduction
GO:0007506	reproduction
GO:0007141	reproduction
GO:0046697	reproduction
GO:0060478	reproduction
GO:0060746	reproduction
GO:1901317	reproduction
GO:0141068	reproduction
GO:0004964	reproduction
GO:0090427	reproduction
GO:0035270	reproduction
GO:0060706	reproduction
GO:0044778	reproduction
GO:0051598	reproduction
GO:0050847	reproduction
GO:0033206	reproduction
GO:0045835	reproduction
GO:0010455	reproduction
GO:0060763	reproduction
GO:1902225	reproduction
GO:0048598	reproduction
GO:0010789	reproduction
GO:0061831	reproduction
GO:0070193	reproduction
GO:0002081	reproduction
GO:0051307	reproduction
GO:0044849	reproduction
GO:0001741	reproduction
GO:0038054	reproduction
GO:0007056	reproduction
GO:0035472	reproduction
GO:0048859	reproduction
GO:0030237	reproduction
GO:0060800	reproduction
GO:1900195	reproduction
GO:0042448	reproduction
GO:0007290	reproduction
GO:0007144	reproduction
GO:0001556	reproduction
GO:0048532	reproduction
GO:0120211	reproduction
GO:0098875	reproduction
GO:0001554	reproduction
GO:2000344	reproduction
GO:0043009	reproduction
GO:0051093	reproduction
GO:0009446	reproduction
GO:0010845	reproduction
GO:0042698	reproduction
GO:1903710	reproduction
GO:0072687	reproduction
GO:0048820	reproduction
GO:0071373	reproduction
GO:0048232	reproduction
GO:0007288	reproduction
GO:0040038	reproduction
GO:0045120	reproduction
GO:0001547	reproduction
GO:1905516	reproduction
GO:0007057	reproduction
GO:0060046	reproduction
GO:2000182	reproduction
GO:0051094	reproduction
GO:0001893	reproduction
GO:0060474	reproduction
GO:0007538	reproduction
GO:2000020	reproduction
GO:0022414	reproduction
GO:0000706	reproduction
GO:0035036	reproduction
GO:0031530	reproduction
GO:0007620	reproduction
GO:0008584	reproduction
GO:0060283	reproduction
GO:0042140	reproduction
GO:0160131	reproduction
GO:0000296	reproduction
GO:0009566	reproduction
GO:0048646	reproduction
GO:0005715	reproduction
GO:0047787	reproduction
GO:0060112	reproduction
GO:0097225	reproduction
GO:0001546	reproduction
GO:0061832	reproduction
GO:0110081	reproduction
GO:0008390	reproduction
GO:0015848	reproduction
GO:2000019	reproduction
GO:0047006	reproduction
GO:0060707	reproduction
GO:0051257	reproduction
GO:0001544	reproduction
GO:0002177	reproduction
GO:0007339	reproduction
GO:0033150	reproduction
GO:0005183	reproduction
GO:0048389	reproduction
GO:0070684	reproduction
GO:0001542	reproduction
GO:0051308	reproduction
GO:0060468	reproduction
GO:2000870	reproduction
GO:0060715	reproduction
GO:0032355	reproduction
GO:0048133	reproduction
GO:0101020	reproduction
GO:0019810	reproduction
GO:0000707	reproduction
GO:0060806	reproduction
GO:0061040	reproduction
GO:0097195	reproduction
GO:0001674	reproduction
GO:0097598	reproduction
GO:0035803	reproduction
GO:0048608	reproduction
GO:0090619	reproduction
GO:0046208	reproduction
GO:0060279	reproduction
GO:0036126	reproduction
GO:1905188	reproduction
GO:0047035	reproduction
GO:0036284	reproduction
GO:2000195	reproduction
GO:0006597	reproduction
GO:0080154	reproduction
GO:0097729	reproduction
GO:0007281	reproduction
GO:0014896	reproduction
GO:0060280	reproduction
GO:0050649	reproduction
GO:0033327	reproduction
GO:0001675	reproduction
GO:0030520	reproduction
GO:0007309	reproduction
GO:0033685	reproduction
GO:1902491	reproduction
GO:0043012	reproduction
GO:0120316	reproduction
GO:0047086	reproduction
GO:0030317	reproduction
GO:0097226	reproduction
GO:0051754	reproduction
GO:0007127	reproduction
GO:0007131	reproduction
GO:0044752	reproduction
GO:0043025	reproduction
GO:0040020	reproduction
GO:0010032	reproduction
GO:0047611	reproduction
GO:0060009	reproduction
GO:0001942	reproduction
