symbol	name	chrom	start	end
ACSL4	acyl-CoA synthetase long chain family member 4	X	109733256	109641334
PAK3	p21 (RAC1) activated kinase 3	X	110944396	111227360
TRPC5	transient receptor potential cation channel subfamily C member 5	X	112082775	111768010
SMARCA1	SNF2 related chromatin remodeling ATPase 1	X	129523489	129446505
AIFM1	apoptosis inducing factor mitochondria associated 1	X	130165840	130129361
HPRT1	hypoxanthine phosphoribosyltransferase 1	X	134460164	134500667
ZIC3	Zic family zinc finger 3	X	137566126	137577690
SOX3	SRY-box transcription factor 3	X	140505068	140502984
SLITRK4	SLIT and NTRK like family member 4	X	143636100	143622789
SLITRK2	SLIT and NTRK like family member 2	X	145817828	145829855
VEGFD	vascular endothelial growth factor D	X	15384412	15345595
L1CAM	L1 cell adhesion molecule	X	153886172	153861513
MECP2	methyl-CpG binding protein 2	X	154097716	154021572
GDI1	GDP dissociation inhibitor 1	X	154437153	154443466
CDKL5	cyclin dependent kinase like 5	X	18425607	18653628
IL1RAPL1	interleukin 1 receptor accessory protein like 1	X	28587445	29956717
NDP	norrin cystine knot growth factor NDP	X	43973389	43948775
HDAC6	histone deacetylase 6	X	48801397	48824981
NLGN4X	neuroligin 4 X-linked	X	6228866	5890041
ZC4H2	zinc finger C4H2-type containing	X	65034740	64915806
OPHN1	oligophrenin 1	X	68433840	68042343
NAP1L2	nucleosome assembly protein 1 like 2	X	73214850	73212298
ATP7A	ATPase copper transporting alpha	X	77910692	78050394
ANOS1	anosmin 1	X	8732136	8528873
