pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
341039	5.53721	ASW	5	341039	341039	341039.0	1	5.53721	5.53721
565216	6.70698	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
571732	7.45145	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
575326	5.0746	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
575730	6.27272	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
578927	5.56868	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
582671	6.18337	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
660736	5.7478	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
660743	5.7478	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
661436	6.88506	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
703748	5.13186	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
822011	5.24941	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
824136	7.00412	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
824225	7.00412	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
828401	6.12534	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
829000	6.12534	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
832709	6.52976	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
832751	5.13643	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
947451	5.14844	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
947460	5.14844	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
947469	5.14844	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
947470	5.14844	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
980568	5.69965	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
981487	5.37229	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
1002155	5.75502	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
1007801	5.75502	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
1060773	5.08612	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
1241747	5.68602	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
1255835	5.69765	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
1410836	5.63644	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
1410837	5.63644	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
1488257	5.3017	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
1590894	7.25487	ASW	4	565216	1590894	832730.0	32	7.45145	5.8568693750000005
2474169	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474185	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474198	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474214	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474230	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474231	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474254	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474297	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474374	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474380	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474468	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474470	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474485	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474486	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474493	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474495	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474559	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474607	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2474615	5.41744	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2475216	6.23859	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2475299	6.23859	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
2475305	6.23859	ASW	3	2474169	2475305	2474469.0	22	6.23859	5.529415
10955216	5.13186	ASW	6	10955216	11134590	11071222.0	5	6.27272	5.689752
11056298	5.45942	ASW	6	10955216	11134590	11071222.0	5	6.27272	5.689752
11071222	5.45942	ASW	6	10955216	11134590	11071222.0	5	6.27272	5.689752
11127127	6.12534	ASW	6	10955216	11134590	11071222.0	5	6.27272	5.689752
11134590	6.27272	ASW	6	10955216	11134590	11071222.0	5	6.27272	5.689752
17405835	5.65047	ASW	8	17405835	17453546	17429529.5	4	5.65047	5.35212
17407438	5.65047	ASW	8	17405835	17453546	17429529.5	4	5.65047	5.35212
17451621	5.05377	ASW	8	17405835	17453546	17429529.5	4	5.65047	5.35212
17453546	5.05377	ASW	8	17405835	17453546	17429529.5	4	5.65047	5.35212
17933321	5.13186	ASW	9	17933321	17933321	17933321.0	1	5.13186	5.13186
18481819	5.13186	ASW	7	18481819	18483252	18482535.5	2	5.13186	5.13186
18483252	5.13186	ASW	7	18481819	18483252	18482535.5	2	5.13186	5.13186
32604109	5.24339	ASW	1	32604109	32604109	32604109.0	1	5.24339	5.24339
33448903	5.31218	ASW	2	33448903	33448903	33448903.0	1	5.31218	5.31218
51983954	5.23264	ASW	11	51983954	51983954	51983954.0	1	5.23264	5.23264
52542902	5.37123	ASW	10	52542902	52544133	52543517.5	2	5.37123	5.37123
52544133	5.37123	ASW	10	52542902	52544133	52543517.5	2	5.37123	5.37123
69104794	5.15764	ASW	12	69104794	69104794	69104794.0	1	5.15764	5.15764
