pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
730174	5.79858	CDX	1	730174	734885	730923.0	4	5.9907	5.7776275
730278	5.79858	CDX	1	730174	734885	730923.0	4	5.9907	5.7776275
731568	5.52265	CDX	1	730174	734885	730923.0	4	5.9907	5.7776275
734885	5.9907	CDX	1	730174	734885	730923.0	4	5.9907	5.7776275
915966	5.9907	CDX	2	915966	920377	916991.5	6	7.73177	6.466333333333334
916135	6.17066	CDX	2	915966	920377	916991.5	6	7.73177	6.466333333333334
916789	6.09272	CDX	2	915966	920377	916991.5	6	7.73177	6.466333333333334
917194	5.79858	CDX	2	915966	920377	916991.5	6	7.73177	6.466333333333334
920250	7.01357	CDX	2	915966	920377	916991.5	6	7.73177	6.466333333333334
920377	7.73177	CDX	2	915966	920377	916991.5	6	7.73177	6.466333333333334
1096088	5.20925	CDX	3	1096088	1098785	1097807.0	4	6.19725	5.8429425
1096900	6.19725	CDX	3	1096088	1098785	1097807.0	4	6.19725	5.8429425
1098714	5.76802	CDX	3	1096088	1098785	1097807.0	4	6.19725	5.8429425
1098785	6.19725	CDX	3	1096088	1098785	1097807.0	4	6.19725	5.8429425
